State,Full,Before,During,After
ABW,-99.04528278294714,-76.9982654708022,-94.1460113136926,-99.72385793314847
AFG,160.84450532668652,26.206015446409044,187.86278112429176,568.1723649965381
AGO,-40.93845994735761,-24.02002986582245,-48.736566909010556,-45.564411952330516
AIA,-92.45769426239536,24.592792893567587,-53.428460782118535,-100.15565784348985
ALB,-101.93379934749717,-59.0792124347876,-116.88273709141939,-101.74381665326284
AND,-46.71688770410416,-39.392320568004095,-63.82537857344149,-27.607616726619373
ARE,3.8434856066811984,-3.565219673383873,-6.469570774269847,16.293044761538066
ARG,-18.79526195025376,-0.7712134587476315,-6.719893056668629,-26.68793640891551
ARM,-4.5018962990729126,-6.864852159977319,-6.909340372272993,-13.607506590550573
ATG,-52.833474806447434,247.28718271637916,43.504427123728156,-67.1812476988348
AUS,-77.63816706039412,-45.49562199827195,-63.2717334217155,-83.5940882611792
AUT,-9.91219687555123,12.321783976418882,5.847857763706306,-24.06305093162372
AZE,-52.16131514412642,-43.88797741210001,-19.21775320425548,-61.79457709433686
BEL,8.36787783575977,20.173222031144864,30.336070959761667,-2.419933254039661
BEN,-96.60183979548978,33.586743783187664,-73.48932117763968,-98.56869183086455
BFA,28.706601019756985,36.48249269454998,218.87918878718708,12.89261933870793
BGD,-27.80533063664678,-3.5397581805991742,17.71044265147429,-40.47201311954843
BGR,-39.4440264036689,109.83546296754783,140.73785322189468,-59.823049073099114
BHR,3.1227378968768154,12.63791825978989,18.173175785775474,-3.4763487619535494
BHS,-33.64600103301852,11.192814271760614,-29.017225658304458,-43.51083655514487
BIH,-52.109425992679114,101.80042745279528,147.50054748786155,-69.57717755002263
BLR,-1.3342411243824686,1.9255234195369797,4.030507892356154,-7.9706842095724
BLZ,0.5753421033142008,34.58991064193086,19.120534782828152,-18.713905160438852
BMU,-88.91574224322845,-271.1583622639997,-75.20659587027146,-83.71267052884193
BOL,73.0472534372527,15.832519360817326,71.14989304082621,137.84061219082858
BRA,5.365734160983659,2.3860059484571905,-1.100886710530423,17.19114751504588
BRB,43.408079052021385,-40.557558655910285,3.0919124568613947,61.490708015812515
BRN,-96.98015543528936,-56.727258269823366,-78.83290126576571,-98.32624340500415
BTN,108.71331905080919,3.9420525852874073,55.75890340858676,501.5389423136111
BWA,-24.895262347782253,-48.57778556652568,-38.4044310808903,-9.093445186702478
CAF,-88.26546634065299,-74.73435300166679,-90.30548683789156,-91.57128959926737
CAN,-12.422846398369893,5.7237148452363575,52.402103616651466,-30.42611237677742
CHE,-84.11574135106275,-34.893061736887375,-62.45640963124921,-91.89251677350939
CHL,23.374624355162883,-0.39589159434298465,18.43827868689896,68.37112075512951
CHN,6.4879319632112855,5.477376827486553,1.0262296914695905,12.901537618106904
CIV,-48.351415181219934,25.334622613258027,-4.113108904156112,-65.17959667699678
CMR,-529.2694368270265,-1059.5555320568913,-4408.529287396944,100.95374173708538
COD,-14.53843587743035,0.6673016200029098,-29.556450596407885,-7.653230323485795
COG,52.76005950368277,14.468891775544254,74.97425544260504,61.56387081119769
COL,95.81083135661915,18.327398516600677,56.85501859123654,338.6651617827305
COM,139.96128781996418,-7.603509554943666,184.12226622672188,312.32379300693356
CPV,-43.22505772631603,-0.8776815003822311,5.480145505661518,-69.58604738542553
CRI,-19.731298371145172,1.1395233035893306,-19.81395868418046,-32.20699274412959
CUB,-38.31934646171396,-34.9502451388778,-41.3921406271984,-38.96465538837941
CYM,-6.95840481074081,82.11742105826495,-43.98186056481191,-13.671149145983975
CYP,-18.239899148305636,-1.3971793943558437,-5.218991872613719,-26.274520889679025
CZE,79.5766519444597,-42.754750083004275,-92.24665611724387,175.0093585667638
DEU,-84.84401119603402,-39.06373413710528,-67.87777373917568,-91.35163457619366
DJI,-21.801360205259982,2.0283253151095857,22.631191102940573,-34.566171116814445
DMA,-74.92736002231716,209.99065017570766,393.1558897798004,-83.83184562410335
DNK,14.798608718128358,-11.743582682439538,17.85204619869839,20.02070669458576
DOM,23.94749658049872,12.97802392992399,62.74770474819648,30.657582022819625
DZA,-29.878872896031705,-34.463843246079605,-52.427604877413216,-8.298489847752064
ECU,-24.06701679250157,-43.41568964093347,-65.50472880851841,19.119120847363344
EGY,-43.61950997720122,25.74869295483423,-84.47547861561175,-78.43241620884123
ESP,-50.29228505573029,-44.07305995048111,-62.480560300100684,-39.660735794062205
EST,5.838682709885169,65.73253800628453,59.56795694485098,-12.506502247583276
ETH,-44.641378841854376,44.683996148403125,93.25902264434765,-61.07920594975508
FIN,-38.399315239619966,-12.584919427791341,-27.04102824933462,-44.97738223205926
FJI,106.01014167554943,17.99351203297623,63.88649287668322,217.36716656636457
FRA,-73.2048764744592,-37.650563710894765,-84.30438938037533,-74.98774652116882
FRO,-31.68008492346388,-70.67872652839647,-59.806928749361234,356.3360457036151
GAB,-37.05752545650833,9.051175864198322,54.36828085146344,-70.66388573193717
GBR,-16.537555313036147,-18.02528573443786,-18.439136481711618,-17.963723574268347
GEO,-86.1439450430794,-36.005662209706614,-63.23931257135119,-95.7056983926207
GGY,0.2552139862746226,18.22176267326058,-10.882561877701882,-13.929183029165534
GHA,-36.039525522802926,-14.077538534564718,-41.93416743031159,-45.98002851495237
GIB,-51.55087318278927,-62.34434646010777,-76.28560951644393,-25.988984377243522
GIN,-60.018716365767055,-40.34876876018926,-34.8130917698678,-66.51042682350233
GMB,-68.40103856265728,-67.99473094134471,-80.63503197919918,-58.46237466993589
