date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-08,39.857142857142854,881.0
2021-03-09,36.285714285714285,950.4285714285714
2021-03-10,33.142857142857146,1089.2857142857142
2021-03-11,34.0,1297.5714285714287
2021-03-12,32.0,1575.2857142857142
2021-03-13,34.142857142857146,1922.4285714285713
2021-03-14,38.285714285714285,2339.0
2021-03-15,42.0,2825.0
2021-03-16,42.714285714285715,3241.5714285714284
2021-03-17,47.42857142857143,3588.714285714286
2021-03-18,46.857142857142854,3866.4285714285716
2021-03-19,50.42857142857143,4116.714285714285
2021-03-20,53.857142857142854,4339.428571428572
2021-03-21,53.285714285714285,4534.571428571428
2021-03-22,50.42857142857143,4702.285714285715
2021-03-23,50.0,4911.857142857143
2021-03-24,46.857142857142854,5163.428571428572
2021-03-25,49.57142857142857,5506.0
2021-03-26,50.857142857142854,5855.714285714285
2021-03-27,46.142857142857146,6212.714285714285
2021-03-28,47.857142857142854,6577.0
2021-03-29,47.142857142857146,6948.428571428572
2021-03-30,53.57142857142857,7278.428571428572
2021-03-31,58.285714285714285,7566.714285714285
2021-04-01,67.85714285714286,7715.142857142857
2021-04-02,69.28571428571429,7765.714285714285
2021-04-03,71.71428571428571,7718.285714285715
2021-04-04,78.28571428571429,7572.857142857143
2021-04-05,81.14285714285714,7329.571428571428
2021-04-06,83.57142857142857,7085.857142857143
2021-04-07,100.42857142857143,6972.857142857143
2021-04-08,99.85714285714286,7039.714285714285
2021-04-09,101.28571428571429,7286.285714285715
2021-04-10,110.71428571428571,7712.714285714285
2021-04-11,107.42857142857143,8319.0
2021-04-12,118.0,9227.0
2021-04-13,118.85714285714286,10388.0
2021-04-14,116.0,11540.0
2021-04-15,118.71428571428571,12683.0
2021-04-16,120.42857142857143,13817.0
2021-04-17,125.71428571428571,14942.0
2021-04-18,138.42857142857142,16058.0
2021-04-19,133.14285714285714,16921.0
2021-04-20,138.42857142857142,17459.0
2021-04-21,137.71428571428572,17803.0
2021-04-22,148.85714285714286,17953.14285714286
2021-04-23,157.14285714285714,17909.285714285714
2021-04-24,165.28571428571428,17543.571428571428
2021-04-25,170.28571428571428,16856.14285714286
2021-04-26,174.28571428571428,15968.857142857143
2021-04-27,170.28571428571428,15025.714285714286
2021-04-28,183.0,14026.714285714286
2021-04-29,183.57142857142858,12971.57142857143
2021-04-30,197.14285714285714,11860.57142857143
2021-05-01,196.14285714285714,10949.42857142857
2021-05-02,189.0,10238.0
2021-05-03,197.71428571428572,9726.42857142857
2021-05-04,203.28571428571428,9342.714285714286
2021-05-05,191.71428571428572,9086.857142857143
2021-05-06,194.42857142857142,8959.0
2021-05-07,212.85714285714286,8959.0
2021-05-08,221.28571428571428,8959.0
2021-05-09,237.42857142857142,8959.0
2021-05-10,249.57142857142858,8959.0
2021-05-11,248.85714285714286,8959.0
2021-05-12,266.0,8959.0
2021-05-13,268.0,8963.0
2021-05-14,253.42857142857142,8971.0
2021-05-15,261.2857142857143,8983.0
2021-05-16,268.14285714285717,8999.0
2021-05-17,271.0,9019.0
2021-05-18,273.14285714285717,9043.0
2021-05-19,271.2857142857143,9401.42857142857
2021-05-20,290.42857142857144,10086.285714285714
2021-05-21,280.85714285714283,11097.42857142857
2021-05-22,268.42857142857144,12335.857142857143
2021-05-23,256.42857142857144,13801.714285714286
2021-05-24,257.7142857142857,15494.857142857143
2021-05-25,262.2857142857143,17415.285714285714
2021-05-26,269.7142857142857,18902.14285714286
2021-05-27,271.42857142857144,19742.285714285714
2021-05-28,278.0,19935.85714285714
2021-05-29,290.7142857142857,19681.0
2021-05-30,290.14285714285717,18977.571428571428
2021-05-31,275.0,17825.714285714286
2021-06-01,275.42857142857144,16551.714285714286
2021-06-02,259.85714285714283,15486.0
2021-06-03,231.71428571428572,15062.857142857143
2021-06-04,219.0,15282.42857142857
2021-06-05,194.71428571428572,16045.42857142857
2021-06-06,202.0,17352.0
2021-06-07,200.85714285714286,19202.0
2021-06-08,186.14285714285714,20942.85714285714
2021-06-09,178.85714285714286,23136.14285714286
2021-06-10,170.71428571428572,25564.714285714286
2021-06-11,169.28571428571428,27514.0
2021-06-12,164.0,28984.14285714286
2021-06-13,143.71428571428572,29975.14285714286
2021-06-14,133.28571428571428,30487.0
2021-06-15,133.71428571428572,30846.0
2021-06-16,131.0,29823.14285714286
2021-06-17,134.14285714285714,27418.285714285714
2021-06-18,137.71428571428572,25060.428571428572
2021-06-19,144.57142857142858,22749.571428571428
2021-06-20,143.42857142857142,20485.428571428572
2021-06-21,139.0,18267.714285714286
2021-06-22,136.85714285714286,16096.42857142857
2021-06-23,136.14285714285714,14744.857142857143
2021-06-24,129.71428571428572,14213.0
2021-06-25,114.57142857142857,13802.142857142857
2021-06-26,129.14285714285714,13512.142857142857
2021-06-27,132.0,13343.285714285714
2021-06-28,125.42857142857143,13296.57142857143
2021-06-29,123.57142857142857,13161.57142857143
2021-06-30,115.42857142857143,12832.57142857143
2021-07-01,121.0,12309.714285714286
2021-07-02,124.85714285714286,11561.42857142857
2021-07-03,102.57142857142857,10587.857142857143
2021-07-04,92.0,9388.857142857143
2021-07-05,96.28571428571429,7963.857142857143
2021-07-06,98.14285714285714,6790.714285714285
2021-07-07,99.0,5869.142857142857
2021-07-08,91.71428571428571,5199.285714285715
2021-07-09,89.71428571428571,4796.714285714285
2021-07-10,100.28571428571429,4661.571428571428
2021-07-11,101.28571428571429,4793.714285714285
2021-07-12,104.0,5193.285714285715
2021-07-13,107.85714285714286,5505.285714285715
2021-07-14,109.0,5730.0
2021-07-15,119.42857142857143,5867.285714285715
2021-07-16,133.85714285714286,5917.142857142857
2021-07-17,120.0,5879.571428571428
2021-07-18,118.0,5754.571428571428
2021-07-19,121.0,5542.142857142857
2021-07-20,121.57142857142857,5379.142857142857
2021-07-21,131.85714285714286,5265.428571428572
2021-07-22,128.57142857142858,5201.0
2021-07-23,125.0,5185.857142857143
2021-07-24,142.57142857142858,5220.0
2021-07-25,147.0,5303.571428571428
2021-07-26,139.28571428571428,5436.428571428572
2021-07-27,139.0,5550.285714285715
2021-07-28,149.85714285714286,5645.142857142857
2021-07-29,151.57142857142858,5721.0
2021-07-30,154.42857142857142,5778.0
2021-07-31,145.28571428571428,5816.0
2021-08-01,148.71428571428572,5835.0
2021-08-02,147.85714285714286,5835.0
2021-08-03,148.71428571428572,5835.0
2021-08-04,130.0,5768.714285714285
2021-08-05,124.28571428571429,5636.142857142857
2021-08-06,111.85714285714286,5437.285714285715
2021-08-07,120.42857142857143,5172.285714285715
2021-08-08,116.42857142857143,4841.0
2021-08-09,121.0,4443.428571428572
2021-08-10,118.14285714285714,4019.714285714286
2021-08-11,124.28571428571429,3702.5714285714284
2021-08-12,120.0,3491.8571428571427
2021-08-13,129.28571428571428,3387.5714285714284
2021-08-14,119.85714285714286,3389.714285714286
2021-08-15,134.42857142857142,3498.285714285714
2021-08-16,136.42857142857142,3713.285714285714
2021-08-17,140.57142857142858,3997.1428571428573
2021-08-18,153.42857142857142,4283.285714285715
2021-08-19,168.14285714285714,4571.857142857143
2021-08-20,164.42857142857142,4863.0
2021-08-21,179.28571428571428,5378.0
2021-08-22,183.42857142857142,6117.0
2021-08-23,189.71428571428572,7079.857142857143
2021-08-24,192.14285714285714,8221.57142857143
2021-08-25,196.57142857142858,9542.142857142857
2021-08-26,194.85714285714286,11398.142857142857
2021-08-27,199.71428571428572,13789.285714285714
2021-08-28,192.28571428571428,16272.857142857143
2021-08-29,180.28571428571428,18848.714285714286
2021-08-30,174.71428571428572,21517.0
2021-08-31,179.28571428571428,24320.14285714286
