date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-05,9165.142857142857,9177.0
2021-01-06,9359.57142857143,7080.285714285715
2021-01-07,10417.285714285714,6533.714285714285
2021-01-08,11824.857142857143,7093.0
2021-01-09,12006.285714285714,7949.0
2021-01-10,12104.714285714286,8995.42857142857
2021-01-11,12041.42857142857,10111.42857142857
2021-01-12,11875.285714285714,11312.142857142857
2021-01-13,11731.857142857143,12852.714285714286
2021-01-14,11446.142857142857,14046.42857142857
2021-01-15,11183.0,14460.57142857143
2021-01-16,11196.57142857143,14645.714285714286
2021-01-17,11135.142857142857,14813.42857142857
2021-01-18,11041.857142857143,14586.285714285714
2021-01-19,10953.0,14057.0
2021-01-20,10912.42857142857,13446.0
2021-01-21,10982.714285714286,12815.42857142857
2021-01-22,11397.0,12230.285714285714
2021-01-23,11394.57142857143,11693.857142857143
2021-01-24,11330.857142857143,11144.285714285714
2021-01-25,11231.57142857143,10888.0
2021-01-26,10977.285714285714,10748.0
2021-01-27,10653.0,10363.714285714286
2021-01-28,10074.714285714286,10070.57142857143
2021-01-29,9321.0,10236.57142857143
2021-01-30,8892.285714285714,10551.714285714286
2021-01-31,8740.714285714286,10889.0
2021-02-01,8325.714285714286,11245.285714285714
2021-02-02,8057.285714285715,11836.42857142857
2021-02-03,7848.142857142857,12954.42857142857
2021-02-04,7749.428571428572,14279.285714285714
2021-02-05,7586.428571428572,15507.142857142857
2021-02-06,7460.142857142857,16658.285714285714
2021-02-07,7324.142857142857,17818.428571428572
2021-02-08,7113.714285714285,18949.571428571428
2021-02-09,6911.428571428572,19779.85714285714
2021-02-10,6670.857142857143,20049.14285714286
2021-02-11,6528.857142857143,19862.714285714286
2021-02-12,6608.428571428572,19131.0
2021-02-13,7319.285714285715,18205.428571428572
2021-02-14,7249.142857142857,17239.14285714286
2021-02-15,6723.142857142857,15742.42857142857
2021-02-16,6341.142857142857,13935.285714285714
2021-02-17,6529.571428571428,12531.42857142857
2021-02-18,6677.571428571428,12274.857142857143
2021-02-19,6569.0,13431.142857142857
2021-02-20,5992.714285714285,15352.0
2021-02-21,6098.142857142857,17706.714285714286
2021-02-22,6644.571428571428,21863.85714285714
2021-02-23,6985.285714285715,28153.571428571428
2021-02-24,6850.142857142857,35680.142857142855
2021-02-25,6808.571428571428,42587.42857142857
2021-02-26,6656.428571428572,48714.0
2021-02-27,6466.714285714285,53936.28571428572
2021-02-28,6385.857142857143,58463.0
2021-03-01,6310.857142857143,61781.142857142855
2021-03-02,6333.571428571428,63120.71428571428
2021-03-03,6322.714285714285,62588.57142857143
2021-03-04,6234.285714285715,62403.71428571428
2021-03-05,6270.428571428572,62551.28571428572
2021-03-06,6282.714285714285,63755.71428571428
2021-03-07,6246.142857142857,65363.0
2021-03-08,6259.0,67397.28571428571
2021-03-09,6287.142857142857,70483.28571428571
2021-03-10,6346.714285714285,75913.0
2021-03-11,6877.285714285715,82202.0
2021-03-12,7005.142857142857,88895.42857142857
2021-03-13,7069.0,94658.14285714286
2021-03-14,7182.714285714285,100251.14285714286
2021-03-15,7272.571428571428,105990.28571428571
2021-03-16,7373.714285714285,111274.57142857143
2021-03-17,7509.571428571428,114172.85714285714
2021-03-18,7170.571428571428,114569.0
2021-03-19,7253.428571428572,113223.28571428571
2021-03-20,7400.285714285715,112143.71428571429
2021-03-21,7375.857142857143,111331.14285714286
2021-03-22,7656.571428571428,108689.71428571429
2021-03-23,7986.285714285715,105126.57142857143
2021-03-24,7678.714285714285,99978.42857142857
2021-03-25,8418.285714285714,95077.71428571429
2021-03-26,9294.857142857143,90235.28571428571
2021-03-27,9800.714285714286,85387.14285714286
2021-03-28,10211.57142857143,80350.0
2021-03-29,10901.0,77183.71428571429
2021-03-30,11711.57142857143,75727.85714285714
2021-03-31,13161.142857142857,79160.14285714286
