date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-15,1809.4285714285713,12234.0
2021-01-16,1744.4285714285713,12270.57142857143
2021-01-17,1638.5714285714287,12343.714285714286
2021-01-18,1606.4285714285713,12453.57142857143
2021-01-19,1552.5714285714287,12600.0
2021-01-20,1542.2857142857142,12783.0
2021-01-21,1472.142857142857,13002.57142857143
2021-01-22,1484.5714285714287,13258.714285714286
2021-01-23,1519.7142857142858,13335.857142857143
2021-01-24,1504.0,13234.0
2021-01-25,1495.2857142857142,12952.857142857143
2021-01-26,1485.2857142857142,12492.714285714286
2021-01-27,1456.142857142857,11853.57142857143
2021-01-28,1444.7142857142858,11035.42857142857
2021-01-29,1405.7142857142858,10038.285714285714
2021-01-30,1352.7142857142858,9326.42857142857
2021-01-31,1358.857142857143,8900.0
2021-02-01,1335.0,8759.0
2021-02-02,1362.4285714285713,8903.285714285714
2021-02-03,1333.857142857143,9333.0
2021-02-04,1342.7142857142858,10048.0
2021-02-05,1349.4285714285713,11048.42857142857
2021-02-06,1328.5714285714287,11961.714285714286
2021-02-07,1311.5714285714287,12787.857142857143
2021-02-08,1319.5714285714287,13527.0
2021-02-09,1300.0,14179.142857142857
2021-02-10,1301.5714285714287,14744.142857142857
2021-02-11,1276.7142857142858,15222.0
2021-02-12,1297.4285714285713,15612.714285714286
2021-02-13,1339.0,15907.142857142857
2021-02-14,1324.7142857142858,16105.0
2021-02-15,1327.0,16206.42857142857
2021-02-16,1351.7142857142858,16211.285714285714
2021-02-17,1389.142857142857,16119.714285714286
2021-02-18,1415.7142857142858,15931.857142857143
2021-02-19,1448.5714285714287,15647.42857142857
2021-02-20,1468.2857142857142,15475.857142857143
2021-02-21,1586.4285714285713,15417.42857142857
2021-02-22,1655.142857142857,15471.857142857143
2021-02-23,1662.2857142857142,15639.285714285714
2021-02-24,1718.857142857143,15919.714285714286
2021-02-25,1763.142857142857,16313.0
2021-02-26,1842.2857142857142,16819.285714285714
2021-02-27,1868.5714285714287,17374.714285714286
2021-02-28,1925.857142857143,17979.14285714286
2021-03-01,2006.7142857142858,18632.571428571428
2021-03-02,2032.4285714285713,19335.14285714286
2021-03-03,2073.8571428571427,20086.714285714286
2021-03-04,2143.714285714286,20887.285714285714
2021-03-05,2136.1428571428573,21737.0
2021-03-06,2203.1428571428573,22726.285714285714
2021-03-07,2239.8571428571427,23855.14285714286
2021-03-08,2244.0,25123.714285714286
2021-03-09,2322.285714285714,26531.714285714286
2021-03-10,2369.8571428571427,28079.285714285714
2021-03-11,2363.5714285714284,29766.571428571428
2021-03-12,2431.1428571428573,31593.428571428572
2021-03-13,2530.8571428571427,33100.57142857143
2021-03-14,2568.5714285714284,34288.142857142855
2021-03-15,2609.4285714285716,35156.0
2021-03-16,2604.0,35704.28571428572
2021-03-17,2639.0,35932.857142857145
2021-03-18,2704.285714285714,35841.857142857145
2021-03-19,2797.5714285714284,35431.142857142855
2021-03-20,2821.714285714286,35109.28571428572
2021-03-21,2911.4285714285716,34876.0
2021-03-22,2934.5714285714284,34731.57142857143
2021-03-23,3009.285714285714,34676.0
2021-03-24,3046.5714285714284,34709.28571428572
2021-03-25,3142.1428571428573,34831.142857142855
2021-03-26,3130.0,35041.857142857145
2021-03-27,3128.285714285714,35151.71428571428
2021-03-28,3077.714285714286,35160.857142857145
2021-03-29,3070.714285714286,35069.0
2021-03-30,3184.714285714286,34876.28571428572
2021-03-31,3152.1428571428573,34582.71428571428
2021-04-01,3094.285714285714,34188.42857142857
2021-04-02,3087.285714285714,33693.28571428572
2021-04-03,3069.714285714286,33647.857142857145
2021-04-04,3071.5714285714284,34052.28571428572
2021-04-05,3096.714285714286,34906.57142857143
2021-04-06,2967.8571428571427,36210.71428571428
2021-04-07,2856.8571428571427,37964.57142857143
2021-04-08,2815.714285714286,40168.28571428572
2021-04-09,2740.0,42821.71428571428
2021-04-10,2655.1428571428573,45157.57142857143
2021-04-11,2675.714285714286,47175.71428571428
2021-04-12,2553.714285714286,48876.28571428572
2021-04-13,2514.5714285714284,50259.0
2021-04-14,2545.8571428571427,51324.142857142855
2021-04-15,2593.285714285714,52071.57142857143
2021-04-16,2574.4285714285716,52501.42857142857
2021-04-17,2553.0,52804.857142857145
2021-04-18,2397.5714285714284,52981.857142857145
2021-04-19,2407.4285714285716,53032.42857142857
2021-04-20,2401.1428571428573,52956.57142857143
2021-04-21,2380.0,52754.28571428572
2021-04-22,2287.714285714286,52425.57142857143
2021-04-23,2272.714285714286,51970.42857142857
2021-04-24,2292.714285714286,51597.0
2021-04-25,2236.4285714285716,51305.28571428572
2021-04-26,2216.5714285714284,51095.28571428572
2021-04-27,2154.8571428571427,50967.28571428572
2021-04-28,2130.0,50921.0
2021-04-29,2093.4285714285716,50956.42857142857
2021-04-30,2026.857142857143,51073.57142857143
2021-05-01,1974.7142857142858,51451.142857142855
2021-05-02,1930.2857142857142,52089.28571428572
2021-05-03,1879.4285714285713,52987.857142857145
2021-05-04,1811.4285714285713,54146.71428571428
2021-05-05,1743.0,55566.142857142855
2021-05-06,1663.5714285714287,57246.0
2021-05-07,1554.5714285714287,59186.28571428572
2021-05-08,1450.5714285714287,60770.28571428572
2021-05-09,1378.7142857142858,61997.71428571428
2021-05-10,1310.2857142857142,62868.857142857145
2021-05-11,1258.7142857142858,63383.57142857143
2021-05-12,1186.4285714285713,63541.857142857145
2021-05-13,1108.0,63343.71428571428
2021-05-14,1051.142857142857,62789.28571428572
2021-05-15,975.7142857142857,62656.142857142855
2021-05-16,903.0,62944.42857142857
2021-05-17,850.1428571428571,63654.142857142855
