date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-02,455.85714285714283,1362.7142857142858
2021-02-03,443.0,1744.7142857142858
2021-02-04,439.57142857142856,2141.1428571428573
2021-02-05,436.85714285714283,2405.4285714285716
2021-02-06,428.57142857142856,2603.714285714286
2021-02-07,417.57142857142856,2762.285714285714
2021-02-08,399.42857142857144,4343.857142857143
2021-02-09,379.7142857142857,7356.0
2021-02-10,372.57142857142856,13477.285714285714
2021-02-11,363.0,22198.571428571428
2021-02-12,358.57142857142856,33571.142857142855
2021-02-13,356.57142857142856,47595.0
2021-02-14,361.42857142857144,65012.57142857143
2021-02-15,380.0,84095.0
2021-02-16,381.2857142857143,104846.85714285714
2021-02-17,389.14285714285717,123821.42857142857
2021-02-18,385.2857142857143,142776.85714285713
2021-02-19,385.57142857142856,158760.85714285713
2021-02-20,394.0,171773.42857142858
2021-02-21,394.14285714285717,180234.85714285713
2021-02-22,382.7142857142857,183254.7142857143
2021-02-23,383.14285714285717,182257.57142857142
2021-02-24,381.0,178953.0
2021-02-25,383.7142857142857,171301.0
2021-02-26,392.85714285714283,162941.2857142857
2021-02-27,401.0,153873.85714285713
2021-02-28,409.2857142857143,146231.42857142858
2021-03-01,440.57142857142856,140974.57142857142
2021-03-02,457.14285714285717,135240.14285714287
2021-03-03,483.7142857142857,129150.85714285714
2021-03-04,513.5714285714286,123591.71428571429
2021-03-05,537.1428571428571,118381.85714285714
2021-03-06,556.1428571428571,113521.14285714286
2021-03-07,587.7142857142857,106513.42857142857
2021-03-08,624.8571428571429,100476.28571428571
2021-03-09,681.5714285714286,96843.71428571429
2021-03-10,739.2857142857143,94117.42857142857
2021-03-11,801.0,92214.0
2021-03-12,862.5714285714286,91526.42857142857
2021-03-13,930.2857142857143,92054.85714285714
2021-03-14,1009.2857142857143,95000.0
2021-03-15,1141.857142857143,95390.71428571429
2021-03-16,1257.142857142857,93226.85714285714
2021-03-17,1378.142857142857,90438.14285714286
2021-03-18,1540.4285714285713,87024.71428571429
2021-03-19,1659.4285714285713,82593.71428571429
2021-03-20,1781.4285714285713,77145.28571428571
2021-03-21,1926.142857142857,71477.71428571429
2021-03-22,2074.1428571428573,67018.0
2021-03-23,2336.285714285714,63827.42857142857
2021-03-24,2579.4285714285716,62131.0
2021-03-25,2779.4285714285716,61762.28571428572
2021-03-26,3042.0,62049.28571428572
2021-03-27,3300.0,62991.71428571428
2021-03-28,3548.0,62993.142857142855
2021-03-29,3886.8571428571427,62689.42857142857
2021-03-30,4099.428571428572,61556.57142857143
2021-03-31,4355.285714285715,58831.0
2021-04-01,4767.0,55190.28571428572
2021-04-02,5208.857142857143,50862.142857142855
2021-04-03,5495.857142857143,45846.857142857145
2021-04-04,5950.0,41464.28571428572
2021-04-05,6220.571428571428,37628.28571428572
2021-04-06,6530.714285714285,34658.142857142855
2021-04-07,6854.714285714285,32553.85714285714
2021-04-08,6909.714285714285,32123.285714285714
2021-04-09,7000.0,33395.57142857143
2021-04-10,6951.428571428572,36370.57142857143
2021-04-11,6770.285714285715,42270.57142857143
2021-04-12,6788.285714285715,50696.142857142855
2021-04-13,6619.0,62069.857142857145
2021-04-14,6270.285714285715,76391.57142857143
2021-04-15,5890.0,90678.57142857143
2021-04-16,5455.0,105330.57142857143
2021-04-17,5187.857142857143,120347.42857142857
2021-04-18,4884.857142857143,131719.2857142857
2021-04-19,4466.285714285715,140845.0
2021-04-20,4256.428571428572,147711.7142857143
2021-04-21,4127.142857142857,152123.7142857143
2021-04-22,4101.714285714285,155744.57142857142
2021-04-23,3989.1428571428573,156772.85714285713
2021-04-24,3878.285714285714,155208.85714285713
2021-04-25,3767.4285714285716,155100.57142857142
2021-04-26,3629.5714285714284,153992.42857142858
2021-04-27,3411.285714285714,151392.57142857142
2021-04-28,3222.0,147649.85714285713
2021-04-29,2983.0,142528.7142857143
2021-04-30,2775.5714285714284,137215.2857142857
2021-05-01,2597.714285714286,131709.2857142857
2021-05-02,2374.4285714285716,122446.42857142857
2021-05-03,2150.5714285714284,113055.57142857143
2021-05-04,1991.0,103919.57142857143
2021-05-05,1817.7142857142858,95341.71428571429
2021-05-06,1743.5714285714287,87775.14285714286
2021-05-07,1672.857142857143,81448.28571428571
2021-05-08,1649.0,76361.14285714286
2021-05-09,1652.857142857143,75329.42857142857
2021-05-10,1620.7142857142858,74441.57142857143
2021-05-11,1523.0,73609.0
2021-05-12,1437.0,72144.28571428571
2021-05-13,1361.0,68921.71428571429
2021-05-14,1241.857142857143,65039.0
2021-05-15,1095.5714285714287,60496.28571428572
2021-05-16,949.4285714285714,53226.42857142857
2021-05-17,832.8571428571429,46906.142857142855
2021-05-18,838.8571428571429,41577.28571428572
2021-05-19,905.7142857142857,36251.57142857143
2021-05-20,929.5714285714286,34518.71428571428
2021-05-21,1023.2857142857143,33608.71428571428
2021-05-22,1132.857142857143,33521.71428571428
2021-05-23,1274.4285714285713,35665.857142857145
2021-05-24,1380.5714285714287,37277.142857142855
2021-05-25,1438.142857142857,38023.57142857143
2021-05-26,1422.2857142857142,39854.71428571428
2021-05-27,1398.7142857142858,38334.28571428572
2021-05-28,1377.857142857143,36430.857142857145
2021-05-29,1380.0,34144.28571428572
2021-05-30,1392.857142857143,30909.0
2021-05-31,1431.2857142857142,27490.14285714286
2021-06-01,1444.142857142857,23994.285714285714
2021-06-02,1514.2857142857142,20259.85714285714
2021-06-03,1570.7142857142858,18041.714285714286
2021-06-04,1646.2857142857142,15826.714285714286
2021-06-05,1704.0,13614.714285714286
2021-06-06,1737.142857142857,11668.714285714286
2021-06-07,1774.2857142857142,10152.142857142857
2021-06-08,1853.857142857143,9387.714285714286
2021-06-09,1932.2857142857142,8554.285714285714
2021-06-10,2059.285714285714,7651.857142857143
2021-06-11,2140.285714285714,6991.0
2021-06-12,2167.4285714285716,6572.0
2021-06-13,2276.0,6112.0
2021-06-14,2430.285714285714,5725.428571428572
2021-06-15,2572.714285714286,5207.714285714285
2021-06-16,2775.4285714285716,4801.428571428572
2021-06-17,2956.0,4457.0
2021-06-18,3160.1428571428573,4077.4285714285716
2021-06-19,3363.0,3662.5714285714284
