date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-24,51489.71428571428,52426.857142857145
2021-01-25,51599.28571428572,68624.28571428571
2021-01-26,50925.42857142857,88731.71428571429
2021-01-27,51374.71428571428,108631.0
2021-01-28,51356.0,129664.0
2021-01-29,51232.42857142857,146287.0
2021-01-30,51617.0,162706.85714285713
2021-01-31,52084.71428571428,180182.85714285713
2021-02-01,51531.57142857143,194267.2857142857
2021-02-02,51450.57142857143,203323.14285714287
2021-02-03,51132.71428571428,208483.57142857142
2021-02-04,50008.857142857145,211390.0
2021-02-05,48934.857142857145,211717.0
2021-02-06,48229.42857142857,212408.85714285713
2021-02-07,46950.28571428572,213454.85714285713
2021-02-08,45831.42857142857,214207.2857142857
2021-02-09,45701.28571428572,216710.7142857143
2021-02-10,45536.71428571428,219366.14285714287
2021-02-11,45163.857142857145,221599.14285714287
2021-02-12,45678.142857142855,226624.7142857143
2021-02-13,45373.71428571428,230218.7142857143
2021-02-14,45470.0,233627.2857142857
2021-02-15,44565.57142857143,238975.7142857143
2021-02-16,44267.57142857143,242334.57142857142
2021-02-17,45518.71428571428,246317.14285714287
2021-02-18,46059.42857142857,250761.85714285713
2021-02-19,45654.28571428572,250030.0
2021-02-20,45245.28571428572,250654.42857142858
2021-02-21,45174.42857142857,251591.85714285713
2021-02-22,47056.28571428572,249497.85714285713
2021-02-23,47665.857142857145,247557.57142857142
2021-02-24,46921.42857142857,243322.2857142857
2021-02-25,47984.857142857145,237763.2857142857
2021-02-26,49388.0,234108.42857142858
2021-02-27,51405.0,229392.2857142857
2021-02-28,53422.0,223324.2857142857
2021-03-01,54012.0,220402.7142857143
2021-03-02,54726.42857142857,221576.42857142858
2021-03-03,55977.28571428572,228685.7142857143
2021-03-04,55578.71428571428,238905.0
2021-03-05,56309.57142857143,254121.85714285713
2021-03-06,57610.142857142855,272782.14285714284
2021-03-07,59085.28571428572,294128.28571428574
2021-03-08,60229.142857142855,313975.14285714284
2021-03-09,66869.28571428571,329345.85714285716
2021-03-10,66380.57142857143,339565.28571428574
2021-03-11,67929.0,347252.0
2021-03-12,69096.42857142857,351061.85714285716
2021-03-13,69140.71428571429,350978.5714285714
2021-03-14,70593.28571428571,348024.4285714286
2021-03-15,71531.71428571429,345771.71428571426
2021-03-16,66289.42857142857,345034.0
2021-03-17,66849.14285714286,345568.0
2021-03-18,68729.42857142857,346188.4285714286
2021-03-19,70219.0,349544.5714285714
2021-03-20,71871.85714285714,354991.85714285716
2021-03-21,72572.85714285714,362245.85714285716
2021-03-22,72985.85714285714,370357.0
2021-03-23,73551.85714285714,380891.14285714284
2021-03-24,75416.71428571429,396615.5714285714
2021-03-25,75212.0,418928.28571428574
2021-03-26,75167.57142857143,446455.0
2021-03-27,77049.85714285714,475402.4285714286
2021-03-28,76146.28571428571,506889.71428571426
2021-03-29,77129.0,543423.0
2021-03-30,76636.42857142857,580847.0
2021-03-31,75155.57142857143,615835.1428571428
2021-04-01,75441.42857142857,649666.0
2021-04-02,75533.71428571429,662910.5714285715
