date,moving_average_new_cases,moving_average_new_vaccinations
2021-04-01,344.57142857142856,1618.0
2021-04-02,344.57142857142856,1618.0
2021-04-03,267.0,1599.142857142857
2021-04-04,267.0,1561.4285714285713
2021-04-05,267.0,1504.857142857143
2021-04-06,256.57142857142856,1429.4285714285713
2021-04-07,256.57142857142856,1335.2857142857142
2021-04-08,256.57142857142856,1222.2857142857142
2021-04-09,256.57142857142856,1090.4285714285713
2021-04-10,247.71428571428572,1012.4285714285714
2021-04-11,247.71428571428572,988.2857142857143
2021-04-12,247.71428571428572,1018.0
2021-04-13,200.14285714285714,1111.7142857142858
2021-04-14,200.14285714285714,1269.142857142857
2021-04-15,200.14285714285714,1490.5714285714287
2021-04-16,200.14285714285714,1775.857142857143
2021-04-17,179.71428571428572,2010.7142857142858
2021-04-18,179.71428571428572,2195.1428571428573
2021-04-19,179.71428571428572,2329.0
2021-04-20,254.28571428571428,2386.8571428571427
2021-04-21,254.28571428571428,2368.714285714286
2021-04-22,254.28571428571428,2274.5714285714284
2021-04-23,254.28571428571428,2104.4285714285716
2021-04-24,623.7142857142857,1924.5714285714287
2021-04-25,623.7142857142857,1734.857142857143
2021-04-26,623.7142857142857,1535.4285714285713
2021-04-27,507.7142857142857,1346.142857142857
2021-04-28,507.7142857142857,1167.0
2021-04-29,507.7142857142857,997.8571428571429
2021-04-30,507.7142857142857,839.0
2021-05-01,180.71428571428572,707.0
2021-05-02,180.71428571428572,601.8571428571429
2021-05-03,180.71428571428572,523.7142857142857
2021-05-04,132.0,469.0
2021-05-05,132.0,437.85714285714283
2021-05-06,132.0,430.14285714285717
2021-05-07,132.0,445.85714285714283
2021-05-08,172.14285714285714,468.2857142857143
2021-05-09,172.14285714285714,497.42857142857144
2021-05-10,172.14285714285714,533.2857142857143
2021-05-11,261.2857142857143,634.7142857142857
2021-05-12,261.2857142857143,801.8571428571429
2021-05-13,261.2857142857143,1034.857142857143
2021-05-14,261.2857142857143,1333.4285714285713
2021-05-15,254.28571428571428,1723.4285714285713
2021-05-16,254.28571428571428,2205.0
2021-05-17,254.28571428571428,2778.1428571428573
2021-05-18,284.14285714285717,3363.285714285714
2021-05-19,284.14285714285717,3960.4285714285716
2021-05-20,284.14285714285717,4569.428571428572
2021-05-21,284.14285714285717,5190.428571428572
2021-05-22,297.7142857142857,5679.857142857143
2021-05-23,297.7142857142857,6037.571428571428
2021-05-24,297.7142857142857,6263.428571428572
2021-05-25,308.85714285714283,6301.571428571428
2021-05-26,308.85714285714283,6151.714285714285
2021-05-27,308.85714285714283,5814.142857142857
2021-05-28,308.85714285714283,5288.714285714285
2021-05-29,302.0,4734.714285714285
2021-05-30,302.0,4152.285714285715
2021-05-31,302.0,3541.4285714285716
2021-06-01,350.14285714285717,2996.1428571428573
2021-06-02,350.14285714285717,2516.5714285714284
2021-06-03,350.14285714285717,2102.5714285714284
2021-06-04,350.14285714285717,1754.2857142857142
2021-06-05,447.42857142857144,1449.7142857142858
2021-06-06,447.42857142857144,1188.7142857142858
2021-06-07,447.42857142857144,971.4285714285714
2021-06-08,468.0,857.2857142857143
2021-06-09,468.0,846.2857142857143
2021-06-10,468.0,938.4285714285714
2021-06-11,468.0,1133.5714285714287
2021-06-12,481.85714285714283,1406.5714285714287
2021-06-13,481.85714285714283,1757.5714285714287
2021-06-14,481.85714285714283,2186.4285714285716
2021-06-15,539.2857142857143,2618.714285714286
2021-06-16,539.2857142857143,3054.285714285714
2021-06-17,539.2857142857143,3493.285714285714
2021-06-18,539.2857142857143,3935.714285714286
2021-06-19,623.7142857142857,4372.428571428572
2021-06-20,623.7142857142857,4803.428571428572
2021-06-21,623.7142857142857,5228.857142857143
2021-06-22,608.0,5566.714285714285
2021-06-23,608.0,5817.142857142857
2021-06-24,608.0,5980.0
2021-06-25,608.0,6055.428571428572
2021-06-26,240.57142857142858,6008.428571428572
2021-06-27,240.57142857142858,5839.142857142857
2021-06-28,240.57142857142858,5547.285714285715
2021-06-29,196.0,5216.571428571428
2021-06-30,196.0,4847.0
2021-07-01,196.0,4438.428571428572
2021-07-02,196.0,3991.0
2021-07-03,558.0,3601.285714285714
2021-07-04,558.0,3269.285714285714
2021-07-05,558.0,2995.0
2021-07-06,563.5714285714286,2764.5714285714284
2021-07-07,563.5714285714286,2578.0
2021-07-08,563.5714285714286,2435.5714285714284
2021-07-09,563.5714285714286,2337.0
2021-07-10,882.2857142857143,2409.8571428571427
2021-07-11,882.2857142857143,2530.0
2021-07-12,882.2857142857143,2697.5714285714284
2021-07-13,1535.0,2938.8571428571427
2021-07-14,1535.0,3254.0
2021-07-15,1535.0,3642.714285714286
2021-07-16,1535.0,4105.142857142857
2021-07-17,1678.4285714285713,4241.857142857143
2021-07-18,1678.4285714285713,4300.857142857143
2021-07-19,1678.4285714285713,4282.285714285715
2021-07-20,1646.2857142857142,4186.714285714285
2021-07-21,1646.2857142857142,4014.1428571428573
2021-07-22,1646.2857142857142,3764.5714285714284
2021-07-23,1646.2857142857142,3438.1428571428573
2021-07-24,1460.2857142857142,3368.4285714285716
2021-07-25,1460.2857142857142,3431.4285714285716
2021-07-26,1460.2857142857142,3627.0
2021-07-27,1290.4285714285713,3840.8571428571427
2021-07-28,1290.4285714285713,4072.714285714286
2021-07-29,1290.4285714285713,4322.857142857143
2021-07-30,1290.4285714285713,4591.0
2021-07-31,1870.857142857143,4660.428571428572
2021-08-01,1870.857142857143,4531.0
2021-08-02,1870.857142857143,4202.857142857143
2021-08-03,2269.1428571428573,3841.8571428571427
2021-08-04,2269.1428571428573,3448.1428571428573
2021-08-05,2269.1428571428573,3021.5714285714284
2021-08-06,2269.1428571428573,2562.285714285714
2021-08-07,2221.5714285714284,2247.714285714286
2021-08-08,2221.5714285714284,2077.8571428571427
2021-08-09,2221.5714285714284,2052.5714285714284
2021-08-10,1171.0,2110.285714285714
2021-08-11,2026.2857142857142,2287.8571428571427
2021-08-12,2026.2857142857142,2585.285714285714
2021-08-13,2026.2857142857142,3002.4285714285716
2021-08-14,1658.4285714285713,3349.0
2021-08-15,1658.4285714285713,3625.285714285714
2021-08-16,1658.4285714285713,3831.1428571428573
2021-08-17,2241.4285714285716,3958.4285714285716
2021-08-18,1386.142857142857,3933.5714285714284
2021-08-19,1386.142857142857,3756.4285714285716
2021-08-20,1386.142857142857,3427.1428571428573
2021-08-21,1208.857142857143,3129.1428571428573
2021-08-22,1208.857142857143,2862.285714285714
2021-08-23,1208.857142857143,2626.714285714286
