date,moving_average_new_cases,moving_average_new_vaccinations
2020-12-21,6669.857142857143,2166.5714285714284
2020-12-22,6686.0,2596.8571428571427
2020-12-23,6636.0,3044.8571428571427
2020-12-24,6613.714285714285,3483.4285714285716
2020-12-25,6675.0,3845.4285714285716
2020-12-26,6644.714285714285,4236.0
2020-12-27,6271.142857142857,4721.0
2020-12-28,6447.428571428572,5065.857142857143
2020-12-29,6334.571428571428,5454.714285714285
2020-12-30,6250.142857142857,5810.428571428572
2020-12-31,6285.142857142857,6100.857142857143
2021-01-01,6375.428571428572,6490.857142857143
2021-01-02,6611.142857142857,6997.0
2021-01-03,7099.714285714285,7479.571428571428
2021-01-04,7000.857142857143,8333.57142857143
2021-01-05,7177.142857142857,9138.285714285714
2021-01-06,7480.142857142857,10144.857142857143
2021-01-07,7623.857142857143,11589.285714285714
2021-01-08,7751.714285714285,13666.142857142857
2021-01-09,7736.571428571428,16292.57142857143
2021-01-10,7915.714285714285,19260.0
2021-01-11,8091.142857142857,22181.85714285714
2021-01-12,8260.142857142857,25278.714285714286
2021-01-13,8108.428571428572,28122.0
2021-01-14,7942.714285714285,30583.571428571428
2021-01-15,7726.714285714285,32488.14285714286
2021-01-16,7616.0,33782.71428571428
2021-01-17,7336.428571428572,34807.57142857143
2021-01-18,7107.571428571428,35591.71428571428
2021-01-19,6930.428571428572,36269.57142857143
2021-01-20,6698.428571428572,37167.857142857145
2021-01-21,6468.714285714285,37963.28571428572
2021-01-22,6309.285714285715,38369.857142857145
2021-01-23,6079.285714285715,38530.0
2021-01-24,5957.571428571428,38302.28571428572
2021-01-25,5755.857142857143,37650.28571428572
2021-01-26,5504.857142857143,36632.857142857145
2021-01-27,5419.857142857143,34936.857142857145
2021-01-28,5324.428571428572,32862.57142857143
2021-01-29,5104.428571428572,30690.285714285714
2021-01-30,4950.428571428572,28478.571428571428
2021-01-31,4769.428571428572,26357.0
2021-02-01,4628.285714285715,24494.714285714286
2021-02-02,4496.0,22462.85714285714
2021-02-03,4368.285714285715,20650.714285714286
2021-02-04,4199.285714285715,19096.571428571428
2021-02-05,4060.714285714286,17910.714285714286
2021-02-06,3947.285714285714,17108.428571428572
2021-02-07,3851.8571428571427,16677.14285714286
2021-02-08,3718.4285714285716,16414.14285714286
2021-02-09,3614.285714285714,16829.285714285714
2021-02-10,3504.4285714285716,17769.14285714286
2021-02-11,3482.8571428571427,19108.85714285714
2021-02-12,3475.8571428571427,20695.571428571428
2021-02-13,3347.0,22403.85714285714
2021-02-14,3221.4285714285716,23983.571428571428
2021-02-15,3188.5714285714284,25280.14285714286
2021-02-16,3073.4285714285716,26249.428571428572
2021-02-17,3009.8571428571427,26714.14285714286
2021-02-18,2968.4285714285716,26763.714285714286
2021-02-19,2885.5714285714284,26795.285714285714
2021-02-20,2904.5714285714284,26936.571428571428
2021-02-21,2897.1428571428573,27541.0
2021-02-22,2857.1428571428573,29417.571428571428
2021-02-23,2851.8571428571427,31795.0
2021-02-24,2902.714285714286,34858.0
2021-02-25,2960.285714285714,38686.57142857143
2021-02-26,3001.8571428571427,42615.142857142855
2021-02-27,2976.1428571428573,46394.857142857145
2021-02-28,2994.4285714285716,49757.857142857145
2021-03-01,3005.285714285714,52018.71428571428
2021-03-02,3009.1428571428573,54324.71428571428
2021-03-03,2968.8571428571427,56702.57142857143
2021-03-04,2921.285714285714,58866.57142857143
2021-03-05,2909.285714285714,61036.0
2021-03-06,2866.1428571428573,63226.0
2021-03-07,2886.714285714286,65550.71428571429
2021-03-08,2826.8571428571427,68473.85714285714
2021-03-09,2851.5714285714284,70772.71428571429
2021-03-10,2914.5714285714284,72574.28571428571
2021-03-11,2966.4285714285716,74341.42857142857
2021-03-12,3025.1428571428573,76264.0
2021-03-13,3052.285714285714,78615.28571428571
2021-03-14,3066.0,81467.71428571429
2021-03-15,3160.714285714286,84550.0
2021-03-16,3220.714285714286,88769.71428571429
2021-03-17,3193.4285714285716,94165.85714285714
2021-03-18,3193.285714285714,100369.85714285714
2021-03-19,3216.285714285714,107130.28571428571
2021-03-20,3298.714285714286,113790.14285714286
2021-03-21,3406.5714285714284,119669.42857142857
2021-03-22,3473.8571428571427,125209.85714285714
2021-03-23,3534.0,129809.14285714286
2021-03-24,3666.714285714286,133787.57142857142
2021-03-25,3779.1428571428573,137260.42857142858
2021-03-26,3873.0,140744.2857142857
2021-03-27,4101.714285714285,144408.14285714287
2021-03-28,4227.571428571428,149303.42857142858
2021-03-29,4421.0,154624.85714285713
2021-03-30,4601.0,160829.7142857143
2021-03-31,4715.142857142857,167451.7142857143
2021-04-01,4896.857142857143,173751.2857142857
2021-04-02,5107.142857142857,177986.85714285713
2021-04-03,5193.571428571428,181981.14285714287
2021-04-04,5454.428571428572,184241.42857142858
2021-04-05,5662.714285714285,185500.57142857142
2021-04-06,5851.571428571428,186343.85714285713
2021-04-07,6093.428571428572,186347.42857142858
2021-04-08,6328.0,187003.2857142857
2021-04-09,6561.285714285715,191342.0
2021-04-10,6874.142857142857,196173.57142857142
2021-04-11,7205.857142857143,202821.85714285713
2021-04-12,7451.571428571428,212771.7142857143
2021-04-13,7767.0,223582.42857142858
2021-04-14,8091.571428571428,235472.42857142858
2021-04-15,8237.57142857143,247353.85714285713
2021-04-16,8445.0,256895.7142857143
2021-04-17,8670.0,265678.4285714286
2021-04-18,8684.0,273556.28571428574
2021-04-19,8730.42857142857,276751.14285714284
2021-04-20,8711.57142857143,277832.0
2021-04-21,8679.0,278016.0
2021-04-22,8640.857142857143,278339.4285714286
2021-04-23,8615.285714285714,279145.5714285714
2021-04-24,8445.42857142857,280412.71428571426
2021-04-25,8359.285714285714,281967.5714285714
