date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-24,4444.857142857143,9403.0
2021-02-25,4427.285714285715,9133.714285714286
2021-02-26,4263.0,8838.142857142857
2021-02-27,4100.0,8911.857142857143
2021-02-28,3970.1428571428573,9342.142857142857
2021-03-01,3731.0,10173.857142857143
2021-03-02,3632.5714285714284,11506.857142857143
2021-03-03,3656.714285714286,13352.857142857143
2021-03-04,3715.714285714286,15069.0
2021-03-05,3586.285714285714,17079.0
2021-03-06,3569.4285714285716,18619.14285714286
2021-03-07,3541.4285714285716,20212.428571428572
2021-03-08,3587.1428571428573,21497.714285714286
2021-03-09,3566.5714285714284,23783.571428571428
2021-03-10,3371.5714285714284,26800.14285714286
2021-03-11,3253.285714285714,31747.428571428572
2021-03-12,3330.5714285714284,37770.42857142857
2021-03-13,3475.4285714285716,45026.0
2021-03-14,3576.4285714285716,52678.71428571428
2021-03-15,3691.0,61473.42857142857
2021-03-16,3784.0,68403.28571428571
2021-03-17,3860.4285714285716,73614.28571428571
2021-03-18,3889.714285714286,75748.14285714286
2021-03-19,4027.714285714286,75439.28571428571
2021-03-20,4107.714285714285,73151.71428571429
2021-03-21,4258.428571428572,69641.57142857143
2021-03-22,4586.428571428572,64058.142857142855
2021-03-23,4858.0,58969.0
2021-03-24,5199.142857142857,55235.0
2021-03-25,5374.857142857143,53450.857142857145
2021-03-26,5579.428571428572,53977.0
2021-03-27,5807.0,56936.71428571428
2021-03-28,6130.142857142857,61672.42857142857
2021-03-29,6343.428571428572,69886.71428571429
2021-03-30,6511.428571428572,80051.0
2021-03-31,6785.857142857143,90188.71428571429
2021-04-01,7215.285714285715,98855.14285714286
2021-04-02,7595.285714285715,104479.0
2021-04-03,8269.142857142857,106709.57142857143
2021-04-04,8673.0,106411.0
2021-04-05,8800.857142857143,102080.85714285714
2021-04-06,9069.857142857143,94781.71428571429
2021-04-07,9518.57142857143,86419.0
2021-04-08,10072.142857142857,80039.71428571429
2021-04-09,10462.857142857143,77391.14285714286
2021-04-10,10607.857142857143,77517.28571428571
2021-04-11,10879.714285714286,79765.42857142857
2021-04-12,11645.42857142857,83424.42857142857
2021-04-13,12854.142857142857,89558.42857142857
2021-04-14,13789.714285714286,95996.28571428571
2021-04-15,14439.714285714286,100033.57142857143
2021-04-16,15169.142857142857,100723.28571428571
2021-04-17,15805.42857142857,100836.85714285714
2021-04-18,16459.428571428572,100074.57142857143
2021-04-19,16765.85714285714,100066.0
2021-04-20,16678.428571428572,97305.14285714286
2021-04-21,16314.142857142857,95516.42857142857
2021-04-22,16398.14285714286,95359.42857142857
2021-04-23,16501.714285714286,97080.71428571429
2021-04-24,16842.85714285714,97642.57142857143
2021-04-25,17303.14285714286,98045.28571428571
2021-04-26,17314.0,97591.28571428571
2021-04-27,17359.571428571428,97927.0
2021-04-28,17166.714285714286,96043.42857142857
2021-04-29,17254.285714285714,93948.42857142857
2021-04-30,17616.14285714286,92722.71428571429
2021-05-01,17330.714285714286,93104.0
2021-05-02,17025.714285714286,94885.57142857143
2021-05-03,17210.285714285714,98682.14285714286
2021-05-04,17027.285714285714,104798.28571428571
2021-05-05,16850.14285714286,113938.28571428571
2021-05-06,16417.714285714286,124099.57142857143
2021-05-07,15712.142857142857,133120.7142857143
2021-05-08,15595.285714285714,141269.0
2021-05-09,15557.42857142857,148657.42857142858
2021-05-10,15398.57142857143,153268.42857142858
2021-05-11,15586.142857142857,156476.57142857142
2021-05-12,15721.0,157977.42857142858
2021-05-13,15988.714285714286,158506.57142857142
2021-05-14,16301.142857142857,158561.2857142857
2021-05-15,16682.571428571428,159358.0
2021-05-16,16547.714285714286,158884.7142857143
2021-05-17,16828.14285714286,158389.57142857142
2021-05-18,16524.0,157206.85714285713
2021-05-19,16587.0,155300.85714285713
2021-05-20,16117.285714285714,152056.57142857142
2021-05-21,16058.142857142857,147970.57142857142
2021-05-22,15619.0,142065.7142857143
2021-05-23,15370.0,136699.0
2021-05-24,15350.57142857143,133206.57142857142
2021-05-25,16290.0,130149.71428571429
2021-05-26,16860.428571428572,129495.0
2021-05-27,18009.571428571428,132395.7142857143
2021-05-28,18996.428571428572,139608.7142857143
2021-05-29,20283.0,151133.85714285713
2021-05-30,21502.428571428572,164941.42857142858
2021-05-31,21753.428571428572,180833.42857142858
2021-06-01,21546.14285714286,198686.14285714287
2021-06-02,22431.85714285714,216558.85714285713
2021-06-03,23115.428571428572,232033.14285714287
2021-06-04,23617.285714285714,244078.0
2021-06-05,24121.85714285714,252218.0
2021-06-06,25068.428571428572,257687.14285714287
2021-06-07,26279.428571428572,257174.2857142857
2021-06-08,26826.85714285714,253605.0
2021-06-09,26651.428571428572,246525.42857142858
2021-06-10,25597.14285714286,238649.7142857143
2021-06-11,25201.85714285714,230699.85714285713
2021-06-12,25298.714285714286,222687.57142857142
2021-06-13,25237.285714285714,214933.0
2021-06-14,25384.0,210690.57142857142
2021-06-15,26022.428571428572,208503.2857142857
2021-06-16,26369.14285714286,209510.57142857142
2021-06-17,27207.14285714286,212058.2857142857
2021-06-18,27720.571428571428,216483.2857142857
2021-06-19,27812.428571428572,224188.2857142857
2021-06-20,27701.0,234791.57142857142
2021-06-21,27520.428571428572,249043.85714285713
2021-06-22,27420.285714285714,263927.71428571426
2021-06-23,27257.85714285714,278563.4285714286
2021-06-24,27852.714285714286,292848.5714285714
2021-06-25,28162.428571428572,305404.4285714286
2021-06-26,28598.428571428572,315349.71428571426
2021-06-27,29161.714285714286,322387.85714285716
2021-06-28,29856.0,325247.28571428574
2021-06-29,30507.14285714286,326115.5714285714
2021-06-30,31255.571428571428,325462.4285714286
2021-07-01,30864.714285714286,323601.0
2021-07-02,30566.571428571428,320847.14285714284
