date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-03,10077.142857142857,2430.0
2021-01-04,10435.142857142857,2394.714285714286
2021-01-05,10721.57142857143,2297.4285714285716
2021-01-06,10910.142857142857,2217.714285714286
2021-01-07,11020.42857142857,2338.285714285714
2021-01-08,11265.285714285714,2726.5714285714284
2021-01-09,12659.857142857143,3151.285714285714
2021-01-10,13158.57142857143,3615.714285714286
2021-01-11,12878.0,4181.0
2021-01-12,12367.142857142857,4906.857142857143
2021-01-13,11413.0,5742.285714285715
2021-01-14,10418.714285714286,6589.428571428572
2021-01-15,9429.42857142857,7317.857142857143
2021-01-16,8879.0,8059.285714285715
2021-01-17,8413.142857142857,8813.714285714286
2021-01-18,8167.571428571428,9531.714285714286
2021-01-19,7917.857142857143,10106.0
2021-01-20,7746.0,10580.57142857143
2021-01-21,7357.428571428572,10950.714285714286
2021-01-22,7279.571428571428,11278.857142857143
2021-01-23,7160.571428571428,11595.0
2021-01-24,7017.714285714285,11878.285714285714
2021-01-25,6984.571428571428,12035.857142857143
2021-01-26,6883.714285714285,12138.57142857143
2021-01-27,6825.0,12126.714285714286
2021-01-28,6870.571428571428,11986.285714285714
2021-01-29,6938.0,11770.0
2021-01-30,6873.714285714285,11489.142857142857
2021-01-31,6848.0,11185.857142857143
2021-02-01,6874.714285714285,10903.285714285714
2021-02-02,6911.571428571428,10634.285714285714
2021-02-03,6904.285714285715,10460.714285714286
2021-02-04,7070.0,10467.142857142857
2021-02-05,7080.428571428572,10551.857142857143
2021-02-06,7160.428571428572,10713.42857142857
2021-02-07,7267.142857142857,10929.57142857143
2021-02-08,7245.142857142857,11232.57142857143
2021-02-09,7327.571428571428,11592.142857142857
2021-02-10,7494.571428571428,11981.42857142857
2021-02-11,7475.714285714285,12370.714285714286
2021-02-12,7606.857142857143,12829.285714285714
2021-02-13,7641.571428571428,13287.714285714286
2021-02-14,7690.857142857143,13696.857142857143
2021-02-15,7755.714285714285,14038.142857142857
2021-02-16,7912.428571428572,14341.57142857143
2021-02-17,8244.285714285714,14561.285714285714
2021-02-18,8446.285714285714,14642.142857142857
2021-02-19,8835.857142857143,14564.57142857143
2021-02-20,9188.57142857143,14429.857142857143
2021-02-21,9426.142857142857,14310.285714285714
2021-02-22,9596.42857142857,14193.57142857143
2021-02-23,9960.857142857143,14105.0
2021-02-24,10425.142857142857,14071.142857142857
2021-02-25,10839.714285714286,14144.714285714286
2021-02-26,11255.57142857143,14313.0
2021-02-27,11765.714285714286,14517.714285714286
2021-02-28,11917.285714285714,14742.285714285714
2021-03-01,11994.42857142857,15099.285714285714
2021-03-02,12128.142857142857,15633.142857142857
2021-03-03,12271.0,16445.285714285714
2021-03-04,12480.285714285714,17488.428571428572
2021-03-05,12492.142857142857,18744.428571428572
2021-03-06,12260.0,20185.714285714286
2021-03-07,12451.42857142857,21805.14285714286
2021-03-08,12369.285714285714,23520.0
2021-03-09,12129.0,25258.428571428572
2021-03-10,11920.0,26941.428571428572
2021-03-11,11824.285714285714,28640.85714285714
2021-03-12,11335.42857142857,30345.571428571428
2021-03-13,11595.714285714286,31967.714285714286
2021-03-14,11291.142857142857,33414.42857142857
2021-03-15,11196.142857142857,34677.71428571428
2021-03-16,11192.714285714286,35832.857142857145
2021-03-17,11006.0,36720.142857142855
2021-03-18,10642.57142857143,37239.142857142855
2021-03-19,10562.285714285714,37510.71428571428
2021-03-20,9804.714285714286,37647.142857142855
2021-03-21,9583.714285714286,37678.57142857143
2021-03-22,9445.142857142857,37655.42857142857
2021-03-23,9097.42857142857,37304.28571428572
2021-03-24,8665.42857142857,36849.57142857143
2021-03-25,8205.0,36325.28571428572
2021-03-26,7798.857142857143,35665.28571428572
2021-03-27,7514.714285714285,34950.57142857143
2021-03-28,7293.0,34337.0
2021-03-29,7199.142857142857,33783.0
2021-03-30,7010.428571428572,33560.57142857143
2021-03-31,6662.285714285715,33602.42857142857
2021-04-01,6428.428571428572,34046.857142857145
2021-04-02,6192.285714285715,34148.142857142855
2021-04-03,5625.714285714285,34355.142857142855
2021-04-04,5362.714285714285,34584.0
2021-04-05,5388.714285714285,34137.71428571428
2021-04-06,4589.285714285715,33522.71428571428
2021-04-07,4149.571428571428,32661.428571428572
2021-04-08,4120.857142857143,31771.285714285714
2021-04-09,3978.285714285714,32363.14285714286
2021-04-10,4119.285714285715,33261.0
2021-04-11,4127.714285714285,34293.71428571428
2021-04-12,3988.8571428571427,37042.71428571428
2021-04-13,4345.285714285715,40165.0
2021-04-14,4273.428571428572,43797.857142857145
2021-04-15,3789.285714285714,47260.71428571428
2021-04-16,3499.4285714285716,49715.42857142857
2021-04-17,3266.285714285714,51733.857142857145
2021-04-18,3168.285714285714,53543.57142857143
2021-04-19,3146.714285714286,54172.42857142857
2021-04-20,3065.8571428571427,54377.71428571428
2021-04-21,2877.5714285714284,54079.857142857145
2021-04-22,2766.285714285714,53670.0
2021-04-23,2670.5714285714284,53073.142857142855
2021-04-24,2581.4285714285716,52526.857142857145
2021-04-25,2546.714285714286,52033.142857142855
2021-04-26,2545.8571428571427,51565.142857142855
2021-04-27,2441.0,51213.71428571428
2021-04-28,2358.4285714285716,51134.57142857143
2021-04-29,2291.285714285714,51254.42857142857
2021-04-30,2234.5714285714284,51731.57142857143
2021-05-01,2172.4285714285716,52254.42857142857
2021-05-02,2153.285714285714,52813.71428571428
2021-05-03,2106.0,53727.42857142857
2021-05-04,2050.0,54870.142857142855
2021-05-05,1931.2857142857142,56015.142857142855
2021-05-06,1842.4285714285713,57185.857142857145
2021-05-07,1747.2857142857142,58474.0
2021-05-08,1668.857142857143,59942.142857142855
2021-05-09,1603.4285714285713,61445.71428571428
2021-05-10,1585.857142857143,62797.0
2021-05-11,1488.5714285714287,64081.857142857145
2021-05-12,1384.0,65315.42857142857
2021-05-13,1296.0,66410.28571428571
2021-05-14,1245.142857142857,67219.42857142857
2021-05-15,1160.5714285714287,67917.42857142857
2021-05-16,1140.2857142857142,68562.28571428571
2021-05-17,1121.142857142857,69062.57142857143
2021-05-18,1060.142857142857,69382.14285714286
2021-05-19,990.1428571428571,69642.85714285714
2021-05-20,918.8571428571429,70040.28571428571
2021-05-21,840.8571428571429,70606.14285714286
2021-05-22,785.8571428571429,71301.71428571429
2021-05-23,748.2857142857143,72053.42857142857
2021-05-24,738.1428571428571,72828.57142857143
2021-05-25,674.2857142857143,73622.57142857143
2021-05-26,594.2857142857143,74580.85714285714
2021-05-27,560.8571428571429,75469.0
2021-05-28,534.7142857142857,76398.85714285714
2021-05-29,502.2857142857143,77194.0
2021-05-30,485.7142857142857,78009.57142857143
2021-05-31,473.7142857142857,79245.85714285714
2021-06-01,448.42857142857144,80846.71428571429
2021-06-02,421.7142857142857,82430.14285714286
2021-06-03,393.14285714285717,84079.85714285714
2021-06-04,381.42857142857144,85731.0
2021-06-05,361.57142857142856,87463.14285714286
2021-06-06,351.57142857142856,89191.14285714286
2021-06-07,348.85714285714283,90776.14285714286
2021-06-08,315.42857142857144,92168.28571428571
2021-06-09,301.2857142857143,93450.28571428571
2021-06-10,287.42857142857144,94678.71428571429
2021-06-11,252.71428571428572,95711.85714285714
2021-06-12,231.42857142857142,96603.85714285714
2021-06-13,220.28571428571428,97397.71428571429
2021-06-14,212.14285714285714,97866.28571428571
2021-06-15,194.42857142857142,98103.0
2021-06-16,169.42857142857142,98187.0
2021-06-17,150.85714285714286,98105.57142857143
2021-06-18,146.42857142857142,98036.85714285714
2021-06-19,141.57142857142858,97938.42857142857
2021-06-20,139.71428571428572,97808.28571428571
2021-06-21,142.14285714285714,97591.28571428571
2021-06-22,134.28571428571428,97371.85714285714
2021-06-23,119.14285714285714,97119.85714285714
2021-06-24,116.57142857142857,96857.28571428571
2021-06-25,106.85714285714286,96442.0
2021-06-26,104.42857142857143,96053.14285714286
2021-06-27,104.57142857142857,95676.42857142857
2021-06-28,104.42857142857143,95464.57142857143
2021-06-29,109.71428571428571,95291.42857142857
2021-06-30,117.14285714285714,95227.85714285714
2021-07-01,120.71428571428571,95091.71428571429
2021-07-02,131.0,94969.28571428571
2021-07-03,137.14285714285714,94607.42857142857
2021-07-04,145.71428571428572,94027.57142857143
2021-07-05,153.28571428571428,91768.71428571429
2021-07-06,149.14285714285714,87837.71428571429
2021-07-07,141.57142857142858,83592.71428571429
2021-07-08,161.57142857142858,79125.57142857143
2021-07-09,175.28571428571428,74445.14285714286
2021-07-10,192.28571428571428,69998.85714285714
2021-07-11,199.0,65823.14285714286
2021-07-12,206.28571428571428,64547.142857142855
2021-07-13,222.85714285714286,66175.71428571429
2021-07-14,254.0,67914.0
2021-07-15,251.71428571428572,69936.28571428571
2021-07-16,245.42857142857142,72315.28571428571
2021-07-17,239.14285714285714,74742.42857142857
2021-07-18,242.85714285714286,77180.28571428571
2021-07-19,236.85714285714286,78212.57142857143
2021-07-20,233.42857142857142,77841.28571428571
2021-07-21,230.85714285714286,77393.0
2021-07-22,227.0,76696.85714285714
2021-07-23,225.71428571428572,75476.57142857143
2021-07-24,217.85714285714286,74099.71428571429
2021-07-25,208.42857142857142,72542.85714285714
2021-07-26,203.14285714285714,70721.28571428571
2021-07-27,200.57142857142858,68639.42857142857
2021-07-28,193.57142857142858,66378.28571428571
2021-07-29,188.28571428571428,64054.857142857145
2021-07-30,188.14285714285714,61955.71428571428
2021-07-31,181.42857142857142,59837.0
2021-08-01,178.85714285714286,57723.57142857143
2021-08-02,177.85714285714286,55681.857142857145
2021-08-03,170.57142857142858,53780.28571428572
2021-08-04,168.57142857142858,52020.0
2021-08-05,169.42857142857142,50493.28571428572
2021-08-06,162.57142857142858,49105.71428571428
2021-08-07,167.28571428571428,47765.71428571428
2021-08-08,173.71428571428572,46497.28571428572
2021-08-09,178.14285714285714,45587.0
2021-08-10,181.42857142857142,44886.0
2021-08-11,184.14285714285714,44511.142857142855
2021-08-12,186.42857142857142,44118.0
2021-08-13,189.85714285714286,43671.0
2021-08-14,196.42857142857142,43125.71428571428
2021-08-15,193.71428571428572,42495.42857142857
2021-08-16,189.28571428571428,41554.28571428572
2021-08-17,195.85714285714286,40384.857142857145
2021-08-18,201.57142857142858,39042.142857142855
2021-08-19,200.14285714285714,37840.28571428572
2021-08-20,196.71428571428572,36806.28571428572
2021-08-21,189.28571428571428,35996.28571428572
2021-08-22,188.85714285714286,35346.857142857145
2021-08-23,194.0,35081.57142857143
2021-08-24,192.85714285714286,35237.857142857145
2021-08-25,185.85714285714286,35293.28571428572
2021-08-26,191.0,35097.857142857145
2021-08-27,198.0,34597.71428571428
2021-08-28,199.42857142857142,33952.71428571428
2021-08-29,199.14285714285714,33177.42857142857
2021-08-30,194.71428571428572,31914.428571428572
2021-08-31,198.28571428571428,30182.0
