date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-22,813.4285714285714,1858.7142857142858
2021-02-23,759.8571428571429,2252.1428571428573
2021-02-24,730.7142857142857,2664.1428571428573
2021-02-25,735.1428571428571,2977.5714285714284
2021-02-26,692.7142857142857,3218.1428571428573
2021-02-27,658.1428571428571,3527.4285714285716
2021-02-28,643.8571428571429,3984.1428571428573
2021-03-01,593.5714285714286,4461.285714285715
2021-03-02,588.0,5699.428571428572
2021-03-03,570.1428571428571,7952.714285714285
2021-03-04,555.7142857142857,11357.0
2021-03-05,537.5714285714286,16132.714285714286
2021-03-06,554.5714285714286,22157.85714285714
2021-03-07,521.5714285714286,28185.571428571428
2021-03-08,518.5714285714286,34274.28571428572
2021-03-09,504.0,40245.57142857143
2021-03-10,511.0,45344.28571428572
2021-03-11,485.0,49093.0
2021-03-12,504.42857142857144,50238.28571428572
2021-03-13,480.7142857142857,48943.0
2021-03-14,422.2857142857143,47631.28571428572
2021-03-15,399.7142857142857,46303.142857142855
2021-03-16,396.14285714285717,42938.857142857145
2021-03-17,430.85714285714283,38324.42857142857
2021-03-18,456.57142857142856,32969.0
2021-03-19,436.57142857142856,28774.714285714286
2021-03-20,435.7142857142857,25660.14285714286
2021-03-21,481.85714285714283,22413.14285714286
2021-03-22,488.2857142857143,19033.85714285714
2021-03-23,496.7142857142857,16972.428571428572
2021-03-24,483.2857142857143,15960.714285714286
2021-03-25,459.2857142857143,15836.857142857143
2021-03-26,427.0,15750.42857142857
2021-03-27,404.2857142857143,15701.57142857143
2021-03-28,370.42857142857144,15690.142857142857
2021-03-29,360.0,15716.285714285714
2021-03-30,343.7142857142857,15746.714285714286
2021-03-31,315.2857142857143,16264.714285714286
2021-04-01,306.85714285714283,17270.0
2021-04-02,318.2857142857143,18762.85714285714
2021-04-03,349.85714285714283,20743.0
2021-04-04,314.14285714285717,23210.571428571428
2021-04-05,330.2857142857143,26165.571428571428
2021-04-06,321.85714285714283,29608.0
2021-04-07,317.0,32558.571428571428
2021-04-08,315.7142857142857,35017.42857142857
2021-04-09,405.0,36984.42857142857
2021-04-10,397.42857142857144,38459.71428571428
2021-04-11,486.42857142857144,39443.28571428572
2021-04-12,486.14285714285717,39935.0
2021-04-13,514.8571428571429,39935.0
2021-04-14,576.2857142857143,39935.0
2021-04-15,617.5714285714286,39561.57142857143
2021-04-16,515.4285714285714,38814.57142857143
2021-04-17,510.0,37694.142857142855
2021-04-18,491.57142857142856,36200.28571428572
2021-04-19,490.14285714285717,34332.857142857145
2021-04-20,498.85714285714283,32092.0
2021-04-21,458.7142857142857,29477.714285714286
2021-04-22,449.14285714285717,27236.85714285714
2021-04-23,470.85714285714283,25369.571428571428
2021-04-24,476.7142857142857,23875.714285714286
2021-04-25,473.85714285714283,22755.285714285714
2021-04-26,533.4285714285714,22576.428571428572
2021-04-27,553.1428571428571,23348.14285714286
2021-04-28,519.0,25002.285714285714
2021-04-29,487.85714285714283,27065.14285714286
2021-04-30,468.42857142857144,29391.0
2021-05-01,441.57142857142856,31523.571428571428
2021-05-02,416.7142857142857,33361.57142857143
2021-05-03,370.2857142857143,34913.42857142857
2021-05-04,325.42857142857144,36319.28571428572
2021-05-05,369.85714285714283,37764.57142857143
2021-05-06,391.7142857142857,39322.857142857145
2021-05-07,424.2857142857143,41153.0
2021-05-08,485.2857142857143,43344.857142857145
2021-05-09,534.1428571428571,45863.0
2021-05-10,449.2857142857143,49447.71428571428
2021-05-11,632.4285714285714,54351.0
2021-05-12,677.0,60491.57142857143
2021-05-13,705.1428571428571,67588.85714285714
2021-05-14,733.5714285714286,75574.42857142857
2021-05-15,774.2857142857143,83660.85714285714
2021-05-16,810.2857142857143,91837.28571428571
2021-05-17,941.1428571428571,98585.71428571429
2021-05-18,830.1428571428571,102945.14285714286
2021-05-19,820.0,104630.28571428571
2021-05-20,866.8571428571429,104139.85714285714
2021-05-21,953.5714285714286,101618.57142857143
2021-05-22,893.1428571428571,98775.57142857143
2021-05-23,916.1428571428571,95788.85714285714
2021-05-24,934.4285714285714,92500.14285714286
2021-05-25,949.7142857142857,89377.14285714286
2021-05-26,951.7142857142857,86650.71428571429
2021-05-27,957.7142857142857,84106.28571428571
2021-05-28,1005.7142857142857,81490.28571428571
2021-05-29,1094.0,78726.42857142857
2021-05-30,1120.142857142857,75786.85714285714
2021-05-31,1168.7142857142858,73034.0
2021-06-01,1174.142857142857,71630.14285714286
2021-06-02,1258.5714285714287,72260.57142857143
2021-06-03,1344.4285714285713,74546.42857142857
2021-06-04,1297.857142857143,80794.71428571429
2021-06-05,1303.7142857142858,89372.57142857143
2021-06-06,1307.857142857143,99737.57142857143
2021-06-07,1309.7142857142858,112800.57142857143
2021-06-08,1314.0,126913.42857142857
2021-06-09,1281.0,141018.2857142857
2021-06-10,1249.7142857142858,154273.57142857142
2021-06-11,1207.142857142857,162093.57142857142
2021-06-12,1183.4285714285713,166161.7142857143
2021-06-13,1166.5714285714287,167612.85714285713
2021-06-14,1081.7142857142858,164506.85714285713
2021-06-15,1070.4285714285713,156680.85714285713
2021-06-16,1057.5714285714287,143984.85714285713
2021-06-17,1057.857142857143,130411.57142857143
2021-06-18,1035.142857142857,119743.42857142857
2021-06-19,1047.5714285714287,111974.14285714286
2021-06-20,1138.2857142857142,105993.71428571429
2021-06-21,1162.4285714285713,102900.0
2021-06-22,1166.857142857143,103143.42857142857
2021-06-23,1139.5714285714287,107131.57142857143
2021-06-24,1060.142857142857,110862.71428571429
2021-06-25,1045.857142857143,111866.28571428571
2021-06-26,1006.0,109873.14285714286
2021-06-27,893.7142857142857,105985.57142857143
2021-06-28,855.8571428571429,99437.71428571429
