date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-11,22941.571428571428,47506.142857142855
2021-01-12,22941.571428571428,46552.0
2021-01-13,22941.571428571428,48420.857142857145
2021-01-14,22941.571428571428,52061.42857142857
2021-01-15,22941.571428571428,55111.857142857145
2021-01-16,22941.571428571428,58342.142857142855
2021-01-17,33440.42857142857,61694.142857142855
2021-01-18,33440.42857142857,65134.71428571428
2021-01-19,33440.42857142857,67771.28571428571
2021-01-20,33440.42857142857,68505.71428571429
2021-01-21,33440.42857142857,67653.71428571429
2021-01-22,33440.42857142857,65733.28571428571
2021-01-23,33440.42857142857,63661.71428571428
2021-01-24,34952.42857142857,61439.0
2021-01-25,34952.42857142857,59427.28571428572
2021-01-26,34952.42857142857,57639.28571428572
2021-01-27,34952.42857142857,56116.57142857143
2021-01-28,34952.42857142857,54969.142857142855
2021-01-29,34952.42857142857,54081.71428571428
2021-01-30,34952.42857142857,53526.0
2021-01-31,28863.85714285714,53301.857142857145
2021-02-01,28863.85714285714,53068.42857142857
2021-02-02,28863.85714285714,53434.857142857145
2021-02-03,28863.85714285714,55476.42857142857
2021-02-04,28863.85714285714,58396.42857142857
2021-02-05,28863.85714285714,61549.857142857145
2021-02-06,28863.85714285714,64392.857142857145
2021-02-07,18649.0,66925.71428571429
2021-02-08,18649.0,69218.57142857143
2021-02-09,18649.0,70446.14285714286
2021-02-10,18649.0,70149.14285714286
2021-02-11,18649.0,68535.14285714286
2021-02-12,18649.0,67192.42857142857
2021-02-13,18649.0,66121.14285714286
2021-02-14,10814.142857142857,65321.142857142855
2021-02-15,10814.142857142857,64567.71428571428
2021-02-16,10814.142857142857,64337.857142857145
2021-02-17,10814.142857142857,64482.28571428572
2021-02-18,10814.142857142857,66075.85714285714
2021-02-19,10814.142857142857,67629.14285714286
2021-02-20,10814.142857142857,69142.14285714286
2021-02-21,7200.0,70615.0
2021-02-22,7200.0,72317.28571428571
2021-02-23,7200.0,75113.57142857143
2021-02-24,7200.0,79014.85714285714
2021-02-25,7200.0,82212.0
2021-02-26,7200.0,85774.57142857143
2021-02-27,7200.0,89702.57142857143
2021-02-28,5562.285714285715,93995.85714285714
2021-03-01,5562.285714285715,98135.85714285714
2021-03-02,5562.285714285715,101817.85714285714
2021-03-03,5562.285714285715,104665.28571428571
2021-03-04,5562.285714285715,108671.71428571429
2021-03-05,5562.285714285715,112319.57142857143
2021-03-06,5562.285714285715,115608.85714285714
2021-03-07,4813.142857142857,118539.71428571429
2021-03-08,4813.142857142857,122547.28571428571
2021-03-09,4813.142857142857,125721.71428571429
2021-03-10,4813.142857142857,128784.57142857143
2021-03-11,4813.142857142857,129095.71428571429
2021-03-12,4813.142857142857,129146.42857142857
2021-03-13,4813.142857142857,128936.57142857143
2021-03-14,4646.285714285715,128466.0
2021-03-15,4646.285714285715,125534.14285714286
2021-03-16,4646.285714285715,121912.14285714286
2021-03-17,4646.285714285715,116646.14285714286
2021-03-18,4646.285714285715,111736.14285714286
2021-03-19,4646.285714285715,107158.14285714286
2021-03-20,4646.285714285715,102912.42857142857
2021-03-21,4870.857142857143,98999.0
2021-03-22,4870.857142857143,96565.57142857143
2021-03-23,4870.857142857143,94816.0
2021-03-24,4870.857142857143,96408.42857142857
2021-03-25,4870.857142857143,100607.85714285714
2021-03-26,4870.857142857143,107591.0
2021-03-27,4870.857142857143,116141.0
2021-03-28,6119.142857142857,126258.0
2021-03-29,6119.142857142857,137942.0
2021-03-30,6119.142857142857,151420.2857142857
2021-03-31,6119.142857142857,164727.57142857142
2021-04-01,6119.142857142857,178116.2857142857
2021-04-02,6119.142857142857,185996.57142857142
2021-04-03,6119.142857142857,190801.7142857143
2021-04-04,6191.714285714285,192415.7142857143
2021-04-05,6191.714285714285,190838.7142857143
2021-04-06,6191.714285714285,189960.57142857142
2021-04-07,6191.714285714285,188075.2857142857
2021-04-08,6191.714285714285,187401.0
2021-04-09,6191.714285714285,195736.57142857142
2021-04-10,6191.714285714285,207051.14285714287
2021-04-11,8592.857142857143,221576.2857142857
2021-04-12,8592.857142857143,239312.0
2021-04-13,8592.857142857143,254991.0
2021-04-14,8592.857142857143,270410.14285714284
2021-04-15,8592.857142857143,282740.28571428574
2021-04-16,8592.857142857143,289117.4285714286
2021-04-17,8592.857142857143,293631.71428571426
2021-04-18,8418.0,296167.4285714286
2021-04-19,8418.0,296724.5714285714
2021-04-20,8418.0,294984.14285714284
2021-04-21,8418.0,294647.71428571426
2021-04-22,8418.0,293654.28571428574
2021-04-23,8418.0,290318.85714285716
2021-04-24,8418.0,288221.5714285714
2021-04-25,8281.714285714286,287362.4285714286
2021-04-26,8281.714285714286,288841.28571428574
2021-04-27,8281.714285714286,296381.14285714284
2021-04-28,8281.714285714286,302508.14285714284
2021-04-29,8281.714285714286,311278.71428571426
2021-04-30,8281.714285714286,320139.4285714286
2021-05-01,8281.714285714286,328916.85714285716
2021-05-02,7554.285714285715,337611.14285714284
2021-05-03,7554.285714285715,343633.0
2021-05-04,7554.285714285715,347752.85714285716
2021-05-05,7554.285714285715,353219.14285714284
2021-05-06,7554.285714285715,357890.5714285714
2021-05-07,7554.285714285715,364081.85714285716
2021-05-08,7554.285714285715,369110.4285714286
2021-05-09,5987.285714285715,372976.14285714284
2021-05-10,5987.285714285715,379011.0
2021-05-11,5987.285714285715,382450.71428571426
2021-05-12,5987.285714285715,381482.4285714286
2021-05-13,5987.285714285715,380503.71428571426
2021-05-14,5987.285714285715,378697.5714285714
2021-05-15,5987.285714285715,376064.0
2021-05-16,4957.571428571428,372603.0
2021-05-17,4957.571428571428,366334.28571428574
2021-05-18,4957.571428571428,359046.28571428574
2021-05-19,4957.571428571428,355960.14285714284
2021-05-20,4957.571428571428,348676.14285714284
2021-05-21,4957.571428571428,342041.14285714284
2021-05-22,4957.571428571428,336055.28571428574
2021-05-23,4617.285714285715,330718.5714285714
2021-05-24,4617.285714285715,327948.71428571426
2021-05-25,4617.285714285715,327066.4285714286
2021-05-26,4617.285714285715,323208.28571428574
2021-05-27,4617.285714285715,321017.71428571426
2021-05-28,4617.285714285715,320051.4285714286
2021-05-29,4617.285714285715,320309.28571428574
2021-05-30,4397.285714285715,321791.14285714284
2021-05-31,4397.285714285715,320862.0
2021-06-01,4397.285714285715,321259.4285714286
2021-06-02,4397.285714285715,325240.5714285714
2021-06-03,4397.285714285715,334374.4285714286
2021-06-04,4397.285714285715,346494.85714285716
2021-06-05,4397.285714285715,361601.85714285716
