date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-04,1740.2857142857142,6202.0
2021-01-05,1735.7142857142858,6202.0
2021-01-06,1746.4285714285713,6202.0
2021-01-07,1760.2857142857142,6202.0
2021-01-08,1780.7142857142858,6202.0
2021-01-09,1967.2857142857142,6202.0
2021-01-10,2034.5714285714287,6202.0
2021-01-11,2115.0,6202.0
2021-01-12,2090.1428571428573,6202.0
2021-01-13,1991.7142857142858,6202.0
2021-01-14,1828.5714285714287,6202.0
2021-01-15,1629.4285714285713,6202.0
2021-01-16,1446.857142857143,6202.0
2021-01-17,1370.142857142857,6202.0
2021-01-18,1292.4285714285713,6202.0
2021-01-19,1274.857142857143,6114.714285714285
2021-01-20,1220.2857142857142,6009.571428571428
2021-01-21,1146.5714285714287,5904.714285714285
2021-01-22,1117.7142857142858,5782.0
2021-01-23,1104.2857142857142,5599.285714285715
2021-01-24,1106.5714285714287,5345.285714285715
2021-01-25,1102.142857142857,5091.571428571428
2021-01-26,1085.857142857143,5052.428571428572
2021-01-27,1089.857142857143,5270.0
2021-01-28,1112.5714285714287,5881.0
2021-01-29,1133.7142857142858,7112.857142857143
2021-01-30,1137.4285714285713,8969.57142857143
2021-01-31,1144.5714285714287,11256.714285714286
2021-02-01,1184.5714285714287,13672.285714285714
2021-02-02,1201.5714285714287,16011.285714285714
2021-02-03,1207.857142857143,18005.14285714286
2021-02-04,1219.7142857142858,19557.714285714286
2021-02-05,1236.4285714285713,20280.428571428572
2021-02-06,1263.7142857142858,20022.285714285714
2021-02-07,1272.7142857142858,19092.85714285714
2021-02-08,1277.857142857143,17884.428571428572
2021-02-09,1349.4285714285713,16497.85714285714
2021-02-10,1382.4285714285713,15094.57142857143
2021-02-11,1412.4285714285713,13655.857142857143
2021-02-12,1453.0,12450.42857142857
2021-02-13,1518.5714285714287,11613.142857142857
2021-02-14,1566.7142857142858,11031.57142857143
2021-02-15,1592.0,10656.57142857143
2021-02-16,1555.4285714285713,10527.285714285714
2021-02-17,1593.857142857143,10857.714285714286
2021-02-18,1735.4285714285713,11661.0
2021-02-19,1911.5714285714287,13105.285714285714
2021-02-20,2050.8571428571427,15168.42857142857
2021-02-21,2223.0,17613.85714285714
2021-02-22,2406.714285714286,20012.0
2021-02-23,2521.714285714286,22431.285714285714
2021-02-24,2708.4285714285716,24860.85714285714
2021-02-25,2927.285714285714,26993.428571428572
2021-02-26,3152.285714285714,28280.85714285714
2021-02-27,3431.285714285714,30690.714285714286
2021-02-28,3653.714285714286,32602.0
2021-03-01,3897.0,35100.857142857145
2021-03-02,4059.285714285714,37865.28571428572
2021-03-03,4253.0,40321.28571428572
2021-03-04,4523.428571428572,43650.28571428572
2021-03-05,4766.428571428572,48515.71428571428
2021-03-06,5098.0,49961.71428571428
2021-03-07,5345.428571428572,51823.42857142857
2021-03-08,5112.571428571428,53360.142857142855
2021-03-09,5645.428571428572,55048.71428571428
2021-03-10,5851.428571428572,56904.71428571428
2021-03-11,6142.0,58089.857142857145
2021-03-12,6519.428571428572,57477.857142857145
2021-03-13,6830.142857142857,58726.857142857145
2021-03-14,7210.428571428572,59731.142857142855
2021-03-15,7926.142857142857,59691.142857142855
2021-03-16,7702.142857142857,58958.42857142857
2021-03-17,7388.285714285715,58188.0
2021-03-18,7129.714285714285,56180.71428571428
2021-03-19,7379.428571428572,54116.57142857143
2021-03-20,7620.571428571428,52140.42857142857
2021-03-21,7872.285714285715,50355.142857142855
2021-03-22,8063.714285714285,50082.28571428572
2021-03-23,8143.0,50248.57142857143
2021-03-24,8733.142857142857,50694.71428571428
2021-03-25,9181.0,53464.57142857143
2021-03-26,9253.285714285714,58295.28571428572
2021-03-27,9115.42857142857,62890.57142857143
2021-03-28,8895.0,67080.71428571429
2021-03-29,8640.285714285714,71102.0
2021-03-30,8515.714285714286,74919.28571428571
2021-03-31,8389.0,78440.42857142857
2021-04-01,8339.142857142857,81408.85714285714
2021-04-02,8023.428571428572,82161.0
2021-04-03,7804.857142857143,83728.71428571429
2021-04-04,7445.428571428572,86287.14285714286
2021-04-05,6961.285714285715,88317.71428571429
2021-04-06,6572.857142857143,92499.0
2021-04-07,5891.857142857143,97638.57142857143
2021-04-08,5252.714285714285,101183.57142857143
2021-04-09,5005.571428571428,105609.71428571429
2021-04-10,4922.142857142857,109442.57142857143
2021-04-11,4883.571428571428,113027.85714285714
2021-04-12,5055.428571428572,117044.42857142857
2021-04-13,5190.714285714285,117178.57142857143
2021-04-14,5428.428571428572,115090.28571428571
2021-04-15,5498.857142857143,112640.0
2021-04-16,5197.571428571428,109097.57142857143
2021-04-17,4704.857142857143,104790.14285714286
2021-04-18,4334.857142857143,98634.42857142857
2021-04-19,3992.4285714285716,91134.28571428571
2021-04-20,3822.1428571428573,84520.85714285714
2021-04-21,3669.285714285714,78921.28571428571
2021-04-22,3426.4285714285716,75523.14285714286
2021-04-23,3170.8571428571427,74151.28571428571
2021-04-24,2912.5714285714284,73249.28571428571
2021-04-25,2715.714285714286,74698.28571428571
2021-04-26,2609.4285714285716,78293.71428571429
2021-04-27,2553.4285714285716,84383.85714285714
2021-04-28,2434.1428571428573,91811.57142857143
2021-04-29,2288.0,97654.57142857143
2021-04-30,2136.285714285714,103319.85714285714
2021-05-01,2015.5714285714287,109864.28571428571
2021-05-02,1910.5714285714287,115378.14285714286
2021-05-03,1808.142857142857,119296.0
2021-05-04,1732.857142857143,120621.42857142857
2021-05-05,1652.5714285714287,119712.42857142857
2021-05-06,1523.4285714285713,120141.14285714286
2021-05-07,1405.7142857142858,118102.0
2021-05-08,1323.5714285714287,114323.0
2021-05-09,1259.5714285714287,109786.28571428571
2021-05-10,1182.5714285714287,104754.14285714286
2021-05-11,1148.857142857143,99532.14285714286
2021-05-12,1116.7142857142858,94666.71428571429
2021-05-13,1079.0,88213.42857142857
2021-05-14,1028.857142857143,83200.42857142857
2021-05-15,980.7142857142857,79707.28571428571
2021-05-16,919.7142857142857,77627.14285714286
2021-05-17,883.4285714285714,76992.28571428571
2021-05-18,868.0,78135.14285714286
2021-05-19,829.1428571428571,80208.14285714286
2021-05-20,738.2857142857143,83775.57142857143
2021-05-21,662.1428571428571,88436.71428571429
2021-05-22,606.1428571428571,92106.71428571429
2021-05-23,563.0,94393.42857142857
2021-05-24,539.0,95357.71428571429
2021-05-25,507.85714285714283,96315.71428571429
2021-05-26,447.85714285714283,98380.0
2021-05-27,393.0,99815.42857142857
2021-05-28,363.14285714285717,99774.28571428571
2021-05-29,337.14285714285717,99938.28571428571
2021-05-30,277.7142857142857,101037.14285714286
2021-05-31,313.14285714285717,103028.28571428571
2021-06-01,314.57142857142856,102891.85714285714
2021-06-02,323.42857142857144,99531.71428571429
2021-06-03,311.85714285714283,94998.28571428571
2021-06-04,286.2857142857143,90268.42857142857
2021-06-05,262.7142857142857,86543.0
2021-06-06,282.2857142857143,82322.14285714286
2021-06-07,221.57142857142858,76906.14285714286
2021-06-08,213.42857142857142,71973.57142857143
2021-06-09,199.71428571428572,68190.57142857143
2021-06-10,184.14285714285714,64075.142857142855
2021-06-11,174.14285714285714,59098.857142857145
2021-06-12,131.28571428571428,51829.42857142857
2021-06-13,111.71428571428571,44849.28571428572
2021-06-14,136.57142857142858,38864.28571428572
