date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-19,11516.42857142857,13200.0
2021-01-20,11700.714285714286,13200.0
2021-01-21,11721.57142857143,13200.0
2021-01-22,11837.857142857143,13200.0
2021-01-23,11547.42857142857,13106.57142857143
2021-01-24,11619.0,12919.714285714286
2021-01-25,11748.714285714286,12723.0
2021-01-26,12138.57142857143,13965.57142857143
2021-01-27,12050.0,16210.57142857143
2021-01-28,12334.57142857143,19528.714285714286
2021-01-29,12358.857142857143,23445.0
2021-01-30,12691.285714285714,29047.285714285714
2021-01-31,12721.714285714286,34826.71428571428
2021-02-01,12864.57142857143,41565.857142857145
2021-02-02,12476.714285714286,46653.42857142857
2021-02-03,12481.857142857143,50882.857142857145
2021-02-04,12158.857142857143,54312.28571428572
2021-02-05,11865.57142857143,57679.857142857145
2021-02-06,11528.142857142857,58680.142857142855
2021-02-07,11360.42857142857,59523.71428571428
2021-02-08,10967.285714285714,59481.57142857143
2021-02-09,10727.42857142857,59808.57142857143
2021-02-10,10269.142857142857,62288.28571428572
2021-02-11,9840.714285714286,65205.42857142857
2021-02-12,9572.142857142857,67335.71428571429
2021-02-13,9099.0,70400.28571428571
2021-02-14,8518.714285714286,73729.0
2021-02-15,8264.42857142857,77442.28571428571
2021-02-16,8454.285714285714,80965.71428571429
2021-02-17,8584.42857142857,80298.71428571429
2021-02-18,8670.714285714286,77425.57142857143
2021-02-19,8777.142857142857,75371.57142857143
2021-02-20,8664.285714285714,73726.71428571429
2021-02-21,8740.714285714286,72214.57142857143
2021-02-22,9271.857142857143,69233.0
2021-02-23,9235.57142857143,65365.857142857145
2021-02-24,8927.857142857143,64203.57142857143
2021-02-25,8849.857142857143,66295.42857142857
2021-02-26,8509.57142857143,68827.14285714286
2021-02-27,8245.857142857143,72110.71428571429
2021-02-28,7997.285714285715,76238.71428571429
2021-03-01,7497.285714285715,84085.57142857143
2021-03-02,6916.857142857143,95549.28571428571
2021-03-03,6813.285714285715,110978.71428571429
2021-03-04,6637.714285714285,123507.28571428571
2021-03-05,6457.571428571428,133744.0
2021-03-06,6394.571428571428,144662.42857142858
2021-03-07,6432.571428571428,157587.42857142858
2021-03-08,6463.142857142857,169958.85714285713
2021-03-09,6559.857142857143,181776.57142857142
2021-03-10,6392.0,186953.42857142858
2021-03-11,6089.142857142857,194970.42857142858
2021-03-12,6009.285714285715,205208.85714285713
2021-03-13,5843.571428571428,215173.57142857142
2021-03-14,5684.714285714285,217733.14285714287
2021-03-15,5498.285714285715,217895.7142857143
2021-03-16,5359.0,219472.2857142857
2021-03-17,5529.285714285715,225443.42857142858
2021-03-18,5733.0,230773.85714285713
2021-03-19,5714.0,237682.85714285713
2021-03-20,5863.857142857143,242593.7142857143
2021-03-21,5818.428571428572,260904.14285714287
2021-03-22,5840.571428571428,275083.85714285716
2021-03-23,5823.857142857143,283678.4285714286
2021-03-24,5595.571428571428,291078.28571428574
2021-03-25,5529.428571428572,306342.71428571426
2021-03-26,5344.142857142857,330249.28571428574
2021-03-27,5173.428571428572,353942.4285714286
2021-03-28,5128.714285714285,360050.4285714286
2021-03-29,5023.571428571428,374087.14285714284
2021-03-30,4935.714285714285,393725.5714285714
2021-03-31,5037.142857142857,414360.5714285714
2021-04-01,5042.142857142857,421010.4285714286
2021-04-02,5091.142857142857,402194.0
2021-04-03,5074.571428571428,381904.0
2021-04-04,5452.857142857143,371692.28571428574
2021-04-05,5267.714285714285,361701.5714285714
2021-04-06,5248.714285714285,343755.71428571426
2021-04-07,5094.857142857143,319521.14285714284
2021-04-08,5003.714285714285,297180.71428571426
2021-04-09,4995.142857142857,302752.4285714286
2021-04-10,5049.142857142857,311899.28571428574
2021-04-11,4677.142857142857,319002.4285714286
2021-04-12,4836.714285714285,322831.71428571426
2021-04-13,5001.428571428572,329533.14285714284
2021-04-14,5115.142857142857,337308.71428571426
2021-04-15,5211.285714285715,348738.28571428574
2021-04-16,5225.285714285715,335621.28571428574
2021-04-17,5270.714285714285,318567.0
2021-04-18,5336.142857142857,300032.14285714284
2021-04-19,5353.714285714285,277971.14285714284
2021-04-20,5331.857142857143,257052.2857142857
2021-04-21,5341.0,241416.0
2021-04-22,5350.428571428572,226647.7142857143
2021-04-23,5360.857142857143,225428.85714285713
2021-04-24,5289.857142857143,227637.2857142857
2021-04-25,5263.714285714285,232190.57142857142
2021-04-26,5405.428571428572,239947.2857142857
2021-04-27,5277.857142857143,250139.2857142857
2021-04-28,5209.428571428572,257308.2857142857
2021-04-29,5150.857142857143,263738.71428571426
2021-04-30,5160.0,263980.0
2021-05-01,5155.428571428572,260581.0
2021-05-02,5154.285714285715,255734.85714285713
2021-05-03,4980.857142857143,249703.57142857142
2021-05-04,4939.857142857143,240876.85714285713
2021-05-05,4946.142857142857,232741.14285714287
2021-05-06,4919.571428571428,223359.42857142858
2021-05-07,5037.714285714285,219818.14285714287
2021-05-08,5268.857142857143,222486.7142857143
2021-05-09,5201.428571428572,227801.57142857142
2021-05-10,5224.428571428572,234497.2857142857
2021-05-11,5317.571428571428,241389.14285714287
2021-05-12,5220.857142857143,243517.2857142857
2021-05-13,4906.714285714285,240148.57142857142
2021-05-14,4379.0,228938.0
2021-05-15,3844.0,209554.85714285713
2021-05-16,3723.714285714286,186962.14285714287
2021-05-17,3638.5714285714284,162103.42857142858
2021-05-18,3519.1428571428573,139287.57142857142
2021-05-19,3556.714285714286,124553.71428571429
2021-05-20,3892.285714285714,124324.57142857143
2021-05-21,4337.0,137975.0
2021-05-22,4752.857142857143,161599.14285714287
2021-05-23,5067.142857142857,188568.0
2021-05-24,5297.428571428572,215238.14285714287
2021-05-25,5422.428571428572,246715.14285714287
2021-05-26,5445.714285714285,275585.28571428574
2021-05-27,5514.428571428572,293300.0
2021-05-28,5531.0,302953.4285714286
2021-05-29,5712.285714285715,306060.0
2021-05-30,5831.571428571428,307535.71428571426
2021-05-31,5796.571428571428,313299.0
2021-06-01,5762.857142857143,305072.14285714284
2021-06-02,5793.142857142857,296173.71428571426
2021-06-03,5661.0,292213.0
2021-06-04,5750.142857142857,285885.28571428574
2021-06-05,5754.285714285715,282351.5714285714
2021-06-06,5713.857142857143,277343.0
2021-06-07,5904.0,271190.85714285716
2021-06-08,6114.0,280467.0
2021-06-09,6468.142857142857,294290.71428571426
2021-06-10,6973.714285714285,308748.4285714286
2021-06-11,7201.857142857143,328928.71428571426
2021-06-12,7326.285714285715,348440.71428571426
2021-06-13,7902.857142857143,370396.71428571426
2021-06-14,8073.714285714285,393650.71428571426
