date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-22,13963.57142857143,165323.57142857142
2021-01-23,13834.714285714286,166400.14285714287
2021-01-24,13792.57142857143,178770.57142857142
2021-01-25,13709.0,189185.0
2021-01-26,13571.57142857143,192729.57142857142
2021-01-27,13409.57142857143,201309.42857142858
2021-01-28,12901.42857142857,214923.0
2021-01-29,13517.142857142857,229593.2857142857
2021-01-30,13349.57142857143,245330.2857142857
2021-01-31,13092.857142857143,260680.0
2021-02-01,12839.142857142857,267957.28571428574
2021-02-02,12772.42857142857,283361.14285714284
2021-02-03,12536.714285714286,294464.85714285716
2021-02-04,12712.857142857143,297462.28571428574
2021-02-05,11791.857142857143,293531.4285714286
2021-02-06,11596.142857142857,290855.0
2021-02-07,11454.285714285714,289022.0
2021-02-08,11512.0,296828.28571428574
2021-02-09,11579.857142857143,304240.71428571426
2021-02-10,11583.857142857143,313914.0
2021-02-11,11587.285714285714,324407.28571428574
2021-02-12,11144.57142857143,337345.5714285714
2021-02-13,11206.0,342369.0
2021-02-14,11225.285714285714,350914.5714285714
2021-02-15,11199.285714285714,349872.0
2021-02-16,11200.857142857143,345242.14285714284
2021-02-17,11278.42857142857,337121.28571428574
2021-02-18,11272.42857142857,332957.0
2021-02-19,11827.285714285714,331559.0
2021-02-20,12091.57142857143,341941.28571428574
2021-02-21,12387.285714285714,348641.4285714286
2021-02-22,12751.57142857143,361897.71428571426
2021-02-23,12960.57142857143,378311.4285714286
2021-02-24,13265.142857142857,398928.4285714286
2021-02-25,13816.142857142857,416867.4285714286
2021-02-26,14299.57142857143,433698.0
2021-02-27,14656.0,446317.5714285714
2021-02-28,15011.42857142857,454797.85714285716
2021-03-01,15198.714285714286,465465.5714285714
2021-03-02,15441.857142857143,479002.4285714286
2021-03-03,15620.0,500829.71428571426
2021-03-04,15715.57142857143,535889.5714285715
2021-03-05,15752.857142857143,585558.2857142857
2021-03-06,16015.57142857143,652406.7142857143
2021-03-07,16295.42857142857,723256.7142857143
2021-03-08,16736.714285714286,819676.1428571428
2021-03-09,17179.85714285714,922406.7142857143
2021-03-10,17598.714285714286,1020764.8571428572
2021-03-11,18376.85714285714,1086498.7142857143
2021-03-12,19297.85714285714,1147314.857142857
2021-03-13,20234.285714285714,1190912.142857143
2021-03-14,21178.428571428572,1236448.5714285714
2021-03-15,22277.285714285714,1272858.857142857
2021-03-16,23577.85714285714,1312644.0
2021-03-17,25146.714285714286,1361404.857142857
2021-03-18,27006.285714285714,1463761.5714285714
2021-03-19,29355.0,1568336.7142857143
2021-03-20,31650.85714285714,1691793.142857143
2021-03-21,34297.42857142857,1819118.2857142857
2021-03-22,37248.857142857145,1933576.7142857143
2021-03-23,39566.42857142857,2037252.5714285714
2021-03-24,42189.142857142855,2129991.5714285714
2021-03-25,44704.142857142855,2191006.4285714286
2021-03-26,47474.42857142857,2235933.8571428573
2021-03-27,50518.0,2252270.8571428573
2021-03-28,53213.42857142857,2258525.4285714286
2021-03-29,56223.28571428572,2198762.1428571427
2021-03-30,58437.0,2126034.0
2021-03-31,59325.28571428572,2043783.5714285714
2021-04-01,62018.71428571428,1985009.5714285714
2021-04-02,65211.28571428572,1962522.7142857143
2021-04-03,69050.0,1963419.142857143
2021-04-04,73412.14285714286,2026894.5714285714
2021-04-05,78489.0,2218298.8571428573
2021-04-06,84313.42857142857,2459320.285714286
2021-04-07,93207.14285714286,2726842.5714285714
2021-04-08,100987.0,2977055.285714286
2021-04-09,108201.57142857143,3182694.8571428573
2021-04-10,116238.0,3384850.5714285714
2021-04-11,124756.57142857143,3524619.4285714286
2021-04-12,134092.85714285713,3594509.0
2021-04-13,143343.42857142858,3596121.0
2021-04-14,153148.57142857142,3580075.8571428573
2021-04-15,163712.85714285713,3525874.285714286
2021-04-16,175910.7142857143,3461417.5714285714
2021-04-17,188669.0,3367783.714285714
2021-04-18,204186.2857142857,3243306.1428571427
2021-04-19,219171.7142857143,3103997.285714286
2021-04-20,233090.85714285713,2963301.8571428573
2021-04-21,248900.7142857143,2776736.5714285714
2021-04-22,265200.14285714284,2626570.285714286
2021-04-23,281682.5714285714,2485713.285714286
2021-04-24,297696.0,2350848.4285714286
2021-04-25,310294.71428571426,2269391.285714286
2021-04-26,321606.28571428574,2204081.285714286
2021-04-27,330745.4285714286,2189460.714285714
2021-04-28,340162.4285714286,2235469.285714286
2021-04-29,349365.5714285714,2255531.8571428573
