date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-15,7404.0,1662.142857142857
2021-02-16,7466.714285714285,1358.5714285714287
2021-02-17,7519.714285714285,1206.7142857142858
2021-02-18,7585.0,1165.4285714285713
2021-02-19,7669.571428571428,1209.2857142857142
2021-02-20,7772.285714285715,1328.0
2021-02-21,7886.857142857143,1516.7142857142858
2021-02-22,7964.142857142857,1772.4285714285713
2021-02-23,8036.0,2131.4285714285716
2021-02-24,8081.571428571428,2550.1428571428573
2021-02-25,8114.142857142857,2909.0
2021-02-26,8134.142857142857,3208.0
2021-02-27,8146.428571428572,3447.285714285714
2021-02-28,8154.0,3626.714285714286
2021-03-01,8165.285714285715,3746.285714285714
2021-03-02,8200.57142857143,3806.0
2021-03-03,8224.142857142857,3806.0
2021-03-04,8260.57142857143,3806.0
2021-03-05,8288.857142857143,3806.0
2021-03-06,8326.57142857143,3806.0
2021-03-07,8360.42857142857,3806.0
2021-03-08,8360.42857142857,3806.0
2021-03-09,8332.285714285714,3806.0
2021-03-10,8340.714285714286,3806.0
2021-03-11,8351.857142857143,3806.0
2021-03-12,8338.142857142857,3806.0
2021-03-13,8298.285714285714,3806.0
2021-03-14,8239.714285714286,3806.0
2021-03-15,8180.142857142857,3806.0
2021-03-16,8132.571428571428,3806.0
2021-03-17,8107.714285714285,3806.0
2021-03-18,7993.285714285715,3806.0
2021-03-19,7882.142857142857,3806.0
2021-03-20,7815.285714285715,4227.571428571428
2021-03-21,7777.857142857143,5070.714285714285
2021-03-22,7730.285714285715,6335.428571428572
2021-03-23,7641.285714285715,8021.714285714285
2021-03-24,7485.571428571428,10129.42857142857
2021-03-25,7457.428571428572,12658.714285714286
2021-03-26,7454.0,15609.57142857143
2021-03-27,7505.428571428572,18138.85714285714
2021-03-28,7588.285714285715,19909.14285714286
2021-03-29,7801.285714285715,20920.571428571428
2021-03-30,8080.285714285715,21173.0
2021-03-31,8503.142857142857,20666.714285714286
2021-04-01,8892.42857142857,19401.428571428572
2021-04-02,9498.714285714286,17377.14285714286
2021-04-03,10024.42857142857,15015.57142857143
2021-04-04,10495.857142857143,12991.42857142857
2021-04-05,10914.285714285714,11304.57142857143
2021-04-06,11568.57142857143,9955.142857142857
2021-04-07,12594.285714285714,8943.0
2021-04-08,14112.0,8268.285714285714
2021-04-09,15660.0,7931.0
2021-04-10,17205.428571428572,7931.0
2021-04-11,18383.428571428572,7931.0
2021-04-12,19723.85714285714,7931.0
2021-04-13,21069.714285714286,7931.0
2021-04-14,22116.85714285714,7931.0
2021-04-15,22778.0,8126.142857142857
2021-04-16,23134.0,8516.57142857143
2021-04-17,23531.571428571428,9102.285714285714
2021-04-18,23766.714285714286,9883.285714285714
2021-04-19,23849.714285714286,10859.42857142857
2021-04-20,23997.571428571428,13136.857142857143
2021-04-21,24102.14285714286,15715.42857142857
2021-04-22,24002.714285714286,18204.85714285714
2021-04-23,23861.85714285714,21065.571428571428
2021-04-24,23525.14285714286,24297.571428571428
2021-04-25,23084.85714285714,27900.85714285714
2021-04-26,22730.714285714286,31875.571428571428
2021-04-27,22256.428571428572,34009.42857142857
2021-04-28,21609.428571428572,36302.857142857145
2021-04-29,21156.14285714286,39330.0
2021-04-30,20557.14285714286,42204.28571428572
2021-05-01,20038.285714285714,44846.142857142855
2021-05-02,19874.0,47255.42857142857
2021-05-03,19807.285714285714,49432.28571428572
2021-05-04,19765.285714285714,52482.857142857145
2021-05-05,19649.14285714286,55309.857142857145
2021-05-06,18814.714285714286,57155.28571428572
2021-05-07,18601.85714285714,58410.42857142857
2021-05-08,18288.14285714286,59994.0
2021-05-09,17787.571428571428,61906.142857142855
2021-05-10,17136.571428571428,64146.57142857143
2021-05-11,16804.571428571428,66433.14285714286
2021-05-12,16516.428571428572,68959.57142857143
2021-05-13,16593.14285714286,72105.0
2021-05-14,15998.42857142857,75904.0
2021-05-15,15008.285714285714,78758.14285714286
2021-05-16,14172.142857142857,80667.28571428571
2021-05-17,13765.0,81631.57142857143
2021-05-18,13180.857142857143,82945.57142857143
