date,moving_average_new_cases,moving_average_new_vaccinations
2020-12-26,3616.1428571428573,29915.0
2020-12-27,3726.1428571428573,36645.71428571428
2020-12-28,3788.8571428571427,44370.857142857145
2020-12-29,4026.1428571428573,53016.71428571428
2020-12-30,4205.142857142857,62173.28571428572
2020-12-31,4466.857142857143,71968.14285714286
2021-01-01,4726.142857142857,82533.14285714286
2021-01-02,5012.714285714285,94087.0
2021-01-03,5234.714285714285,104579.71428571429
2021-01-04,5477.142857142857,113176.0
2021-01-05,5891.857142857143,118859.57142857143
2021-01-06,6262.285714285715,121685.57142857143
2021-01-07,6550.0,121907.28571428571
2021-01-08,6806.857142857143,121356.0
2021-01-09,7113.857142857143,119452.42857142857
2021-01-10,7249.857142857143,114462.57142857143
2021-01-11,7496.142857142857,106842.28571428571
2021-01-12,7682.285714285715,98521.57142857143
2021-01-13,7835.0,91331.57142857143
2021-01-14,8061.714285714285,85198.0
2021-01-15,8295.285714285714,79171.0
2021-01-16,8333.57142857143,73921.14285714286
2021-01-17,8322.285714285714,73067.85714285714
2021-01-18,8137.285714285715,77551.28571428571
2021-01-19,8193.42857142857,86450.71428571429
2021-01-20,8098.571428571428,97515.14285714286
2021-01-21,7940.142857142857,110617.28571428571
2021-01-22,7650.285714285715,124578.28571428571
2021-01-23,7501.571428571428,139093.2857142857
2021-01-24,7124.714285714285,152535.14285714287
2021-01-25,7021.285714285715,163537.2857142857
2021-01-26,6820.714285714285,171344.85714285713
2021-01-27,6704.428571428572,176513.57142857142
2021-01-28,6617.142857142857,178960.85714285713
2021-01-29,6606.857142857143,180390.0
2021-01-30,6519.428571428572,180708.0
2021-01-31,6545.142857142857,178296.42857142858
2021-02-01,6588.428571428572,173174.85714285713
2021-02-02,6619.0,166045.57142857142
2021-02-03,6648.142857142857,157413.42857142858
2021-02-04,6607.285714285715,147654.85714285713
2021-02-05,6616.571428571428,137259.85714285713
2021-02-06,6591.428571428572,126519.42857142857
2021-02-07,6595.857142857143,117145.57142857143
2021-02-08,6505.428571428572,109992.71428571429
2021-02-09,6351.714285714285,105629.71428571429
2021-02-10,6087.571428571428,103764.28571428571
2021-02-11,5832.142857142857,103980.42857142857
2021-02-12,5521.142857142857,105271.85714285714
2021-02-13,5246.142857142857,107529.85714285714
2021-02-14,5136.428571428572,110424.14285714286
2021-02-15,4977.0,113867.14285714286
2021-02-16,4597.714285714285,117209.28571428571
