date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-19,982.0,2727.0
2021-01-20,940.1428571428571,2727.0
2021-01-21,919.5714285714286,2727.0
2021-01-22,876.8571428571429,2727.0
2021-01-23,865.7142857142857,2727.0
2021-01-24,851.7142857142857,2696.8571428571427
2021-01-25,848.4285714285714,2636.5714285714284
2021-01-26,822.0,2546.1428571428573
2021-01-27,830.5714285714286,2425.5714285714284
2021-01-28,815.1428571428571,2274.8571428571427
2021-01-29,855.4285714285714,2094.0
2021-01-30,874.5714285714286,1883.0
2021-01-31,879.2857142857143,1702.142857142857
2021-02-01,914.5714285714286,1563.0
2021-02-02,966.2857142857143,1465.5714285714287
2021-02-03,993.2857142857143,1410.0
2021-02-04,1051.857142857143,1396.142857142857
2021-02-05,1085.5714285714287,1424.0
2021-02-06,1136.7142857142858,1493.5714285714287
2021-02-07,1168.7142857142858,1574.7142857142858
2021-02-08,1185.5714285714287,1644.2857142857142
2021-02-09,1253.857142857143,1702.2857142857142
2021-02-10,1304.0,1748.5714285714287
2021-02-11,1386.142857142857,1783.2857142857142
2021-02-12,1459.4285714285713,1806.4285714285713
2021-02-13,1510.4285714285713,1818.0
2021-02-14,1564.0,1818.0
2021-02-15,1728.0,1818.0
2021-02-16,1817.5714285714287,1818.0
2021-02-17,1985.2857142857142,1818.0
2021-02-18,2132.714285714286,1818.0
2021-02-19,2108.5714285714284,1818.0
2021-02-20,2006.857142857143,1818.0
2021-02-21,2144.0,1818.0
2021-02-22,2354.0,1818.0
2021-02-23,2673.714285714286,2257.1428571428573
2021-02-24,2885.4285714285716,3135.285714285714
2021-02-25,3047.8571428571427,4452.571428571428
2021-02-26,3360.5714285714284,5794.142857142857
2021-02-27,3757.285714285714,7160.0
2021-02-28,3812.1428571428573,8550.142857142857
2021-03-01,3908.8571428571427,9964.57142857143
2021-03-02,4125.714285714285,10525.142857142857
2021-03-03,4266.428571428572,10231.857142857143
2021-03-04,4453.714285714285,9084.57142857143
2021-03-05,4726.0,7913.0
2021-03-06,4860.285714285715,6717.142857142857
2021-03-07,4988.428571428572,5497.0
2021-03-08,5232.428571428572,4252.571428571428
2021-03-09,5424.571428571428,3422.8571428571427
2021-03-10,5702.857142857143,3008.0
2021-03-11,5890.571428571428,3008.0
2021-03-12,6257.285714285715,3008.0
2021-03-13,6703.142857142857,3008.0
2021-03-14,6797.857142857143,3008.0
2021-03-15,7048.0,3008.0
2021-03-16,7334.285714285715,3331.5714285714284
2021-03-17,7596.857142857143,3978.5714285714284
2021-03-18,8009.142857142857,4721.285714285715
2021-03-19,8136.571428571428,5559.571428571428
2021-03-20,8086.428571428572,6493.571428571428
2021-03-21,8238.0,7523.142857142857
2021-03-22,8343.142857142857,8814.42857142857
2021-03-23,8322.0,9720.285714285714
2021-03-24,8335.285714285714,10241.0
2021-03-25,8277.42857142857,10811.857142857143
2021-03-26,8169.0,11433.0
2021-03-27,8039.0,12104.42857142857
2021-03-28,7923.857142857143,12826.142857142857
2021-03-29,7694.428571428572,13266.0
2021-03-30,7504.571428571428,13747.57142857143
2021-03-31,7325.714285714285,14262.0
2021-04-01,6960.0,14621.857142857143
2021-04-02,6681.285714285715,14827.142857142857
2021-04-03,6442.714285714285,14877.714285714286
2021-04-04,6391.714285714285,14773.57142857143
2021-04-05,6227.285714285715,14680.857142857143
2021-04-06,6026.857142857143,14599.57142857143
2021-04-07,5777.428571428572,14547.142857142857
2021-04-08,5586.285714285715,14619.42857142857
2021-04-09,5342.428571428572,14816.42857142857
2021-04-10,5202.428571428572,15138.142857142857
2021-04-11,5074.285714285715,15584.714285714286
2021-04-12,4689.714285714285,16155.857142857143
2021-04-13,4265.142857142857,16851.714285714286
2021-04-14,3805.8571428571427,17663.571428571428
2021-04-15,3642.0,18222.0
2021-04-16,3383.1428571428573,18527.0
2021-04-17,3231.4285714285716,18578.571428571428
2021-04-18,3010.1428571428573,18376.714285714286
2021-04-19,2891.1428571428573,17921.571428571428
2021-04-20,2883.1428571428573,17323.714285714286
2021-04-21,2870.1428571428573,16583.0
2021-04-22,2745.0,16090.42857142857
2021-04-23,2621.285714285714,15845.857142857143
2021-04-24,2470.5714285714284,15849.42857142857
2021-04-25,2422.4285714285716,16101.0
2021-04-26,2311.5714285714284,16600.714285714286
2021-04-27,2151.1428571428573,17127.14285714286
2021-04-28,2024.857142857143,17680.428571428572
2021-04-29,1839.2857142857142,18123.0
2021-04-30,1761.4285714285713,18770.0
2021-05-01,1744.142857142857,19621.428571428572
2021-05-02,1664.857142857143,20677.285714285714
2021-05-03,1535.2857142857142,21937.571428571428
2021-05-04,1376.142857142857,23512.85714285714
2021-05-05,1335.4285714285713,25184.285714285714
2021-05-06,1236.857142857143,26951.714285714286
2021-05-07,1159.0,28185.14285714286
2021-05-08,1037.0,28884.428571428572
2021-05-09,1022.2857142857143,29049.571428571428
2021-05-10,1010.7142857142857,28680.571428571428
2021-05-11,975.0,27777.571428571428
2021-05-12,878.5714285714286,26778.428571428572
2021-05-13,773.2857142857143,25683.285714285714
2021-05-14,689.1428571428571,24807.14285714286
2021-05-15,633.8571428571429,24150.0
2021-05-16,587.4285714285714,23712.0
2021-05-17,596.8571428571429,23493.0
2021-05-18,608.5714285714286,23493.0
2021-05-19,654.1428571428571,23855.571428571428
2021-05-20,753.7142857142857,24580.571428571428
2021-05-21,827.8571428571429,25668.14285714286
2021-05-22,873.7142857142857,27118.14285714286
2021-05-23,908.7142857142857,28930.714285714286
2021-05-24,913.1428571428571,31105.85714285714
2021-05-25,882.5714285714286,33643.42857142857
2021-05-26,846.2857142857143,35818.42857142857
2021-05-27,798.0,39438.28571428572
2021-05-28,784.2857142857143,42352.0
2021-05-29,782.0,44976.857142857145
2021-05-30,776.1428571428571,47312.71428571428
2021-05-31,752.1428571428571,49359.57142857143
2021-06-01,728.2857142857143,51117.57142857143
2021-06-02,704.0,52949.142857142855
2021-06-03,670.0,51239.71428571428
2021-06-04,640.2857142857143,50290.857142857145
2021-06-05,622.2857142857143,49268.42857142857
2021-06-06,597.1428571428571,48172.42857142857
2021-06-07,576.5714285714286,47920.42857142857
2021-06-08,566.8571428571429,48512.42857142857
2021-06-09,545.2857142857143,48394.857142857145
2021-06-10,544.4285714285714,49375.0
2021-06-11,522.4285714285714,49035.71428571428
2021-06-12,500.85714285714283,48660.142857142855
2021-06-13,501.7142857142857,48248.42857142857
2021-06-14,497.7142857142857,46707.71428571428
2021-06-15,482.14285714285717,43844.857142857145
2021-06-16,468.0,42700.57142857143
2021-06-17,449.2857142857143,43422.42857142857
2021-06-18,455.42857142857144,45060.71428571428
2021-06-19,449.42857142857144,46284.857142857145
2021-06-20,449.57142857142856,50447.857142857145
2021-06-21,449.85714285714283,55192.857142857145
2021-06-22,446.14285714285717,59896.0
2021-06-23,446.7142857142857,63136.42857142857
2021-06-24,465.57142857142856,64619.142857142855
2021-06-25,474.14285714285717,66822.28571428571
2021-06-26,482.7142857142857,70307.71428571429
2021-06-27,477.2857142857143,68781.71428571429
2021-06-28,472.0,66837.42857142857
2021-06-29,484.14285714285717,67312.85714285714
2021-06-30,483.14285714285717,70141.71428571429
2021-07-01,471.57142857142856,72603.85714285714
2021-07-02,464.57142857142856,73658.0
2021-07-03,478.42857142857144,73425.28571428571
2021-07-04,471.14285714285717,74433.71428571429
2021-07-05,486.85714285714283,74740.0
2021-07-06,483.85714285714283,71389.85714285714
2021-07-07,485.0,64423.71428571428
2021-07-08,503.2857142857143,58921.142857142855
2021-07-09,506.14285714285717,54661.57142857143
2021-07-10,507.57142857142856,50739.28571428572
2021-07-11,533.8571428571429,47566.857142857145
2021-07-12,533.0,45053.42857142857
2021-07-13,559.1428571428571,43793.42857142857
2021-07-14,572.8571428571429,43804.142857142855
2021-07-15,585.4285714285714,44034.857142857145
2021-07-16,600.8571428571429,43547.42857142857
2021-07-17,601.8571428571429,42997.857142857145
2021-07-18,599.4285714285714,43247.142857142855
2021-07-19,614.5714285714286,42537.0
2021-07-20,619.7142857142857,41414.857142857145
2021-07-21,589.8571428571429,39724.71428571428
2021-07-22,525.8571428571429,36304.142857142855
2021-07-23,488.57142857142856,33340.857142857145
2021-07-24,468.0,30866.0
2021-07-25,481.7142857142857,28377.285714285714
2021-07-26,536.8571428571429,28857.0
2021-07-27,583.7142857142857,31877.0
2021-07-28,701.0,37133.42857142857
2021-07-29,810.8571428571429,44122.71428571428
2021-07-30,897.7142857142857,50356.71428571428
2021-07-31,959.0,56299.142857142855
2021-08-01,970.0,60565.28571428572
2021-08-02,967.1428571428571,61848.0
2021-08-03,947.0,60639.142857142855
2021-08-04,904.2857142857143,57743.0
2021-08-05,881.7142857142857,53664.42857142857
2021-08-06,837.2857142857143,50568.857142857145
2021-08-07,804.5714285714286,47528.57142857143
2021-08-08,780.8571428571429,45376.142857142855
2021-08-09,773.0,44289.0
2021-08-10,764.2857142857143,43114.142857142855
2021-08-11,766.0,42707.0
2021-08-12,710.8571428571429,41864.57142857143
2021-08-13,755.8571428571429,39659.71428571428
2021-08-14,824.2857142857143,37483.42857142857
2021-08-15,861.7142857142857,35542.71428571428
2021-08-16,897.7142857142857,33796.142857142855
2021-08-17,934.0,33954.57142857143
2021-08-18,954.0,33598.57142857143
2021-08-19,1007.8571428571429,34935.42857142857
2021-08-20,975.0,37185.857142857145
2021-08-21,933.7142857142857,39065.0
2021-08-22,900.8571428571429,40920.28571428572
2021-08-23,860.8571428571429,42247.857142857145
