date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-11,507.85714285714283,679.5714285714286
2021-03-12,550.8571428571429,704.8571428571429
2021-03-13,600.8571428571429,742.7142857142857
2021-03-14,634.7142857142857,793.2857142857143
2021-03-15,629.8571428571429,904.0
2021-03-16,686.1428571428571,1075.0
2021-03-17,769.7142857142857,1306.2857142857142
2021-03-18,850.5714285714286,1627.2857142857142
2021-03-19,907.1428571428571,2037.857142857143
2021-03-20,993.4285714285714,2538.285714285714
2021-03-21,1051.142857142857,3128.285714285714
2021-03-22,1096.2857142857142,3712.8571428571427
2021-03-23,1153.2857142857142,4291.857142857143
2021-03-24,1162.2857142857142,4865.285714285715
2021-03-25,1199.5714285714287,5475.571428571428
2021-03-26,1233.5714285714287,6122.857142857143
2021-03-27,1327.0,6830.571428571428
2021-03-28,1309.5714285714287,7599.0
2021-03-29,1329.142857142857,8475.714285714286
2021-03-30,1296.5714285714287,9460.714285714286
2021-03-31,1354.142857142857,10554.0
2021-04-01,1335.857142857143,11476.142857142857
2021-04-02,1267.4285714285713,12227.142857142857
2021-04-03,1245.0,12759.57142857143
2021-04-04,1249.5714285714287,13570.42857142857
2021-04-05,1253.4285714285713,14659.857142857143
2021-04-06,1190.2857142857142,16027.857142857143
2021-04-07,1028.0,17674.428571428572
2021-04-08,1043.857142857143,20788.571428571428
2021-04-09,1145.857142857143,24199.571428571428
2021-04-10,1037.2857142857142,27931.14285714286
2021-04-11,1015.2857142857143,30989.0
2021-04-12,954.5714285714286,33373.0
2021-04-13,958.2857142857143,35083.0
2021-04-14,1043.5714285714287,36119.142857142855
2021-04-15,966.1428571428571,34889.142857142855
2021-04-16,879.4285714285714,33734.28571428572
2021-04-17,872.2857142857143,32217.14285714286
2021-04-18,871.8571428571429,30834.85714285714
2021-04-19,854.7142857142857,29587.428571428572
2021-04-20,819.7142857142857,28475.0
2021-04-21,768.0,27497.571428571428
2021-04-22,765.7142857142857,26809.0
2021-04-23,739.0,25238.428571428572
2021-04-24,700.7142857142857,23661.14285714286
2021-04-25,718.7142857142857,22077.14285714286
2021-04-26,733.4285714285714,20486.285714285714
2021-04-27,726.7142857142857,18888.714285714286
2021-04-28,709.8571428571429,17284.285714285714
2021-04-29,691.1428571428571,16027.57142857143
2021-04-30,632.7142857142857,15118.857142857143
2021-05-01,593.2857142857143,14120.42857142857
2021-05-02,533.5714285714286,13032.285714285714
2021-05-03,519.2857142857143,11854.57142857143
2021-05-04,511.14285714285717,10587.142857142857
2021-05-05,487.42857142857144,9230.0
2021-05-06,438.14285714285717,8066.857142857143
2021-05-07,468.14285714285717,7097.571428571428
2021-05-08,478.2857142857143,6322.142857142857
2021-05-09,455.0,5740.571428571428
2021-05-10,447.42857142857144,5352.857142857143
2021-05-11,437.2857142857143,5159.0
2021-05-12,438.85714285714283,5159.0
2021-05-13,427.57142857142856,5159.0
2021-05-14,374.57142857142856,5114.428571428572
2021-05-15,349.42857142857144,5014.142857142857
2021-05-16,305.85714285714283,4858.285714285715
2021-05-17,273.0,4646.714285714285
2021-05-18,273.85714285714283,4379.571428571428
2021-05-19,290.0,4056.714285714286
2021-05-20,285.14285714285717,3697.714285714286
2021-05-21,308.0,3364.285714285714
2021-05-22,346.14285714285717,3066.8571428571427
2021-05-23,389.85714285714283,2805.1428571428573
2021-05-24,423.85714285714283,2561.0
2021-05-25,429.42857142857144,2389.8571428571427
2021-05-26,417.0,2277.4285714285716
2021-05-27,424.85714285714283,2190.4285714285716
2021-05-28,403.0,2145.8571428571427
2021-05-29,358.0,2138.0
2021-05-30,339.57142857142856,2130.0
2021-05-31,316.42857142857144,2158.4285714285716
2021-06-01,313.14285714285717,2123.0
2021-06-02,308.42857142857144,2052.5714285714284
2021-06-03,267.14285714285717,1980.857142857143
2021-06-04,280.14285714285717,1872.7142857142858
2021-06-05,271.57142857142856,1809.7142857142858
2021-06-06,262.85714285714283,1791.4285714285713
2021-06-07,263.42857142857144,1876.2857142857142
2021-06-08,272.0,2323.285714285714
2021-06-09,284.0,3290.5714285714284
2021-06-10,347.85714285714283,4808.571428571428
2021-06-11,375.2857142857143,7022.285714285715
2021-06-12,404.42857142857144,9248.857142857143
2021-06-13,407.2857142857143,11600.142857142857
2021-06-14,406.57142857142856,13797.285714285714
2021-06-15,434.57142857142856,15806.142857142857
2021-06-16,437.85714285714283,17164.714285714286
2021-06-17,423.0,17571.14285714286
2021-06-18,428.14285714285717,16762.285714285714
2021-06-19,472.14285714285717,15847.857142857143
2021-06-20,516.5714285714286,14636.42857142857
2021-06-21,534.0,13506.857142857143
2021-06-22,516.0,11851.857142857143
2021-06-23,534.1428571428571,10224.857142857143
2021-06-24,553.7142857142857,9223.857142857143
2021-06-25,565.2857142857143,9153.857142857143
2021-06-26,543.8571428571429,9561.714285714286
2021-06-27,514.4285714285714,10259.285714285714
2021-06-28,503.14285714285717,10947.0
2021-06-29,513.0,12818.714285714286
2021-06-30,532.4285714285714,15506.142857142857
2021-07-01,523.2857142857143,18382.85714285714
2021-07-02,471.14285714285717,20883.714285714286
2021-07-03,453.57142857142856,22770.428571428572
2021-07-04,456.85714285714283,24437.714285714286
2021-07-05,467.2857142857143,26061.571428571428
2021-07-06,452.7142857142857,26398.571428571428
2021-07-07,407.14285714285717,25497.428571428572
2021-07-08,399.7142857142857,23668.714285714286
2021-07-09,426.85714285714283,21318.571428571428
2021-07-10,416.7142857142857,18788.571428571428
2021-07-11,417.42857142857144,16321.714285714286
2021-07-12,412.2857142857143,13959.714285714286
2021-07-13,412.7142857142857,11814.857142857143
2021-07-14,464.2857142857143,10193.285714285714
2021-07-15,460.57142857142856,9707.42857142857
2021-07-16,499.2857142857143,9701.714285714286
2021-07-17,533.5714285714286,10061.42857142857
2021-07-18,560.2857142857143,10391.142857142857
2021-07-19,572.0,10629.714285714286
2021-07-20,606.7142857142857,11237.42857142857
2021-07-21,586.2857142857143,11594.285714285714
2021-07-22,589.5714285714286,10723.857142857143
2021-07-23,584.4285714285714,10025.285714285714
2021-07-24,598.0,9393.57142857143
2021-07-25,615.7142857142857,8798.57142857143
2021-07-26,664.4285714285714,8073.142857142857
2021-07-27,681.4285714285714,7306.0
2021-07-28,732.5714285714286,7003.571428571428
2021-07-29,804.4285714285714,7370.428571428572
2021-07-30,842.5714285714286,7423.428571428572
2021-07-31,865.1428571428571,7338.714285714285
2021-08-01,924.0,7365.0
2021-08-02,895.8571428571429,7535.285714285715
2021-08-03,901.7142857142857,7609.857142857143
2021-08-04,917.2857142857143,7456.285714285715
2021-08-05,964.2857142857143,7122.857142857143
2021-08-06,1036.142857142857,7224.571428571428
2021-08-07,1124.142857142857,7749.428571428572
2021-08-08,1116.4285714285713,8142.285714285715
2021-08-09,1164.0,8627.57142857143
2021-08-10,1186.0,9795.285714285714
2021-08-11,1200.0,11665.0
2021-08-12,1291.2857142857142,14303.714285714286
2021-08-13,1287.7142857142858,17276.85714285714
2021-08-14,1270.0,20151.85714285714
2021-08-15,1272.857142857143,23449.285714285714
2021-08-16,1271.2857142857142,26957.428571428572
2021-08-17,1261.857142857143,30092.0
2021-08-18,1305.4285714285713,32794.71428571428
2021-08-19,1238.5714285714287,35402.857142857145
2021-08-20,1198.142857142857,37830.857142857145
2021-08-21,1194.857142857143,40904.857142857145
2021-08-22,1203.5714285714287,43526.42857142857
2021-08-23,1183.142857142857,45754.0
