date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-20,2423.1428571428573,1329.5714285714287
2021-02-21,2339.8571428571427,1593.7142857142858
2021-02-22,2276.285714285714,1844.142857142857
2021-02-23,2248.0,2062.285714285714
2021-02-24,2248.0,2247.5714285714284
2021-02-25,2395.714285714286,2385.714285714286
2021-02-26,2501.285714285714,2510.4285714285716
2021-02-27,2661.0,2680.5714285714284
2021-02-28,2772.0,2966.0
2021-03-01,2853.8571428571427,3192.0
2021-03-02,2903.4285714285716,3349.8571428571427
2021-03-03,2957.0,3548.4285714285716
2021-03-04,2949.8571428571427,3700.285714285714
2021-03-05,2935.5714285714284,3779.5714285714284
2021-03-06,2911.1428571428573,3862.8571428571427
2021-03-07,2919.4285714285716,3729.5714285714284
2021-03-08,2936.4285714285716,3532.1428571428573
2021-03-09,2992.8571428571427,3354.5714285714284
2021-03-10,3113.0,3424.8571428571427
2021-03-11,3129.8571428571427,3564.4285714285716
2021-03-12,3151.1428571428573,3764.4285714285716
2021-03-13,3112.285714285714,4016.4285714285716
2021-03-14,3164.4285714285716,4418.714285714285
2021-03-15,3265.714285714286,4879.285714285715
2021-03-16,3154.5714285714284,5549.571428571428
2021-03-17,3089.0,5570.857142857143
2021-03-18,3083.714285714286,5632.571428571428
2021-03-19,3117.8571428571427,5715.0
2021-03-20,3211.8571428571427,5682.714285714285
2021-03-21,3030.4285714285716,5605.0
2021-03-22,3013.5714285714284,5659.571428571428
2021-03-23,3008.714285714286,5509.857142857143
2021-03-24,3061.714285714286,5743.428571428572
2021-03-25,3106.285714285714,5886.714285714285
2021-03-26,3078.1428571428573,5997.142857142857
2021-03-27,3008.4285714285716,6186.285714285715
2021-03-28,3109.0,6424.142857142857
2021-03-29,3074.1428571428573,6473.0
2021-03-30,3046.4285714285716,6611.285714285715
2021-03-31,2877.4285714285716,6716.428571428572
2021-04-01,2811.285714285714,6793.142857142857
2021-04-02,2811.5714285714284,6810.142857142857
2021-04-03,2792.0,6788.428571428572
2021-04-04,2682.1428571428573,6646.428571428572
2021-04-05,2634.1428571428573,6556.857142857143
2021-04-06,2594.714285714286,6301.714285714285
2021-04-07,2541.5714285714284,6150.571428571428
2021-04-08,2502.5714285714284,6108.714285714285
2021-04-09,2495.1428571428573,6129.857142857143
2021-04-10,2429.0,6191.714285714285
2021-04-11,2502.8571428571427,6403.857142857143
2021-04-12,2477.8571428571427,6593.0
2021-04-13,2478.8571428571427,6884.142857142857
2021-04-14,2434.4285714285716,6764.714285714285
2021-04-15,2340.1428571428573,6883.0
2021-04-16,2196.0,6956.428571428572
2021-04-17,2125.714285714286,6985.714285714285
2021-04-18,1981.4285714285713,6943.714285714285
2021-04-19,1936.7142857142858,7079.571428571428
2021-04-20,1934.857142857143,7166.0
2021-04-21,1881.0,7835.285714285715
2021-04-22,1827.0,7988.285714285715
2021-04-23,1685.7142857142858,8425.714285714286
2021-04-24,1613.7142857142858,9172.285714285714
2021-04-25,1587.4285714285713,9915.857142857143
2021-04-26,1505.142857142857,10350.42857142857
2021-04-27,1454.7142857142858,10980.0
2021-04-28,1393.857142857143,11377.714285714286
2021-04-29,1307.5714285714287,11815.57142857143
2021-04-30,1282.4285714285713,11727.42857142857
2021-05-01,1210.5714285714287,11063.42857142857
2021-05-02,1127.5714285714287,10333.57142857143
2021-05-03,1038.4285714285713,9787.0
2021-05-04,982.2857142857143,9036.57142857143
2021-05-05,920.2857142857143,8147.0
2021-05-06,853.7142857142857,7484.714285714285
2021-05-07,808.1428571428571,7270.714285714285
2021-05-08,750.8571428571429,7527.0
2021-05-09,680.1428571428571,7939.571428571428
2021-05-10,661.5714285714286,8343.857142857143
2021-05-11,669.1428571428571,8683.142857142857
2021-05-12,640.0,9020.57142857143
2021-05-13,595.8571428571429,9304.142857142857
2021-05-14,533.4285714285714,9417.285714285714
2021-05-15,478.14285714285717,9176.142857142857
2021-05-16,453.85714285714283,8762.0
2021-05-17,416.2857142857143,8557.142857142857
2021-05-18,401.85714285714283,8511.714285714286
2021-05-19,409.85714285714283,8638.42857142857
2021-05-20,379.2857142857143,8990.714285714286
2021-05-21,352.7142857142857,9348.714285714286
2021-05-22,386.57142857142856,9881.857142857143
2021-05-23,396.0,10449.42857142857
2021-05-24,395.0,10644.857142857143
2021-05-25,387.7142857142857,10636.142857142857
2021-05-26,348.14285714285717,10945.42857142857
2021-05-27,318.2857142857143,10818.57142857143
2021-05-28,307.57142857142856,10743.0
2021-05-29,285.85714285714283,10756.57142857143
2021-05-30,273.42857142857144,10946.0
2021-05-31,251.28571428571428,11457.714285714286
2021-06-01,245.71428571428572,12567.142857142857
2021-06-02,234.14285714285714,12988.0
2021-06-03,224.71428571428572,13992.142857142857
2021-06-04,202.71428571428572,14724.0
2021-06-05,192.0,15315.142857142857
2021-06-06,184.42857142857142,15796.857142857143
2021-06-07,182.85714285714286,16129.57142857143
2021-06-08,177.14285714285714,15909.857142857143
2021-06-09,167.28571428571428,15999.714285714286
2021-06-10,156.57142857142858,15555.857142857143
2021-06-11,165.71428571428572,15588.714285714286
2021-06-12,163.28571428571428,16068.42857142857
2021-06-13,157.14285714285714,16818.85714285714
2021-06-14,149.57142857142858,17473.571428571428
2021-06-15,145.85714285714286,18367.0
2021-06-16,145.42857142857142,18870.428571428572
2021-06-17,142.0,20129.285714285714
2021-06-18,132.85714285714286,21149.85714285714
2021-06-19,127.42857142857143,21357.428571428572
2021-06-20,121.14285714285714,20787.428571428572
2021-06-21,128.71428571428572,20161.571428571428
2021-06-22,128.85714285714286,19162.285714285714
2021-06-23,125.57142857142857,18769.571428571428
2021-06-24,133.0,17168.285714285714
2021-06-25,129.0,16208.857142857143
2021-06-26,128.28571428571428,15701.57142857143
2021-06-27,131.42857142857142,15771.857142857143
2021-06-28,135.57142857142858,16298.42857142857
2021-06-29,138.42857142857142,17323.0
2021-06-30,143.85714285714286,18539.14285714286
2021-07-01,143.0,20157.571428571428
2021-07-02,144.85714285714286,20486.714285714286
2021-07-03,151.57142857142858,20740.285714285714
2021-07-04,153.14285714285714,20795.14285714286
2021-07-05,159.42857142857142,20103.0
2021-07-06,164.42857142857142,18992.428571428572
2021-07-07,180.0,18113.0
2021-07-08,214.28571428571428,18022.85714285714
2021-07-09,250.0,18528.714285714286
2021-07-10,277.7142857142857,19088.14285714286
2021-07-11,304.85714285714283,19823.85714285714
2021-07-12,320.14285714285717,21221.428571428572
2021-07-13,327.14285714285717,23791.0
2021-07-14,355.7142857142857,24947.571428571428
2021-07-15,372.2857142857143,25333.85714285714
2021-07-16,380.14285714285717,25463.285714285714
2021-07-17,404.85714285714283,25566.285714285714
2021-07-18,427.85714285714283,25506.571428571428
2021-07-19,447.2857142857143,25225.428571428572
2021-07-20,456.57142857142856,22575.714285714286
2021-07-21,476.2857142857143,20399.14285714286
2021-07-22,479.42857142857144,18508.85714285714
2021-07-23,492.0,16878.285714285714
2021-07-24,515.8571428571429,15307.57142857143
2021-07-25,566.5714285714286,14229.285714285714
2021-07-26,622.8571428571429,13238.0
2021-07-27,640.8571428571429,14273.0
2021-07-28,765.1428571428571,15759.0
2021-07-29,863.0,16993.285714285714
2021-07-30,943.1428571428571,18594.428571428572
2021-07-31,968.7142857142857,20103.0
2021-08-01,988.8571428571429,20835.714285714286
2021-08-02,1032.142857142857,21489.0
2021-08-03,1068.7142857142858,21472.14285714286
2021-08-04,1031.2857142857142,20906.571428571428
2021-08-05,1075.2857142857142,20489.14285714286
2021-08-06,1081.5714285714287,19874.14285714286
2021-08-07,1158.4285714285713,19368.285714285714
2021-08-08,1245.4285714285713,19240.0
2021-08-09,1303.2857142857142,18757.714285714286
2021-08-10,1325.2857142857142,18342.14285714286
2021-08-11,1370.7142857142858,18615.0
2021-08-12,1522.0,18601.285714285714
2021-08-13,1617.5714285714287,18215.14285714286
2021-08-14,1642.0,17685.14285714286
2021-08-15,1628.4285714285713,17332.85714285714
2021-08-16,1623.142857142857,17307.428571428572
2021-08-17,1616.7142857142858,16896.571428571428
2021-08-18,1562.4285714285713,15943.0
2021-08-19,1433.5714285714287,15390.57142857143
2021-08-20,1458.7142857142858,15028.57142857143
2021-08-21,1371.142857142857,14941.714285714286
2021-08-22,1355.142857142857,14658.0
2021-08-23,1306.2857142857142,14218.0
