date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-04,789.8571428571429,19397.14285714286
2021-02-05,772.1428571428571,21724.14285714286
2021-02-06,754.7142857142857,21518.85714285714
2021-02-07,741.5714285714286,20796.285714285714
2021-02-08,750.2857142857143,18857.428571428572
2021-02-09,787.5714285714286,16595.285714285714
2021-02-10,823.5714285714286,14015.285714285714
2021-02-11,857.2857142857143,11677.142857142857
2021-02-12,886.5714285714286,9062.142857142857
2021-02-13,896.5714285714286,7106.714285714285
2021-02-14,900.8571428571429,5575.142857142857
2021-02-15,884.7142857142857,4615.285714285715
2021-02-16,853.2857142857143,3932.5714285714284
2021-02-17,818.8571428571429,3868.5714285714284
2021-02-18,757.7142857142857,4350.714285714285
2021-02-19,697.2857142857143,5609.714285714285
2021-02-20,661.1428571428571,7440.142857142857
2021-02-21,620.7142857142857,9926.857142857143
2021-02-22,584.1428571428571,12707.142857142857
2021-02-23,546.4285714285714,15743.285714285714
2021-02-24,508.7142857142857,18792.0
2021-02-25,501.85714285714283,21061.285714285714
2021-02-26,499.0,22250.571428571428
2021-02-27,487.14285714285717,22718.285714285714
2021-02-28,463.2857142857143,22272.571428571428
2021-03-01,433.57142857142856,22140.14285714286
2021-03-02,408.7142857142857,22470.14285714286
2021-03-03,394.14285714285717,22948.85714285714
2021-03-04,382.42857142857144,24670.571428571428
2021-03-05,361.42857142857144,27732.428571428572
2021-03-06,349.42857142857144,30654.571428571428
2021-03-07,350.42857142857144,33422.57142857143
2021-03-08,355.2857142857143,34909.57142857143
2021-03-09,353.2857142857143,34971.57142857143
2021-03-10,351.2857142857143,33861.142857142855
2021-03-11,339.85714285714283,30955.285714285714
2021-03-12,332.2857142857143,26227.85714285714
2021-03-13,323.42857142857144,21408.0
2021-03-14,316.0,16923.0
2021-03-15,314.14285714285717,13242.42857142857
2021-03-16,311.57142857142856,10447.857142857143
2021-03-17,311.0,8452.714285714286
2021-03-18,312.2857142857143,7380.857142857143
2021-03-19,315.85714285714283,7432.142857142857
2021-03-20,320.85714285714283,7691.0
2021-03-21,327.57142857142856,7964.571428571428
2021-03-22,325.14285714285717,8095.571428571428
2021-03-23,320.14285714285717,8048.714285714285
2021-03-24,308.0,7964.714285714285
2021-03-25,302.0,7846.714285714285
2021-03-26,294.85714285714283,7575.714285714285
2021-03-27,284.7142857142857,7496.714285714285
2021-03-28,269.7142857142857,7646.428571428572
2021-03-29,255.57142857142858,7690.285714285715
2021-03-30,239.57142857142858,7797.0
2021-03-31,241.14285714285714,7925.714285714285
2021-04-01,232.57142857142858,8000.428571428572
2021-04-02,223.85714285714286,7969.285714285715
2021-04-03,208.0,7665.428571428572
2021-04-04,192.57142857142858,6976.428571428572
2021-04-05,184.57142857142858,6448.571428571428
2021-04-06,190.0,5736.714285714285
2021-04-07,183.85714285714286,4816.857142857143
2021-04-08,202.71428571428572,3821.285714285714
2021-04-09,205.14285714285714,2845.285714285714
2021-04-10,221.85714285714286,2047.142857142857
2021-04-11,242.14285714285714,1441.7142857142858
2021-04-12,257.0,851.0
2021-04-13,264.0,454.2857142857143
2021-04-14,249.14285714285714,260.0
2021-04-15,230.42857142857142,200.42857142857142
2021-04-16,231.71428571428572,228.0
2021-04-17,227.28571428571428,267.14285714285717
2021-04-18,237.85714285714286,317.85714285714283
2021-04-19,244.42857142857142,359.7142857142857
2021-04-20,264.57142857142856,392.7142857142857
2021-04-21,330.42857142857144,419.2857142857143
2021-04-22,396.14285714285717,440.42857142857144
2021-04-23,500.7142857142857,456.14285714285717
2021-04-24,592.4285714285714,464.0
2021-04-25,654.7142857142857,464.0
2021-04-26,753.0,464.0
2021-04-27,859.2857142857143,464.0
2021-04-28,986.1428571428571,464.0
2021-04-29,1108.857142857143,464.0
2021-04-30,1207.857142857143,860.0
2021-05-01,1325.142857142857,2018.7142857142858
2021-05-02,1482.0,3676.1428571428573
2021-05-03,1614.2857142857142,5503.285714285715
2021-05-04,1729.0,7793.142857142857
2021-05-05,1796.5714285714287,10516.714285714286
2021-05-06,1848.5714285714287,13603.57142857143
2021-05-07,1884.5714285714287,16240.857142857143
2021-05-08,1910.2857142857142,17551.428571428572
2021-05-09,2021.857142857143,18063.285714285714
2021-05-10,2122.0,18318.428571428572
2021-05-11,2215.4285714285716,18302.285714285714
2021-05-12,2285.4285714285716,18582.285714285714
2021-05-13,2338.8571428571427,19954.571428571428
2021-05-14,2392.4285714285716,22543.571428571428
2021-05-15,2462.4285714285716,27097.428571428572
2021-05-16,2405.714285714286,33352.142857142855
2021-05-17,2381.714285714286,40179.28571428572
2021-05-18,2374.5714285714284,47679.857142857145
2021-05-19,2545.1428571428573,54058.0
2021-05-20,2712.8571428571427,57644.42857142857
2021-05-21,2892.5714285714284,58949.142857142855
2021-05-22,2967.285714285714,57705.57142857143
2021-05-23,3065.0,53778.857142857145
2021-05-24,3138.5714285714284,48943.0
2021-05-25,3168.5714285714284,41908.0
2021-05-26,2990.5714285714284,34564.857142857145
2021-05-27,2867.8571428571427,28154.285714285714
2021-05-28,2768.285714285714,23330.428571428572
2021-05-29,2764.4285714285716,19558.714285714286
2021-05-30,2750.1428571428573,17191.285714285714
2021-05-31,2741.714285714286,16802.85714285714
2021-06-01,2763.0,19280.571428571428
2021-06-02,2895.714285714286,23937.14285714286
2021-06-03,2997.5714285714284,29960.428571428572
2021-06-04,3077.5714285714284,35702.71428571428
2021-06-05,3109.1428571428573,42225.71428571428
2021-06-06,3125.8571428571427,48680.0
2021-06-07,3087.8571428571427,51964.28571428572
2021-06-08,3060.0,52646.0
2021-06-09,2978.4285714285716,51181.71428571428
2021-06-10,2898.5714285714284,49207.71428571428
2021-06-11,2809.8571428571427,47901.142857142855
2021-06-12,2702.8571428571427,46660.0
2021-06-13,2615.0,47652.857142857145
2021-06-14,2563.285714285714,51412.71428571428
2021-06-15,2513.5714285714284,57623.71428571428
2021-06-16,2470.8571428571427,65606.28571428571
2021-06-17,2418.5714285714284,72752.42857142857
2021-06-18,2355.714285714286,78308.14285714286
2021-06-19,2340.5714285714284,82893.14285714286
2021-06-20,2293.0,83291.71428571429
2021-06-21,2271.1428571428573,82117.57142857143
2021-06-22,2236.714285714286,77985.14285714286
2021-06-23,2202.4285714285716,71192.57142857143
2021-06-24,2140.8571428571427,64098.142857142855
2021-06-25,2073.285714285714,57277.71428571428
2021-06-26,2012.857142857143,49802.71428571428
2021-06-27,1989.857142857143,44045.142857142855
2021-06-28,1955.4285714285713,38590.142857142855
2021-06-29,1901.7142857142858,35682.28571428572
