date,moving_average_new_cases,moving_average_new_vaccinations
2020-12-31,9813.0,2294.1428571428573
2021-01-01,10085.142857142857,2687.1428571428573
2021-01-02,10314.142857142857,3131.0
2021-01-03,10411.0,3625.714285714286
2021-01-04,10556.0,4089.714285714286
2021-01-05,10681.285714285714,4250.142857142857
2021-01-06,11014.42857142857,4299.857142857143
2021-01-07,11403.285714285714,4376.285714285715
2021-01-08,11929.142857142857,4509.571428571428
2021-01-09,12883.857142857143,4664.0
2021-01-10,15053.57142857143,4823.0
2021-01-11,15467.0,5000.857142857143
2021-01-12,15522.57142857143,5305.714285714285
2021-01-13,15878.0,7575.0
2021-01-14,15975.42857142857,12513.142857142857
2021-01-15,16010.0,18942.14285714286
2021-01-16,15953.57142857143,26085.714285714286
2021-01-17,15798.285714285714,33222.71428571428
2021-01-18,15741.0,40618.0
2021-01-19,15693.285714285714,47977.142857142855
2021-01-20,15497.714285714286,51427.71428571428
2021-01-21,15432.42857142857,50423.142857142855
2021-01-22,15264.857142857143,47311.42857142857
2021-01-23,15058.285714285714,42557.71428571428
2021-01-24,14910.57142857143,37795.28571428572
2021-01-25,14819.42857142857,32634.285714285714
2021-01-26,14736.57142857143,27510.85714285714
2021-01-27,14525.285714285714,24379.285714285714
2021-01-28,14242.0,21994.571428571428
2021-01-29,13876.42857142857,18932.85714285714
2021-01-30,13462.285714285714,16810.85714285714
2021-01-31,12874.714285714286,14488.714285714286
2021-02-01,12590.285714285714,11989.142857142857
2021-02-02,12441.714285714286,9357.0
2021-02-03,10516.857142857143,6817.0
2021-02-04,10000.285714285714,5424.0
2021-02-05,9565.142857142857,5234.0
2021-02-06,9109.285714285714,4996.285714285715
2021-02-07,8799.714285714286,4924.571428571428
2021-02-08,8590.142857142857,5180.0
2021-02-09,8454.857142857143,5557.571428571428
2021-02-10,9447.57142857143,5711.714285714285
2021-02-11,8858.42857142857,5571.142857142857
2021-02-12,8381.142857142857,5317.714285714285
2021-02-13,7952.714285714285,4832.428571428572
2021-02-14,7598.857142857143,4511.857142857143
2021-02-15,7406.857142857143,4292.428571428572
2021-02-16,7322.571428571428,7361.714285714285
2021-02-17,6847.0,13388.714285714286
2021-02-18,6629.714285714285,24863.14285714286
2021-02-19,6416.285714285715,41648.28571428572
2021-02-20,6294.285714285715,60298.857142857145
2021-02-21,6162.285714285715,79210.71428571429
2021-02-22,6081.142857142857,98636.42857142857
2021-02-23,6063.714285714285,112751.85714285714
2021-02-24,6107.571428571428,123144.0
2021-02-25,6067.285714285715,126779.71428571429
2021-02-26,6044.428571428572,123692.28571428571
2021-02-27,6016.714285714285,119551.71428571429
2021-02-28,6029.142857142857,115771.71428571429
2021-03-01,6040.0,111888.71428571429
2021-03-02,6049.428571428572,109776.57142857143
2021-03-03,6053.142857142857,107534.71428571429
2021-03-04,5972.428571428572,103789.14285714286
2021-03-05,5931.142857142857,98972.71428571429
2021-03-06,5866.285714285715,91937.85714285714
2021-03-07,5741.714285714285,83204.57142857143
2021-03-08,5678.428571428572,73598.71428571429
2021-03-09,5662.0,68193.71428571429
2021-03-10,5436.0,70675.85714285714
2021-03-11,5296.142857142857,81629.71428571429
2021-03-12,5144.714285714285,98208.57142857143
2021-03-13,5007.428571428572,119965.57142857143
2021-03-14,4900.714285714285,144635.14285714287
2021-03-15,4844.285714285715,169782.2857142857
2021-03-16,4781.571428571428,188404.42857142858
2021-03-17,4075.5714285714284,196469.7142857143
2021-03-18,4191.142857142857,196950.57142857142
2021-03-19,4160.428571428572,195081.0
2021-03-20,4113.142857142857,190922.42857142858
2021-03-21,4043.1428571428573,185321.2857142857
2021-03-22,4010.285714285714,181684.0
2021-03-23,4009.8571428571427,180995.57142857142
2021-03-24,4552.142857142857,183690.57142857142
2021-03-25,4329.0,186728.14285714287
2021-03-26,4237.0,189152.57142857142
2021-03-27,4177.142857142857,189582.2857142857
2021-03-28,4094.8571428571427,188928.0
2021-03-29,4069.4285714285716,186077.7142857143
2021-03-30,4036.4285714285716,187746.2857142857
2021-03-31,3946.4285714285716,194890.85714285713
2021-04-01,3837.714285714286,209329.57142857142
2021-04-02,3748.5714285714284,226816.42857142858
2021-04-03,3387.5714285714284,247155.7142857143
2021-04-04,3031.1428571428573,266402.71428571426
2021-04-05,2938.8571428571427,287461.28571428574
2021-04-06,2954.0,303638.0
2021-04-07,2988.8571428571427,313977.0
2021-04-08,3016.8571428571427,321961.85714285716
2021-04-09,3071.0,325699.5714285714
2021-04-10,3379.1428571428573,324772.85714285716
2021-04-11,3715.8571428571427,328359.28571428574
2021-04-12,3803.5714285714284,331355.14285714284
2021-04-13,3771.5714285714284,340773.5714285714
2021-04-14,3705.5714285714284,352715.85714285716
2021-04-15,3648.285714285714,360546.71428571426
2021-04-16,3566.5714285714284,373871.0
2021-04-17,3499.4285714285716,390598.71428571426
2021-04-18,3395.285714285714,403125.14285714284
2021-04-19,3318.0,412361.71428571426
2021-04-20,3302.4285714285716,409583.71428571426
2021-04-21,3195.4285714285716,404298.28571428574
2021-04-22,3111.1428571428573,397650.71428571426
2021-04-23,3080.5714285714284,382201.5714285714
2021-04-24,3009.714285714286,364498.5714285714
2021-04-25,2989.285714285714,347370.5714285714
2021-04-26,2997.5714285714284,332010.0
2021-04-27,2993.4285714285716,320234.4285714286
2021-04-28,2942.8571428571427,306273.5714285714
2021-04-29,2913.285714285714,293842.85714285716
2021-04-30,2848.285714285714,286275.85714285716
2021-05-01,2804.5714285714284,281122.5714285714
2021-05-02,2734.5714285714284,277781.14285714284
2021-05-03,2628.0,278286.28571428574
2021-05-04,2611.4285714285716,284381.4285714286
2021-05-05,2532.0,298925.4285714286
2021-05-06,2452.714285714286,318885.14285714284
2021-05-07,2368.0,340580.85714285716
2021-05-08,2339.1428571428573,360681.71428571426
2021-05-09,2310.714285714286,378208.4285714286
2021-05-10,2350.4285714285716,387938.85714285716
2021-05-11,2325.5714285714284,386538.71428571426
2021-05-12,2081.4285714285716,375155.14285714284
2021-05-13,2123.4285714285716,355776.28571428574
2021-05-14,2129.714285714286,329812.71428571426
2021-05-15,2071.8571428571427,305052.4285714286
2021-05-16,2068.8571428571427,285446.4285714286
2021-05-17,2059.1428571428573,269932.5714285714
2021-05-18,2057.8571428571427,268387.28571428574
2021-05-19,2224.0,272499.71428571426
2021-05-20,2135.714285714286,286832.85714285716
2021-05-21,2114.8571428571427,313465.5714285714
2021-05-22,2120.4285714285716,344972.4285714286
2021-05-23,2107.1428571428573,374408.28571428574
2021-05-24,2098.285714285714,404955.85714285716
2021-05-25,2102.0,425728.85714285716
2021-05-26,2110.8571428571427,451233.14285714284
2021-05-27,2130.285714285714,469847.0
2021-05-28,2151.0,483156.85714285716
2021-05-29,2171.714285714286,492956.14285714284
2021-05-30,2187.5714285714284,503250.28571428574
2021-05-31,2186.0,512802.71428571426
2021-06-01,2205.0,530066.4285714285
2021-06-02,2222.714285714286,542628.1428571428
2021-06-03,2235.714285714286,561262.2857142857
2021-06-04,2261.1428571428573,580168.4285714285
2021-06-05,2275.0,598207.0
2021-06-06,2313.285714285714,605331.5714285715
2021-06-07,2343.4285714285716,612656.0
2021-06-08,2330.714285714286,615476.8571428572
2021-06-09,2416.8571428571427,620579.0
2021-06-10,2528.4285714285716,603357.8571428572
2021-06-11,2610.8571428571427,576086.0
2021-06-12,2704.1428571428573,540189.8571428572
2021-06-13,2778.714285714286,517750.14285714284
2021-06-14,2830.1428571428573,496608.85714285716
2021-06-15,2866.1428571428573,474302.28571428574
2021-06-16,2942.4285714285716,435881.28571428574
2021-06-17,2983.5714285714284,418866.71428571426
2021-06-18,3061.8571428571427,407352.14285714284
2021-06-19,3156.4285714285716,405291.14285714284
2021-06-20,3254.1428571428573,397977.28571428574
2021-06-21,3304.714285714286,392927.71428571426
2021-06-22,3330.0,393686.5714285714
2021-06-23,3486.714285714286,415174.85714285716
2021-06-24,3672.5714285714284,433863.5714285714
2021-06-25,3873.5714285714284,456446.4285714286
2021-06-26,4069.714285714286,476571.28571428574
2021-06-27,4248.285714285715,496551.28571428574
2021-06-28,4346.142857142857,512615.4285714286
2021-06-29,4408.428571428572,525383.8571428572
2021-06-30,4644.428571428572,529873.4285714285
2021-07-01,4824.571428571428,530324.8571428572
2021-07-02,4955.857142857143,526863.7142857143
2021-07-03,5125.0,518602.5714285714
2021-07-04,5346.142857142857,510428.85714285716
2021-07-05,5448.571428571428,503685.28571428574
2021-07-06,5528.571428571428,496357.71428571426
2021-07-07,5862.142857142857,487412.28571428574
