date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-03,2015.142857142857,5672.857142857143
2021-03-04,2035.0,7484.714285714285
2021-03-05,2020.857142857143,9298.285714285714
2021-03-06,1923.142857142857,11102.57142857143
2021-03-07,1815.4285714285713,12928.714285714286
2021-03-08,1772.7142857142858,14689.714285714286
2021-03-09,1733.4285714285713,16268.57142857143
2021-03-10,1691.0,17698.14285714286
2021-03-11,1631.5714285714287,18894.14285714286
2021-03-12,1548.857142857143,20119.85714285714
2021-03-13,1518.857142857143,21184.285714285714
2021-03-14,1471.857142857143,22082.571428571428
2021-03-15,1426.0,22600.14285714286
2021-03-16,1395.0,22850.85714285714
2021-03-17,1362.2857142857142,22815.428571428572
2021-03-18,1300.2857142857142,22466.428571428572
2021-03-19,1300.4285714285713,21641.714285714286
2021-03-20,1329.142857142857,20725.714285714286
2021-03-21,1325.2857142857142,19963.285714285714
2021-03-22,1312.142857142857,19419.85714285714
2021-03-23,1358.0,19046.714285714286
2021-03-24,1365.0,19004.0
2021-03-25,1386.0,19289.714285714286
2021-03-26,1343.0,19855.571428571428
2021-03-27,1275.5714285714287,20535.571428571428
2021-03-28,1272.0,21130.0
2021-03-29,1247.0,21868.0
2021-03-30,1211.142857142857,22770.285714285714
2021-03-31,1241.7142857142858,23674.714285714286
2021-04-01,1215.7142857142858,24762.428571428572
2021-04-02,1218.4285714285713,26086.0
2021-04-03,1281.142857142857,27388.0
2021-04-04,1287.857142857143,28639.285714285714
2021-04-05,1306.2857142857142,29534.0
2021-04-06,1330.142857142857,30021.14285714286
2021-04-07,1281.142857142857,30205.85714285714
2021-04-08,1296.4285714285713,29732.714285714286
2021-04-09,1376.4285714285713,28798.428571428572
2021-04-10,1358.142857142857,27803.571428571428
2021-04-11,1413.857142857143,27001.285714285714
2021-04-12,1449.142857142857,26548.85714285714
2021-04-13,1515.857142857143,26096.714285714286
2021-04-14,1623.0,25728.714285714286
2021-04-15,1746.2857142857142,25685.85714285714
2021-04-16,1845.857142857143,25781.714285714286
2021-04-17,1963.142857142857,25788.428571428572
2021-04-18,2028.2857142857142,25359.428571428572
2021-04-19,2137.0,24588.14285714286
2021-04-20,2219.0,24165.14285714286
2021-04-21,2283.4285714285716,23769.428571428572
2021-04-22,2387.285714285714,23413.571428571428
2021-04-23,2429.5714285714284,23086.714285714286
2021-04-24,2484.714285714286,22920.14285714286
2021-04-25,2555.4285714285716,23127.714285714286
2021-04-26,2655.1428571428573,23402.85714285714
2021-04-27,2711.1428571428573,23524.285714285714
2021-04-28,2825.714285714286,23910.85714285714
2021-04-29,2891.0,23902.285714285714
2021-04-30,3025.4285714285716,24066.0
2021-05-01,3048.8571428571427,24070.85714285714
2021-05-02,3152.8571428571427,23993.0
2021-05-03,3113.4285714285716,24401.285714285714
2021-05-04,3168.714285714286,25091.285714285714
2021-05-05,3254.714285714286,25849.0
2021-05-06,3286.0,27839.0
2021-05-07,3387.4285714285716,30101.14285714286
2021-05-08,3621.4285714285716,32927.142857142855
2021-05-09,3666.4285714285716,36075.57142857143
2021-05-10,3853.1428571428573,39006.57142857143
2021-05-11,3975.0,41611.28571428572
2021-05-12,4120.857142857143,43151.42857142857
2021-05-13,4307.142857142857,42669.42857142857
2021-05-14,4252.142857142857,40781.142857142855
2021-05-15,4198.0,38120.28571428572
2021-05-16,4204.714285714285,34665.0
2021-05-17,4296.0,30980.85714285714
2021-05-18,4423.428571428572,27911.0
2021-05-19,4610.571428571428,26944.428571428572
2021-05-20,4889.285714285715,28772.14285714286
2021-05-21,5229.285714285715,32821.42857142857
2021-05-22,5540.714285714285,37931.71428571428
2021-05-23,5997.285714285715,44232.42857142857
2021-05-24,6292.0,51269.857142857145
2021-05-25,6638.285714285715,58168.57142857143
2021-05-26,6838.714285714285,62451.71428571428
2021-05-27,6988.857142857143,65635.14285714286
2021-05-28,7245.571428571428,67845.57142857143
2021-05-29,7631.285714285715,69723.85714285714
2021-05-30,7634.571428571428,71199.14285714286
2021-05-31,7679.571428571428,71966.14285714286
2021-06-01,7653.285714285715,72260.28571428571
2021-06-02,7685.428571428572,75544.42857142857
2021-06-03,7735.714285714285,78491.42857142857
2021-06-04,7658.285714285715,81510.28571428571
2021-06-05,7434.285714285715,84282.71428571429
2021-06-06,7326.0,87128.14285714286
2021-06-07,7104.142857142857,89342.14285714286
2021-06-08,6884.285714285715,92693.85714285714
2021-06-09,6675.142857142857,95344.14285714286
2021-06-10,6312.571428571428,98631.28571428571
2021-06-11,6184.142857142857,102291.57142857143
2021-06-12,5947.142857142857,107106.85714285714
2021-06-13,5813.285714285715,112518.85714285714
2021-06-14,5767.285714285715,121369.42857142857
2021-06-15,5746.285714285715,130492.85714285714
2021-06-16,5590.714285714285,139764.7142857143
2021-06-17,5600.285714285715,149573.2857142857
2021-06-18,5541.857142857143,159870.85714285713
2021-06-19,5558.714285714285,169567.57142857142
2021-06-20,5557.142857142857,178560.14285714287
2021-06-21,5508.857142857143,185580.57142857142
2021-06-22,5412.285714285715,191957.57142857142
2021-06-23,5425.714285714285,198200.85714285713
2021-06-24,5440.428571428572,204035.42857142858
2021-06-25,5350.714285714285,209423.14285714287
2021-06-26,5335.285714285715,214641.85714285713
2021-06-27,5377.142857142857,220198.14285714287
2021-06-28,5463.857142857143,224190.7142857143
2021-06-29,5705.857142857143,227107.2857142857
2021-06-30,5853.285714285715,229092.14285714287
2021-07-01,6017.142857142857,229938.7142857143
2021-07-02,6184.285714285715,230387.14285714287
2021-07-03,6306.428571428572,230822.2857142857
2021-07-04,6372.0,231393.2857142857
2021-07-05,6539.0,235088.0
2021-07-06,6712.857142857143,241391.2857142857
2021-07-07,6830.142857142857,250130.0
2021-07-08,7098.714285714285,261478.2857142857
2021-07-09,7412.714285714285,274700.14285714284
2021-07-10,7797.714285714285,289690.28571428574
2021-07-11,8234.857142857143,305585.28571428574
2021-07-12,8547.285714285714,321244.85714285716
2021-07-13,9036.57142857143,336324.0
2021-07-14,9682.42857142857,350164.14285714284
2021-07-15,10303.42857142857,363352.4285714286
2021-07-16,10783.57142857143,375682.5714285714
2021-07-17,11237.142857142857,386954.14285714284
2021-07-18,11466.42857142857,397741.28571428574
2021-07-19,11809.0,406540.0
2021-07-20,11992.857142857143,411022.0
2021-07-21,12045.285714285714,414204.0
2021-07-22,12019.42857142857,416420.4285714286
2021-07-23,12452.57142857143,418506.5714285714
2021-07-24,12934.57142857143,420106.28571428574
2021-07-25,13839.57142857143,421753.0
2021-07-26,14345.857142857143,425158.4285714286
2021-07-27,14881.714285714286,436491.14285714284
2021-07-28,15656.0,450332.0
2021-07-29,16246.857142857143,464589.28571428574
2021-07-30,16427.85714285714,478758.14285714284
2021-07-31,16697.0,494437.14285714284
2021-08-01,16712.0,510478.71428571426
2021-08-02,16890.285714285714,523576.4285714286
2021-08-03,17031.428571428572,529985.0
2021-08-04,17376.285714285714,532530.8571428572
2021-08-05,17865.714285714286,532951.5714285715
2021-08-06,18444.14285714286,530894.4285714285
2021-08-07,18654.285714285714,524707.0
2021-08-08,18874.0,515200.71428571426
2021-08-09,19084.285714285714,506679.14285714284
2021-08-10,19496.571428571428,496956.14285714284
2021-08-11,19633.85714285714,488654.4285714286
2021-08-12,19787.0,481500.28571428574
2021-08-13,19869.714285714286,476194.0
2021-08-14,20071.571428571428,473148.4285714286
2021-08-15,20337.0,472398.5714285714
2021-08-16,20694.714285714286,472450.85714285716
2021-08-17,20643.285714285714,478563.4285714286
2021-08-18,20852.14285714286,485677.71428571426
2021-08-19,21035.0,492448.28571428574
2021-08-20,21334.428571428572,499050.4285714286
2021-08-21,21561.85714285714,505881.5714285714
2021-08-22,21456.285714285714,512648.14285714284
2021-08-23,21160.85714285714,516441.28571428574
