date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-16,7178.571428571428,6172.0
2021-01-17,5604.142857142857,6306.571428571428
2021-01-18,5604.142857142857,6575.714285714285
2021-01-19,5604.142857142857,6979.428571428572
2021-01-20,5604.142857142857,7517.714285714285
2021-01-21,5604.142857142857,8190.428571428572
2021-01-22,5604.142857142857,8997.714285714286
2021-01-23,5604.142857142857,9939.57142857143
2021-01-24,5047.0,11025.714285714286
2021-01-25,5047.0,12256.0
2021-01-26,5047.0,13630.57142857143
2021-01-27,5047.0,15149.42857142857
2021-01-28,5047.0,16812.571428571428
2021-01-29,5047.0,18620.0
2021-01-30,5047.0,20571.571428571428
2021-01-31,4140.0,22346.285714285714
2021-02-01,4140.0,23944.14285714286
2021-02-02,4140.0,25365.0
2021-02-03,4140.0,26608.85714285714
2021-02-04,4140.0,27675.85714285714
2021-02-05,4140.0,28565.85714285714
2021-02-06,4140.0,29279.14285714286
2021-02-07,3698.714285714286,29881.285714285714
2021-02-08,3698.714285714286,30372.571428571428
2021-02-09,3698.714285714286,30753.0
2021-02-10,3698.714285714286,31022.571428571428
2021-02-11,3698.714285714286,31181.285714285714
2021-02-12,3698.714285714286,31229.14285714286
2021-02-13,3698.714285714286,31166.0
2021-02-14,3487.285714285714,31208.14285714286
2021-02-15,3487.285714285714,31355.428571428572
2021-02-16,3487.285714285714,31607.85714285714
2021-02-17,3487.285714285714,31965.285714285714
2021-02-18,3487.285714285714,32427.85714285714
2021-02-19,3487.285714285714,32995.57142857143
2021-02-20,3487.285714285714,33668.42857142857
2021-02-21,4119.285714285715,34521.57142857143
2021-02-22,4119.285714285715,35555.0
2021-02-23,4119.285714285715,36768.71428571428
2021-02-24,4119.285714285715,38162.857142857145
2021-02-25,4119.285714285715,39737.28571428572
2021-02-26,4119.285714285715,41492.142857142855
2021-02-27,4119.285714285715,43427.28571428572
2021-02-28,4491.571428571428,44938.57142857143
2021-03-01,4491.571428571428,46026.142857142855
2021-03-02,4491.571428571428,46690.0
2021-03-03,4491.571428571428,46930.0
2021-03-04,4491.571428571428,46746.28571428572
2021-03-05,4491.571428571428,46138.71428571428
2021-03-06,4491.571428571428,45107.28571428572
2021-03-07,4512.857142857143,44197.42857142857
2021-03-08,4512.857142857143,43409.0
2021-03-09,4512.857142857143,42742.0
2021-03-10,4512.857142857143,42196.42857142857
2021-03-11,4512.857142857143,41772.28571428572
2021-03-12,4512.857142857143,41469.57142857143
2021-03-13,4512.857142857143,41288.28571428572
2021-03-14,5530.142857142857,40926.57142857143
2021-03-15,5530.142857142857,40384.42857142857
2021-03-16,5530.142857142857,39661.71428571428
2021-03-17,5530.142857142857,38758.71428571428
2021-03-18,5530.142857142857,37675.28571428572
2021-03-19,5530.142857142857,36411.28571428572
2021-03-20,5530.142857142857,34967.0
2021-03-21,6485.428571428572,33972.71428571428
2021-03-22,6485.428571428572,33428.42857142857
2021-03-23,6485.428571428572,33334.142857142855
2021-03-24,6485.428571428572,33689.857142857145
2021-03-25,6485.428571428572,34495.57142857143
2021-03-26,6485.428571428572,35751.42857142857
2021-03-27,6485.428571428572,37457.28571428572
2021-03-28,7346.714285714285,39365.42857142857
2021-03-29,7346.714285714285,41475.71428571428
2021-03-30,7346.714285714285,43788.42857142857
