date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-09,1297.5714285714287,3404.0
2021-02-10,1267.2857142857142,3404.0
2021-02-11,1222.7142857142858,3409.0
2021-02-12,1221.857142857143,3419.0
2021-02-13,1217.2857142857142,3434.0
2021-02-14,1213.857142857143,3454.0
2021-02-15,1222.142857142857,3479.0
2021-02-16,1223.7142857142858,3509.0
2021-02-17,1186.4285714285713,3544.0
2021-02-18,1199.7142857142858,3602.1428571428573
2021-02-19,1166.857142857143,3683.4285714285716
2021-02-20,1163.2857142857142,3787.8571428571427
2021-02-21,1174.4285714285713,3915.4285714285716
2021-02-22,1163.5714285714287,4232.857142857143
2021-02-23,1179.5714285714287,4740.142857142857
2021-02-24,1222.857142857143,5437.285714285715
2021-02-25,1227.2857142857142,6273.0
2021-02-26,1240.0,7247.142857142857
2021-02-27,1282.2857142857142,8359.857142857143
2021-02-28,1278.7142857142858,9611.142857142857
2021-03-01,1257.0,10667.57142857143
2021-03-02,1290.142857142857,11529.142857142857
2021-03-03,1306.2857142857142,12195.857142857143
2021-03-04,1333.7142857142858,12695.857142857143
2021-03-05,1356.2857142857142,13029.285714285714
2021-03-06,1361.7142857142858,13196.0
2021-03-07,1418.7142857142858,13196.0
2021-03-08,1505.0,13196.0
2021-03-09,1533.5714285714287,13196.0
2021-03-10,1560.7142857142858,13196.0
2021-03-11,1617.5714285714287,13196.0
2021-03-12,1723.142857142857,13196.0
2021-03-13,1883.4285714285713,13196.0
2021-03-14,1972.5714285714287,13196.0
2021-03-15,2098.8571428571427,13466.857142857143
2021-03-16,2193.285714285714,14008.714285714286
2021-03-17,2358.714285714286,14821.42857142857
2021-03-18,2439.4285714285716,15905.142857142857
2021-03-19,2616.1428571428573,17259.714285714286
2021-03-20,2723.0,18885.14285714286
2021-03-21,2942.714285714286,20781.571428571428
2021-03-22,3086.0,22407.14285714286
2021-03-23,3288.285714285714,23761.714285714286
2021-03-24,3396.714285714286,24845.428571428572
2021-03-25,3532.4285714285716,25658.14285714286
2021-03-26,3596.8571428571427,26200.0
2021-03-27,3728.1428571428573,26471.0
2021-03-28,3812.714285714286,26471.0
2021-03-29,3969.8571428571427,26471.0
2021-03-30,4092.1428571428573,26471.0
2021-03-31,4208.428571428572,26471.0
2021-04-01,4416.428571428572,26394.571428571428
2021-04-02,4563.285714285715,26241.85714285714
2021-04-03,4687.0,26012.85714285714
2021-04-04,4723.428571428572,25707.428571428572
2021-04-05,4759.571428571428,25325.714285714286
2021-04-06,4730.714285714285,24867.714285714286
2021-04-07,4712.0,25681.85714285714
2021-04-08,4604.428571428572,27921.0
2021-04-09,4655.142857142857,30531.714285714286
2021-04-10,4666.285714285715,33514.0
2021-04-11,4725.714285714285,36868.0
2021-04-12,4730.0,40593.57142857143
2021-04-13,4767.285714285715,44690.71428571428
2021-04-14,4794.0,46791.71428571428
2021-04-15,4890.714285714285,46820.28571428572
2021-04-16,4900.142857142857,46882.71428571428
2021-04-17,4907.571428571428,46979.142857142855
2021-04-18,4884.285714285715,47109.57142857143
2021-04-19,5038.142857142857,47274.0
2021-04-20,5119.285714285715,47472.28571428572
2021-04-21,5305.714285714285,48394.57142857143
2021-04-22,5422.571428571428,50040.71428571428
2021-04-23,5488.571428571428,51357.71428571428
2021-04-24,5560.857142857143,52345.42857142857
2021-04-25,5694.0,53003.857142857145
2021-04-26,5620.285714285715,53333.0
2021-04-27,5573.571428571428,53333.0
2021-04-28,5436.714285714285,53333.0
2021-04-29,5407.142857142857,55196.57142857143
2021-04-30,5353.285714285715,58923.57142857143
2021-05-01,5245.0,64514.142857142855
2021-05-02,5071.857142857143,71968.14285714286
2021-05-03,4900.857142857143,81285.71428571429
2021-05-04,4813.428571428572,92466.71428571429
2021-05-05,4654.857142857143,106278.71428571429
2021-05-06,4486.285714285715,118748.42857142857
2021-05-07,4303.142857142857,127973.85714285714
2021-05-08,4186.857142857143,133955.0
