date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-01,1115.142857142857,305.14285714285717
2021-03-02,1108.0,277.85714285714283
2021-03-03,1112.857142857143,235.0
2021-03-04,1105.7142857142858,187.28571428571428
2021-03-05,1138.142857142857,145.42857142857142
2021-03-06,1160.142857142857,113.14285714285714
2021-03-07,1172.5714285714287,88.14285714285714
2021-03-08,1204.5714285714287,68.57142857142857
2021-03-09,1224.142857142857,52.57142857142857
2021-03-10,1344.5714285714287,62.57142857142857
2021-03-11,1493.5714285714287,116.14285714285714
2021-03-12,1591.7142857142858,235.0
2021-03-13,1645.2857142857142,395.85714285714283
2021-03-14,1683.142857142857,590.1428571428571
2021-03-15,1729.0,791.2857142857143
2021-03-16,1710.142857142857,1013.5714285714286
2021-03-17,1650.5714285714287,1216.0
2021-03-18,1623.2857142857142,1355.2857142857142
2021-03-19,1696.4285714285713,1372.4285714285713
2021-03-20,1809.4285714285713,1305.2857142857142
2021-03-21,1843.7142857142858,1168.4285714285713
2021-03-22,1932.4285714285713,1015.2857142857143
2021-03-23,2015.4285714285713,908.0
2021-03-24,2099.714285714286,901.8571428571429
2021-03-25,2112.4285714285716,1033.0
2021-03-26,2133.5714285714284,1323.0
2021-03-27,2029.5714285714287,1703.2857142857142
2021-03-28,2029.2857142857142,2138.1428571428573
2021-03-29,1999.7142857142858,2649.1428571428573
2021-03-30,2076.1428571428573,3057.0
2021-03-31,2044.7142857142858,3275.8571428571427
2021-04-01,2079.4285714285716,3263.285714285714
2021-04-02,1977.7142857142858,3049.4285714285716
2021-04-03,1939.7142857142858,2742.4285714285716
2021-04-04,1883.142857142857,2396.8571428571427
2021-04-05,1828.0,1926.7142857142858
2021-04-06,1793.142857142857,1458.7142857142858
2021-04-07,1748.2857142857142,1080.857142857143
2021-04-08,1720.7142857142858,866.1428571428571
2021-04-09,1778.4285714285713,799.5714285714286
2021-04-10,1902.4285714285713,817.4285714285714
2021-04-11,2036.5714285714287,889.2857142857143
2021-04-12,2050.285714285714,1101.7142857142858
2021-04-13,2012.142857142857,1506.0
2021-04-14,2125.5714285714284,2043.5714285714287
2021-04-15,2200.714285714286,2640.714285714286
2021-04-16,2149.285714285714,3255.1428571428573
2021-04-17,2133.285714285714,3812.5714285714284
2021-04-18,2094.8571428571427,4308.0
2021-04-19,2088.4285714285716,4676.714285714285
2021-04-20,2124.714285714286,4763.142857142857
2021-04-21,2128.714285714286,4590.0
2021-04-22,2129.285714285714,4202.714285714285
2021-04-23,2220.714285714286,3666.285714285714
2021-04-24,2264.8571428571427,3127.5714285714284
2021-04-25,2332.5714285714284,2611.5714285714284
2021-04-26,2418.8571428571427,2108.1428571428573
2021-04-27,2416.714285714286,1790.142857142857
2021-04-28,2415.714285714286,1710.857142857143
2021-04-29,2395.4285714285716,1908.7142857142858
2021-04-30,2352.0,2333.0
2021-05-01,2354.714285714286,2786.0
2021-05-02,2277.5714285714284,3251.8571428571427
2021-05-03,2246.714285714286,3883.1428571428573
2021-05-04,2208.714285714286,4501.571428571428
2021-05-05,2157.1428571428573,5011.0
2021-05-06,2121.8571428571427,5286.857142857143
2021-05-07,2114.8571428571427,5371.571428571428
2021-05-08,2096.4285714285716,5456.142857142857
2021-05-09,2165.1428571428573,5538.571428571428
2021-05-10,2183.285714285714,5575.857142857143
