date,moving_average_new_cases,moving_average_new_vaccinations
2021-04-06,2264.285714285714,5015.0
2021-04-07,2367.5714285714284,5208.0
2021-04-08,2422.4285714285716,5421.428571428572
2021-04-09,2498.285714285714,5850.571428571428
2021-04-10,2522.5714285714284,6264.571428571428
2021-04-11,2501.285714285714,6717.714285714285
2021-04-12,2419.714285714286,7020.714285714285
2021-04-13,2438.0,7183.428571428572
2021-04-14,2340.5714285714284,7104.571428571428
2021-04-15,2233.5714285714284,6794.285714285715
2021-04-16,2066.8571428571427,6277.285714285715
2021-04-17,1974.857142857143,5815.142857142857
2021-04-18,1991.4285714285713,5369.428571428572
2021-04-19,1813.2857142857142,4979.142857142857
2021-04-20,1637.142857142857,4596.714285714285
2021-04-21,1653.4285714285713,4330.714285714285
2021-04-22,1628.4285714285713,4203.571428571428
2021-04-23,1619.142857142857,4203.714285714285
2021-04-24,1571.4285714285713,4218.142857142857
2021-04-25,1503.0,4671.285714285715
2021-04-26,1463.7142857142858,5368.571428571428
2021-04-27,1399.5714285714287,6451.142857142857
2021-04-28,1312.2857142857142,7881.142857142857
2021-04-29,1217.4285714285713,9672.0
2021-04-30,1131.5714285714287,11729.285714285714
2021-05-01,1048.857142857143,14221.57142857143
2021-05-02,981.0,16283.57142857143
2021-05-03,952.2857142857143,18078.0
2021-05-04,878.7142857142857,19528.714285714286
2021-05-05,779.2857142857143,20635.85714285714
2021-05-06,740.8571428571429,20974.0
2021-05-07,683.7142857142857,20600.428571428572
2021-05-08,640.5714285714286,19379.85714285714
2021-05-09,615.8571428571429,17752.428571428572
2021-05-10,587.5714285714286,15718.142857142857
2021-05-11,578.0,13277.142857142857
2021-05-12,550.8571428571429,10429.285714285714
2021-05-13,504.85714285714283,7950.714285714285
2021-05-14,411.85714285714283,5841.428571428572
2021-05-15,371.14285714285717,4103.714285714285
2021-05-16,317.2857142857143,2737.714285714286
2021-05-17,296.57142857142856,1780.4285714285713
2021-05-18,260.7142857142857,1238.4285714285713
2021-05-19,221.42857142857142,1089.2857142857142
2021-05-20,180.28571428571428,1045.142857142857
2021-05-21,212.42857142857142,1084.2857142857142
2021-05-22,203.42857142857142,1202.142857142857
2021-05-23,220.42857142857142,1398.7142857142858
2021-05-24,228.0,1599.7142857142858
2021-05-25,243.42857142857142,1791.857142857143
2021-05-26,286.7142857142857,2020.142857142857
2021-05-27,323.2857142857143,2487.1428571428573
2021-05-28,345.42857142857144,3005.1428571428573
2021-05-29,371.57142857142856,3576.285714285714
2021-05-30,376.7142857142857,4249.142857142857
2021-05-31,375.0,5061.0
2021-06-01,367.42857142857144,6135.571428571428
2021-06-02,342.57142857142856,7473.571428571428
2021-06-03,320.14285714285717,8501.285714285714
2021-06-04,308.2857142857143,9628.42857142857
2021-06-05,296.42857142857144,10530.142857142857
2021-06-06,287.85714285714283,11240.0
2021-06-07,282.57142857142856,11758.0
2021-06-08,269.0,11849.714285714286
2021-06-09,258.85714285714283,11468.857142857143
2021-06-10,250.57142857142858,10867.285714285714
2021-06-11,240.71428571428572,9875.42857142857
2021-06-12,226.42857142857142,9143.42857142857
2021-06-13,222.71428571428572,8320.285714285714
2021-06-14,215.42857142857142,7563.571428571428
2021-06-15,208.14285714285714,7025.142857142857
2021-06-16,200.57142857142858,6728.142857142857
2021-06-17,196.28571428571428,6719.0
2021-06-18,188.0,6967.142857142857
2021-06-19,181.42857142857142,7147.285714285715
2021-06-20,170.42857142857142,7673.857142857143
2021-06-21,162.71428571428572,8231.857142857143
2021-06-22,160.14285714285714,8951.285714285714
2021-06-23,152.42857142857142,9843.714285714286
2021-06-24,146.71428571428572,10906.57142857143
2021-06-25,147.14285714285714,12104.285714285714
2021-06-26,145.85714285714286,13066.142857142857
2021-06-27,147.85714285714286,13642.714285714286
2021-06-28,149.71428571428572,14306.57142857143
2021-06-29,148.57142857142858,14646.142857142857
2021-06-30,142.71428571428572,14567.285714285714
2021-07-01,139.42857142857142,14018.142857142857
2021-07-02,132.0,13057.857142857143
2021-07-03,127.0,12237.714285714286
2021-07-04,121.71428571428571,11567.0
2021-07-05,121.14285714285714,10620.57142857143
2021-07-06,117.28571428571429,9645.142857142857
2021-07-07,109.42857142857143,8759.285714285714
2021-07-08,100.28571428571429,8058.571428571428
2021-07-09,96.85714285714286,7557.142857142857
2021-07-10,91.42857142857143,7090.857142857143
2021-07-11,87.85714285714286,6643.428571428572
2021-07-12,84.71428571428571,6296.285714285715
2021-07-13,78.85714285714286,6067.142857142857
2021-07-14,77.85714285714286,5921.142857142857
2021-07-15,77.14285714285714,5790.0
2021-07-16,76.85714285714286,5648.142857142857
