date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-13,119.57142857142857,14291.142857142857
2021-01-14,127.71428571428571,14622.714285714286
2021-01-15,136.42857142857142,15020.57142857143
2021-01-16,147.28571428571428,15484.857142857143
2021-01-17,151.57142857142858,15771.714285714286
2021-01-18,160.0,15927.285714285714
2021-01-19,164.28571428571428,15975.0
2021-01-20,175.57142857142858,15928.142857142857
2021-01-21,184.57142857142858,15753.57142857143
2021-01-22,190.71428571428572,15451.285714285714
2021-01-23,196.42857142857142,15021.0
2021-01-24,204.57142857142858,14514.714285714286
2021-01-25,206.0,13932.57142857143
2021-01-26,212.14285714285714,13274.42857142857
2021-01-27,211.71428571428572,12540.285714285714
2021-01-28,208.57142857142858,11730.142857142857
2021-01-29,214.42857142857142,10844.0
2021-01-30,222.14285714285714,9882.0
2021-01-31,232.57142857142858,8921.857142857143
2021-02-01,243.28571428571428,7963.428571428572
2021-02-02,249.28571428571428,7006.857142857143
2021-02-03,261.7142857142857,6052.0
2021-02-04,274.57142857142856,5099.0
2021-02-05,281.7142857142857,4147.714285714285
2021-02-06,290.2857142857143,3198.285714285714
2021-02-07,306.85714285714283,2384.4285714285716
2021-02-08,314.85714285714283,1706.2857142857142
2021-02-09,329.2857142857143,1163.7142857142858
2021-02-10,335.42857142857144,756.8571428571429
2021-02-11,344.42857142857144,495.2857142857143
2021-02-12,353.14285714285717,379.14285714285717
2021-02-13,356.85714285714283,408.14285714285717
2021-02-14,349.85714285714283,592.0
2021-02-15,350.57142857142856,930.7142857142857
2021-02-16,344.57142857142856,1659.142857142857
2021-02-17,340.14285714285717,2777.4285714285716
2021-02-18,335.14285714285717,4273.571428571428
2021-02-19,329.85714285714283,6147.571428571428
2021-02-20,327.57142857142856,8399.714285714286
2021-02-21,325.85714285714283,10739.42857142857
2021-02-22,324.85714285714283,13166.714285714286
2021-02-23,326.7142857142857,15203.142857142857
2021-02-24,328.57142857142856,16848.714285714286
2021-02-25,331.2857142857143,18662.0
2021-02-26,335.42857142857144,20643.0
2021-02-27,336.7142857142857,22791.571428571428
2021-02-28,338.57142857142856,25362.0
2021-03-01,339.57142857142856,28354.428571428572
2021-03-02,338.14285714285717,33357.857142857145
2021-03-03,333.42857142857144,39799.71428571428
2021-03-04,330.2857142857143,46559.71428571428
2021-03-05,333.0,53476.857142857145
2021-03-06,338.42857142857144,59571.42857142857
2021-03-07,344.7142857142857,64625.42857142857
2021-03-08,349.7142857142857,71052.14285714286
2021-03-09,354.57142857142856,75121.28571428571
