date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-15,2023.5714285714287,1620.7142857142858
2021-01-16,1956.857142857143,1840.2857142857142
2021-01-17,1903.142857142857,2126.4285714285716
2021-01-18,1834.857142857143,2407.1428571428573
2021-01-19,1761.2857142857142,2707.5714285714284
2021-01-20,1696.4285714285713,3038.0
2021-01-21,1607.7142857142858,4134.0
2021-01-22,1574.4285714285713,5799.571428571428
2021-01-23,1568.4285714285713,8199.285714285714
2021-01-24,1581.2857142857142,11553.42857142857
2021-01-25,1581.4285714285713,15562.857142857143
2021-01-26,1573.5714285714287,20722.571428571428
2021-01-27,1629.5714285714287,26611.0
2021-01-28,1657.142857142857,31713.571428571428
2021-01-29,1649.142857142857,36078.57142857143
2021-01-30,1650.2857142857142,38887.28571428572
2021-01-31,1658.857142857143,39962.42857142857
2021-02-01,1665.7142857142858,39945.57142857143
2021-02-02,1696.5714285714287,37846.71428571428
2021-02-03,1671.2857142857142,34471.28571428572
2021-02-04,1684.5714285714287,30566.285714285714
2021-02-05,1723.2857142857142,26414.571428571428
2021-02-06,1759.142857142857,22942.85714285714
2021-02-07,1779.2857142857142,19844.85714285714
2021-02-08,1802.5714285714287,17393.714285714286
2021-02-09,1834.142857142857,16084.42857142857
2021-02-10,1850.0,15570.57142857143
2021-02-11,1872.2857142857142,17325.428571428572
2021-02-12,1891.857142857143,21209.14285714286
2021-02-13,1886.142857142857,26646.85714285714
2021-02-14,1877.2857142857142,33901.71428571428
2021-02-15,1856.857142857143,40958.28571428572
2021-02-16,1767.0,47816.42857142857
2021-02-17,1737.857142857143,54438.857142857145
2021-02-18,1792.0,58043.0
2021-02-19,1872.142857142857,58591.42857142857
2021-02-20,1972.7142857142858,56834.0
2021-02-21,2089.8571428571427,52770.857142857145
2021-02-22,2251.5714285714284,48650.857142857145
2021-02-23,2483.714285714286,44474.142857142855
2021-02-24,2690.4285714285716,40415.57142857143
2021-02-25,2832.285714285714,37592.0
2021-02-26,2979.0,35698.71428571428
2021-02-27,3080.0,34738.0
2021-02-28,3189.714285714286,33968.28571428572
2021-03-01,3231.285714285714,33180.42857142857
2021-03-02,3304.5714285714284,32321.0
2021-03-03,3433.1428571428573,31081.85714285714
2021-03-04,3518.285714285714,30092.0
2021-03-05,3558.0,29962.428571428572
2021-03-06,3662.5714285714284,29550.285714285714
2021-03-07,3706.714285714286,29726.428571428572
2021-03-08,3740.0,30320.14285714286
2021-03-09,3828.8571428571427,31280.0
2021-03-10,3888.714285714286,32628.571428571428
2021-03-11,3965.0,33633.57142857143
2021-03-12,4069.1428571428573,34713.42857142857
2021-03-13,4154.428571428572,36551.42857142857
2021-03-14,4236.285714285715,39444.142857142855
2021-03-15,4405.428571428572,41512.28571428572
2021-03-16,4483.0,42599.0
2021-03-17,4572.285714285715,43142.857142857145
2021-03-18,4694.571428571428,43844.42857142857
2021-03-19,4801.857142857143,43552.142857142855
2021-03-20,4892.857142857143,41501.0
2021-03-21,4977.857142857143,37538.857142857145
2021-03-22,4978.714285714285,33520.28571428572
2021-03-23,4998.0,30511.14285714286
2021-03-24,5037.142857142857,28062.714285714286
2021-03-25,5015.857142857143,25315.571428571428
2021-03-26,4998.714285714285,22397.714285714286
2021-03-27,4987.285714285715,21033.714285714286
2021-03-28,4960.142857142857,20862.571428571428
2021-03-29,4911.142857142857,21980.85714285714
2021-03-30,4874.428571428572,23200.285714285714
2021-03-31,4873.857142857143,23987.571428571428
2021-04-01,4846.714285714285,25545.0
2021-04-02,4787.285714285715,27947.14285714286
2021-04-03,4730.285714285715,30024.714285714286
2021-04-04,4678.285714285715,31865.14285714286
2021-04-05,4594.714285714285,32438.285714285714
2021-04-06,4479.571428571428,32244.428571428572
2021-04-07,4326.285714285715,33061.28571428572
2021-04-08,4113.142857142857,34012.142857142855
2021-04-09,3943.8571428571427,35546.0
2021-04-10,3740.8571428571427,37517.142857142855
2021-04-11,3587.285714285714,39477.28571428572
2021-04-12,3505.5714285714284,41871.28571428572
2021-04-13,3399.714285714286,44467.0
2021-04-14,3281.714285714286,45532.28571428572
2021-04-15,3215.8571428571427,45240.71428571428
2021-04-16,3122.4285714285716,43028.142857142855
2021-04-17,3042.5714285714284,39641.857142857145
2021-04-18,2974.714285714286,35985.57142857143
2021-04-19,2880.0,32308.285714285714
2021-04-20,2828.4285714285716,28726.0
2021-04-21,2741.714285714286,25847.14285714286
2021-04-22,2700.285714285714,23757.85714285714
2021-04-23,2664.285714285714,22645.14285714286
2021-04-24,2598.285714285714,23173.285714285714
2021-04-25,2524.714285714286,23874.714285714286
2021-04-26,2471.285714285714,24383.0
2021-04-27,2383.1428571428573,25860.714285714286
2021-04-28,2266.0,28307.85714285714
2021-04-29,2162.285714285714,30948.428571428572
2021-04-30,2060.5714285714284,34427.0
2021-05-01,1950.4285714285713,35952.57142857143
2021-05-02,1851.2857142857142,37334.28571428572
2021-05-03,1750.4285714285713,39860.0
2021-05-04,1645.0,41204.71428571428
2021-05-05,1524.857142857143,41368.28571428572
2021-05-06,1419.7142857142858,40691.28571428572
2021-05-07,1328.142857142857,39075.42857142857
2021-05-08,1280.142857142857,38825.28571428572
2021-05-09,1234.7142857142858,39011.0
2021-05-10,1212.5714285714287,37730.0
2021-05-11,1165.2857142857142,36492.857142857145
2021-05-12,1139.7142857142858,35299.57142857143
2021-05-13,1088.857142857143,34961.42857142857
2021-05-14,1022.4285714285714,34690.71428571428
2021-05-15,952.4285714285714,34172.71428571428
2021-05-16,902.2857142857143,33507.0
2021-05-17,864.2857142857143,33619.142857142855
2021-05-18,815.2857142857143,34088.71428571428
2021-05-19,752.5714285714286,35011.28571428572
2021-05-20,690.1428571428571,35547.57142857143
2021-05-21,640.0,36091.57142857143
2021-05-22,583.4285714285714,36080.57142857143
2021-05-23,540.4285714285714,35920.857142857145
2021-05-24,497.2857142857143,35638.0
2021-05-25,468.85714285714283,35017.71428571428
2021-05-26,430.0,33854.0
2021-05-27,398.2857142857143,33079.57142857143
2021-05-28,366.2857142857143,32632.0
2021-05-29,357.57142857142856,33117.28571428572
2021-05-30,339.0,34162.28571428572
2021-05-31,326.42857142857144,35029.0
2021-06-01,308.14285714285717,36014.42857142857
2021-06-02,281.85714285714283,37244.57142857143
2021-06-03,267.57142857142856,38437.57142857143
2021-06-04,252.14285714285714,39162.42857142857
2021-06-05,235.0,39116.0
2021-06-06,216.57142857142858,38356.857142857145
2021-06-07,207.71428571428572,37467.42857142857
2021-06-08,195.42857142857142,36437.28571428572
2021-06-09,193.14285714285714,35251.0
2021-06-10,180.42857142857142,33277.71428571428
2021-06-11,179.28571428571428,31567.0
2021-06-12,173.85714285714286,30119.0
2021-06-13,170.14285714285714,28785.285714285714
2021-06-14,173.28571428571428,27568.14285714286
2021-06-15,167.85714285714286,26467.714285714286
2021-06-16,156.14285714285714,25484.0
2021-06-17,150.71428571428572,25034.714285714286
2021-06-18,140.0,24607.714285714286
2021-06-19,138.57142857142858,24203.14285714286
2021-06-20,134.28571428571428,23942.285714285714
2021-06-21,123.14285714285714,23546.714285714286
2021-06-22,118.0,23016.285714285714
2021-06-23,109.42857142857143,22351.0
2021-06-24,101.28571428571429,21482.714285714286
2021-06-25,93.42857142857143,20323.428571428572
2021-06-26,81.14285714285714,18872.85714285714
2021-06-27,77.85714285714286,17099.714285714286
2021-06-28,78.28571428571429,15561.0
2021-06-29,77.71428571428571,14256.714285714286
2021-06-30,77.85714285714286,13186.857142857143
2021-07-01,78.0,12351.42857142857
2021-07-02,78.14285714285714,11794.42857142857
2021-07-03,77.85714285714286,11516.0
2021-07-04,79.71428571428571,11516.0
2021-07-05,81.71428571428571,11516.0
2021-07-06,85.42857142857143,11485.714285714286
2021-07-07,90.71428571428571,11425.142857142857
2021-07-08,90.57142857142857,11334.285714285714
2021-07-09,92.85714285714286,11213.285714285714
2021-07-10,98.0,11062.0
2021-07-11,97.71428571428571,10880.42857142857
2021-07-12,96.57142857142857,10668.57142857143
2021-07-13,97.71428571428571,10487.0
2021-07-14,102.71428571428571,10335.714285714286
2021-07-15,105.85714285714286,10172.285714285714
2021-07-16,114.28571428571429,9996.57142857143
2021-07-17,128.0,9774.0
2021-07-18,140.71428571428572,9504.42857142857
2021-07-19,148.71428571428572,9188.0
2021-07-20,164.28571428571428,8843.857142857143
2021-07-21,170.57142857142858,8472.0
2021-07-22,185.28571428571428,8157.285714285715
2021-07-23,195.57142857142858,7915.0
2021-07-24,195.0,7678.285714285715
2021-07-25,206.85714285714286,7447.428571428572
2021-07-26,217.42857142857142,7222.142857142857
2021-07-27,219.42857142857142,7027.0
2021-07-28,233.85714285714286,6862.0
2021-07-29,248.71428571428572,6696.142857142857
2021-07-30,257.85714285714283,6639.142857142857
2021-07-31,279.42857142857144,6707.428571428572
2021-08-01,286.42857142857144,6869.0
2021-08-02,301.2857142857143,7124.0
2021-08-03,322.0,7275.0
2021-08-04,341.14285714285717,7379.142857142857
2021-08-05,363.2857142857143,7439.428571428572
2021-08-06,404.2857142857143,7157.857142857143
2021-08-07,434.42857142857144,6872.857142857143
2021-08-08,475.2857142857143,6626.571428571428
2021-08-09,497.2857142857143,6482.0
2021-08-10,549.5714285714286,6525.285714285715
2021-08-11,602.1428571428571,6649.142857142857
2021-08-12,664.1428571428571,6815.0
2021-08-13,721.8571428571429,7224.571428571428
2021-08-14,794.4285714285714,7489.857142857143
2021-08-15,854.5714285714286,7622.428571428572
2021-08-16,906.0,7594.285714285715
2021-08-17,982.5714285714286,7495.571428571428
2021-08-18,1081.4285714285713,7335.714285714285
2021-08-19,1163.7142857142858,7264.571428571428
2021-08-20,1259.857142857143,7215.428571428572
2021-08-21,1334.142857142857,7425.571428571428
2021-08-22,1406.2857142857142,7873.285714285715
2021-08-23,1467.0,8698.285714285714
2021-08-24,1545.4285714285713,9846.714285714286
2021-08-25,1650.0,11388.285714285714
2021-08-26,1768.5714285714287,13083.57142857143
2021-08-27,1882.5714285714287,14899.42857142857
2021-08-28,2002.857142857143,16733.428571428572
2021-08-29,2117.714285714286,18277.14285714286
2021-08-30,2186.285714285714,19625.285714285714
2021-08-31,2257.4285714285716,20637.14285714286
