date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-03,6353.142857142857,1111.4285714285713
2021-03-04,6353.142857142857,1170.4285714285713
2021-03-05,6353.142857142857,1223.142857142857
2021-03-06,6353.142857142857,1364.7142857142858
2021-03-07,7910.857142857143,1560.2857142857142
2021-03-08,7910.857142857143,1714.7142857142858
2021-03-09,7910.857142857143,1893.0
2021-03-10,7910.857142857143,2105.285714285714
2021-03-11,7910.857142857143,2403.4285714285716
2021-03-12,7910.857142857143,2792.714285714286
2021-03-13,7910.857142857143,3205.0
2021-03-14,8576.857142857143,3621.4285714285716
2021-03-15,8576.857142857143,4208.285714285715
2021-03-16,8576.857142857143,4858.285714285715
2021-03-17,8576.857142857143,5522.857142857143
2021-03-18,8576.857142857143,6109.0
2021-03-19,8576.857142857143,6619.571428571428
2021-03-20,8576.857142857143,7090.571428571428
2021-03-21,11477.0,7553.0
2021-03-22,11477.0,7897.428571428572
2021-03-23,11477.0,8237.42857142857
2021-03-24,11477.0,8675.285714285714
2021-03-25,11477.0,9229.142857142857
2021-03-26,11477.0,9864.285714285714
2021-03-27,11477.0,10505.0
2021-03-28,14931.714285714286,11108.42857142857
2021-03-29,14931.714285714286,11743.714285714286
2021-03-30,14931.714285714286,12344.57142857143
2021-03-31,14931.714285714286,12738.857142857143
2021-04-01,14931.714285714286,12981.57142857143
2021-04-02,14931.714285714286,13113.42857142857
2021-04-03,14931.714285714286,13217.857142857143
2021-04-04,14782.714285714286,13338.714285714286
2021-04-05,14782.714285714286,13355.285714285714
2021-04-06,14782.714285714286,13236.0
2021-04-07,14782.714285714286,13086.857142857143
2021-04-08,14782.714285714286,12919.714285714286
2021-04-09,14782.714285714286,12756.0
2021-04-10,14782.714285714286,12609.0
2021-04-11,15031.0,12467.857142857143
2021-04-12,15031.0,12303.42857142857
2021-04-13,15031.0,12193.142857142857
2021-04-14,15031.0,12170.285714285714
2021-04-15,15031.0,12055.142857142857
2021-04-16,15031.0,11779.57142857143
2021-04-17,15031.0,11486.857142857143
2021-04-18,13130.142857142857,11199.857142857143
2021-04-19,13130.142857142857,11009.285714285714
2021-04-20,13130.142857142857,10825.285714285714
2021-04-21,13130.142857142857,10577.57142857143
2021-04-22,13130.142857142857,10486.857142857143
2021-04-23,13130.142857142857,10561.714285714286
2021-04-24,13130.142857142857,10675.57142857143
2021-04-25,11045.285714285714,10777.714285714286
2021-04-26,11045.285714285714,10817.57142857143
2021-04-27,11045.285714285714,10952.42857142857
2021-04-28,11045.285714285714,12273.42857142857
2021-04-29,11045.285714285714,14707.857142857143
2021-04-30,11045.285714285714,17843.428571428572
2021-05-01,11045.285714285714,20916.428571428572
2021-05-02,7943.571428571428,23977.14285714286
2021-05-03,7943.571428571428,26851.285714285714
2021-05-04,7943.571428571428,29302.85714285714
2021-05-05,7943.571428571428,29664.571428571428
2021-05-06,7943.571428571428,28136.285714285714
2021-05-07,7943.571428571428,25595.85714285714
2021-05-08,7943.571428571428,23138.14285714286
2021-05-09,5276.0,20716.428571428572
2021-05-10,5276.0,18528.571428571428
2021-05-11,5276.0,16973.428571428572
2021-05-12,5276.0,16272.714285714286
2021-05-13,5276.0,15960.285714285714
2021-05-14,5276.0,15679.285714285714
2021-05-15,5276.0,15380.714285714286
2021-05-16,4735.142857142857,15090.285714285714
2021-05-17,4735.142857142857,15080.714285714286
2021-05-18,4735.142857142857,14785.142857142857
2021-05-19,4735.142857142857,14523.57142857143
2021-05-20,4735.142857142857,14541.714285714286
2021-05-21,4735.142857142857,14689.42857142857
2021-05-22,4735.142857142857,14755.857142857143
2021-05-23,3977.1428571428573,14778.714285714286
2021-05-24,3977.1428571428573,14430.0
2021-05-25,3977.1428571428573,14009.285714285714
2021-05-26,3977.1428571428573,13581.0
2021-05-27,3977.1428571428573,13153.857142857143
2021-05-28,3977.1428571428573,12834.57142857143
2021-05-29,3977.1428571428573,12673.42857142857
2021-05-30,2803.714285714286,12629.714285714286
2021-05-31,2803.714285714286,12648.285714285714
2021-06-01,2803.714285714286,12773.0
2021-06-02,2803.714285714286,13350.0
2021-06-03,2803.714285714286,14685.42857142857
2021-06-04,2803.714285714286,16865.714285714286
2021-06-05,2803.714285714286,19585.14285714286
2021-06-06,1653.0,22587.14285714286
2021-06-07,1653.0,26290.0
2021-06-08,1653.0,30641.428571428572
2021-06-09,1653.0,35028.42857142857
2021-06-10,1653.0,38781.71428571428
2021-06-11,1653.0,41800.142857142855
2021-06-12,1653.0,44068.857142857145
2021-06-13,1339.0,45902.142857142855
2021-06-14,1339.0,47075.71428571428
2021-06-15,1339.0,47742.142857142855
2021-06-16,1339.0,48406.0
2021-06-17,1339.0,49557.42857142857
2021-06-18,1339.0,50717.42857142857
2021-06-19,1339.0,51795.0
2021-06-20,801.2857142857143,52562.71428571428
2021-06-21,801.2857142857143,52453.142857142855
2021-06-22,801.2857142857143,51971.42857142857
2021-06-23,801.2857142857143,51131.0
2021-06-24,801.2857142857143,50026.857142857145
2021-06-25,801.2857142857143,49432.71428571428
2021-06-26,801.2857142857143,49396.28571428572
2021-06-27,622.8571428571429,50014.28571428572
2021-06-28,622.8571428571429,51636.142857142855
2021-06-29,622.8571428571429,54006.142857142855
2021-06-30,622.8571428571429,56577.57142857143
2021-07-01,622.8571428571429,58747.42857142857
2021-07-02,622.8571428571429,60251.71428571428
2021-07-03,622.8571428571429,61289.42857142857
2021-07-04,489.85714285714283,62153.57142857143
2021-07-05,489.85714285714283,63998.71428571428
2021-07-06,489.85714285714283,65518.57142857143
2021-07-07,489.85714285714283,67002.42857142857
2021-07-08,489.85714285714283,68964.28571428571
2021-07-09,489.85714285714283,71389.28571428571
2021-07-10,489.85714285714283,73982.71428571429
2021-07-11,507.2857142857143,76499.85714285714
2021-07-12,507.2857142857143,78073.57142857143
2021-07-13,507.2857142857143,79561.14285714286
2021-07-14,507.2857142857143,80897.42857142857
2021-07-15,507.2857142857143,82029.71428571429
2021-07-16,507.2857142857143,82680.0
2021-07-17,507.2857142857143,83425.71428571429
2021-07-18,471.57142857142856,84351.42857142857
2021-07-19,471.57142857142856,85030.14285714286
2021-07-20,471.57142857142856,85526.57142857143
2021-07-21,471.57142857142856,86170.85714285714
2021-07-22,471.57142857142856,87098.0
2021-07-23,471.57142857142856,88944.14285714286
2021-07-24,471.57142857142856,91055.71428571429
2021-07-25,593.4285714285714,93189.14285714286
2021-07-26,593.4285714285714,96286.71428571429
2021-07-27,593.4285714285714,100293.71428571429
2021-07-28,593.4285714285714,104556.42857142857
2021-07-29,593.4285714285714,108589.42857142857
2021-07-30,593.4285714285714,111722.0
2021-07-31,593.4285714285714,114360.57142857143
2021-08-01,672.1428571428571,116532.57142857143
2021-08-02,672.1428571428571,117765.57142857143
2021-08-03,672.1428571428571,118317.0
2021-08-04,672.1428571428571,118691.28571428571
2021-08-05,672.1428571428571,119194.42857142857
2021-08-06,672.1428571428571,120169.42857142857
2021-08-07,672.1428571428571,121420.71428571429
2021-08-08,845.8571428571429,123168.71428571429
2021-08-09,845.8571428571429,125238.71428571429
2021-08-10,845.8571428571429,127400.42857142857
2021-08-11,845.8571428571429,129312.14285714286
2021-08-12,845.8571428571429,130791.14285714286
2021-08-13,845.8571428571429,131671.42857142858
2021-08-14,845.8571428571429,132280.7142857143
2021-08-15,982.7142857142857,132609.57142857142
