date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-23,1668.4285714285713,2653.714285714286
2021-02-24,1638.142857142857,3322.4285714285716
2021-02-25,1572.7142857142858,4189.285714285715
2021-02-26,1479.7142857142858,5044.428571428572
2021-02-27,1443.0,5833.428571428572
2021-02-28,1408.2857142857142,6519.0
2021-03-01,1371.0,6990.142857142857
2021-03-02,1338.7142857142858,7223.0
2021-03-03,1318.4285714285713,7245.142857142857
2021-03-04,1259.142857142857,7020.571428571428
2021-03-05,1220.2857142857142,6600.285714285715
2021-03-06,1171.5714285714287,6138.714285714285
2021-03-07,1140.142857142857,5647.0
2021-03-08,1096.4285714285713,5214.428571428572
2021-03-09,1106.7142857142858,4955.142857142857
2021-03-10,1126.0,5027.714285714285
2021-03-11,1130.2857142857142,5162.428571428572
2021-03-12,1140.2857142857142,5336.0
2021-03-13,1127.7142857142858,5534.0
2021-03-14,1172.5714285714287,5820.285714285715
2021-03-15,1193.142857142857,6169.714285714285
2021-03-16,1189.5714285714287,6561.857142857143
2021-03-17,1181.2857142857142,6443.714285714285
2021-03-18,1189.0,6306.571428571428
2021-03-19,1187.5714285714287,6158.142857142857
2021-03-20,1221.4285714285713,6082.285714285715
2021-03-21,1198.142857142857,6019.0
2021-03-22,1204.5714285714287,5973.571428571428
2021-03-23,1202.5714285714287,5703.0
2021-03-24,1142.142857142857,5700.285714285715
2021-03-25,1073.142857142857,5773.571428571428
2021-03-26,1086.0,5982.857142857143
2021-03-27,1093.7142857142858,6096.0
2021-03-28,1095.0,6198.857142857143
2021-03-29,1082.7142857142858,6291.571428571428
2021-03-30,1075.4285714285713,6709.428571428572
2021-03-31,1110.5714285714287,7049.714285714285
2021-04-01,1164.0,7174.571428571428
2021-04-02,1126.857142857143,6985.714285714285
2021-04-03,1092.142857142857,6843.428571428572
2021-04-04,1005.0,6607.857142857143
2021-04-05,933.2857142857143,6278.857142857143
2021-04-06,919.5714285714286,5529.571428571428
2021-04-07,874.0,4692.0
2021-04-08,778.8571428571429,3989.0
2021-04-09,789.1428571428571,3577.4285714285716
2021-04-10,788.2857142857143,3151.714285714286
2021-04-11,860.8571428571429,2795.0
2021-04-12,927.7142857142857,2507.4285714285716
2021-04-13,956.7142857142857,2496.285714285714
2021-04-14,1015.2857142857143,2477.0
2021-04-15,1135.7142857142858,2379.1428571428573
2021-04-16,1136.5714285714287,2109.0
2021-04-17,1159.0,1858.4285714285713
2021-04-18,1164.7142857142858,1600.857142857143
2021-04-19,1187.2857142857142,1336.142857142857
2021-04-20,1200.0,976.8571428571429
2021-04-21,1200.857142857143,742.1428571428571
2021-04-22,1196.5714285714287,596.2857142857143
2021-04-23,1202.4285714285713,539.5714285714286
2021-04-24,1232.857142857143,476.14285714285717
2021-04-25,1241.4285714285713,419.2857142857143
2021-04-26,1243.142857142857,369.0
2021-04-27,1258.142857142857,369.0
2021-04-28,1262.0,369.0
2021-04-29,1216.4285714285713,554.0
2021-04-30,1169.7142857142858,936.8571428571429
2021-05-01,1175.0,1333.0
2021-05-02,1210.2857142857142,1828.0
2021-05-03,1227.5714285714287,2421.8571428571427
2021-05-04,1234.4285714285713,3499.714285714286
2021-05-05,1278.2857142857142,4833.714285714285
2021-05-06,1395.857142857143,5943.857142857143
2021-05-07,1547.7142857142858,6804.571428571428
2021-05-08,1630.857142857143,7658.0
2021-05-09,1710.7142857142858,8436.285714285714
2021-05-10,1790.142857142857,9139.285714285714
2021-05-11,1823.2857142857142,9257.57142857143
2021-05-12,1874.857142857143,9189.857142857143
2021-05-13,1972.857142857143,9506.0
2021-05-14,2126.0,10110.714285714286
2021-05-15,2252.4285714285716,10767.0
2021-05-16,2332.285714285714,11275.285714285714
2021-05-17,2447.5714285714284,11629.857142857143
2021-05-18,2537.285714285714,12519.142857142857
2021-05-19,2652.5714285714284,13801.0
2021-05-20,2761.5714285714284,15039.857142857143
2021-05-21,2821.5714285714284,16568.714285714286
2021-05-22,2848.8571428571427,18070.0
2021-05-23,3061.1428571428573,19764.14285714286
2021-05-24,3105.285714285714,22594.14285714286
2021-05-25,3194.714285714286,25410.428571428572
2021-05-26,3298.8571428571427,28320.428571428572
2021-05-27,3456.1428571428573,31571.571428571428
2021-05-28,3568.0,34702.857142857145
2021-05-29,3745.714285714286,37780.42857142857
2021-05-30,3785.5714285714284,40758.57142857143
2021-05-31,3908.5714285714284,43248.857142857145
