date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-04,1506.7142857142858,149.57142857142858
2021-01-05,1535.7142857142858,195.14285714285714
2021-01-06,1573.5714285714287,277.0
2021-01-07,1624.7142857142858,542.8571428571429
2021-01-08,1669.2857142857142,1007.8571428571429
2021-01-09,1695.5714285714287,1543.4285714285713
2021-01-10,1905.0,2090.714285714286
2021-01-11,1941.0,2754.8571428571427
2021-01-12,1951.857142857143,3675.4285714285716
2021-01-13,1943.5714285714287,4890.857142857143
2021-01-14,1893.5714285714287,6241.0
2021-01-15,1858.857142857143,7690.142857142857
2021-01-16,1889.5714285714287,9112.42857142857
2021-01-17,1908.857142857143,10582.57142857143
2021-01-18,1885.7142857142858,12050.285714285714
2021-01-19,1869.7142857142858,13295.142857142857
2021-01-20,1882.4285714285713,14169.857142857143
2021-01-21,1892.0,14876.857142857143
2021-01-22,1944.2857142857142,15425.714285714286
2021-01-23,1979.0,16001.714285714286
2021-01-24,2043.857142857143,16493.0
2021-01-25,2074.714285714286,16874.571428571428
2021-01-26,2089.0,17054.0
2021-01-27,2139.0,17137.714285714286
2021-01-28,2191.1428571428573,16951.85714285714
2021-01-29,2205.0,16460.85714285714
2021-01-30,2244.4285714285716,15822.285714285714
2021-01-31,2303.8571428571427,15191.857142857143
2021-02-01,2331.714285714286,14487.142857142857
2021-02-02,2338.5714285714284,14157.142857142857
2021-02-03,2340.8571428571427,14218.857142857143
2021-02-04,2327.1428571428573,14626.285714285714
2021-02-05,2303.8571428571427,15399.285714285714
2021-02-06,2277.714285714286,16294.142857142857
2021-02-07,2202.0,17258.285714285714
2021-02-08,2159.8571428571427,18340.428571428572
2021-02-09,2124.1428571428573,19249.85714285714
2021-02-10,2015.2857142857142,19760.285714285714
2021-02-11,1943.5714285714287,20101.714285714286
2021-02-12,1909.7142857142858,20330.14285714286
2021-02-13,1865.0,20562.85714285714
2021-02-14,1806.142857142857,20716.85714285714
2021-02-15,1787.0,20898.285714285714
2021-02-16,1786.4285714285713,20744.571428571428
2021-02-17,1812.7142857142858,20583.0
2021-02-18,1850.7142857142858,20196.285714285714
2021-02-19,1909.5714285714287,19653.285714285714
2021-02-20,1981.0,19009.285714285714
2021-02-21,2097.1428571428573,18398.85714285714
2021-02-22,2159.0,17691.571428571428
2021-02-23,2189.5714285714284,17357.428571428572
2021-02-24,2277.285714285714,17203.714285714286
2021-02-25,2354.714285714286,17312.14285714286
2021-02-26,2387.285714285714,17514.714285714286
2021-02-27,2401.0,17740.85714285714
2021-02-28,2399.4285714285716,17934.285714285714
2021-03-01,2389.714285714286,18168.428571428572
2021-03-02,2376.4285714285716,18369.0
2021-03-03,2358.714285714286,18649.14285714286
2021-03-04,2336.8571428571427,19215.428571428572
2021-03-05,2337.5714285714284,20029.285714285714
2021-03-06,2343.1428571428573,20955.0
2021-03-07,2333.285714285714,21922.571428571428
2021-03-08,2336.5714285714284,22949.0
2021-03-09,2347.285714285714,24010.0
2021-03-10,2415.0,25046.714285714286
2021-03-11,2504.285714285714,25801.428571428572
2021-03-12,2594.8571428571427,26291.14285714286
2021-03-13,2711.4285714285716,26734.14285714286
2021-03-14,2857.285714285714,27163.0
2021-03-15,2952.1428571428573,27789.14285714286
2021-03-16,3037.4285714285716,28671.428571428572
2021-03-17,3262.1428571428573,29667.714285714286
2021-03-18,3435.8571428571427,31006.14285714286
2021-03-19,3642.8571428571427,32808.857142857145
2021-03-20,3862.5714285714284,34832.42857142857
2021-03-21,4066.8571428571427,36845.857142857145
2021-03-22,4162.714285714285,38627.42857142857
2021-03-23,4190.285714285715,40070.857142857145
2021-03-24,4337.0,41569.71428571428
2021-03-25,4542.428571428572,42720.857142857145
2021-03-26,4646.428571428572,43454.57142857143
2021-03-27,4730.285714285715,43938.857142857145
2021-03-28,4810.0,44464.142857142855
2021-03-29,4840.285714285715,44760.28571428572
2021-03-30,4856.714285714285,44706.857142857145
2021-03-31,4838.0,44836.0
2021-04-01,4718.0,45343.857142857145
2021-04-02,4598.428571428572,46059.42857142857
2021-04-03,4465.142857142857,46737.28571428572
2021-04-04,4344.285714285715,47338.0
2021-04-05,4293.428571428572,47938.57142857143
2021-04-06,4268.0,49163.857142857145
2021-04-07,3612.0,49160.142857142855
2021-04-08,3621.0,49214.57142857143
2021-04-09,3623.1428571428573,50088.857142857145
2021-04-10,3591.285714285714,51975.142857142855
2021-04-11,3534.5714285714284,53986.0
2021-04-12,3486.1428571428573,56882.142857142855
2021-04-13,3456.4285714285716,59999.71428571428
2021-04-14,3909.5714285714284,64953.71428571428
2021-04-15,3769.714285714286,69070.71428571429
2021-04-16,3649.0,71267.0
2021-04-17,3555.285714285714,72265.71428571429
2021-04-18,3486.8571428571427,73229.14285714286
2021-04-19,3481.1428571428573,73745.57142857143
2021-04-20,3482.1428571428573,73285.57142857143
2021-04-21,3582.714285714286,71567.14285714286
2021-04-22,3608.1428571428573,69855.71428571429
2021-04-23,3632.0,68542.42857142857
2021-04-24,3630.5714285714284,67208.14285714286
2021-04-25,3576.4285714285716,65836.57142857143
2021-04-26,3514.5714285714284,64259.71428571428
2021-04-27,3489.714285714286,63194.57142857143
2021-04-28,3323.0,62362.28571428572
2021-04-29,3223.285714285714,62043.71428571428
2021-04-30,3135.1428571428573,62381.857142857145
2021-05-01,3070.714285714286,62980.28571428572
2021-05-02,3049.4285714285716,63519.28571428572
2021-05-03,2970.285714285714,64328.857142857145
2021-05-04,2970.1428571428573,65699.71428571429
2021-05-05,2979.1428571428573,68249.28571428571
2021-05-06,2964.285714285714,71731.14285714286
2021-05-07,2987.1428571428573,76503.85714285714
2021-05-08,3011.1428571428573,82137.85714285714
2021-05-09,2982.8571428571427,87914.71428571429
2021-05-10,3037.0,93474.14285714286
2021-05-11,2996.8571428571427,98119.28571428571
2021-05-12,2858.0,100270.28571428571
2021-05-13,2762.714285714286,100406.85714285714
2021-05-14,2648.1428571428573,98834.42857142857
2021-05-15,2280.714285714286,96331.0
2021-05-16,2175.5714285714284,93699.85714285714
2021-05-17,2110.0,91483.0
2021-05-18,2093.0,90878.85714285714
2021-05-19,2124.285714285714,92522.42857142857
2021-05-20,2162.714285714286,95621.0
2021-05-21,2207.5714285714284,98581.57142857143
2021-05-22,2416.5714285714284,101613.14285714286
2021-05-23,2397.8571428571427,104756.14285714286
2021-05-24,2423.5714285714284,106427.0
2021-05-25,2428.8571428571427,106099.85714285714
2021-05-26,2045.5714285714287,104402.14285714286
2021-05-27,1978.857142857143,101985.71428571429
2021-05-28,1895.2857142857142,99588.42857142857
2021-05-29,1867.2857142857142,97210.0
2021-05-30,1809.857142857143,94797.71428571429
2021-05-31,1764.2857142857142,94537.28571428571
2021-06-01,1739.857142857143,95024.28571428571
2021-06-02,1901.142857142857,96826.42857142857
2021-06-03,1742.7142857142858,99732.57142857143
2021-06-04,1595.0,103797.28571428571
2021-06-05,1488.2857142857142,108801.85714285714
2021-06-06,1391.7142857142858,114171.0
2021-06-07,1324.7142857142858,119333.0
2021-06-08,1295.7142857142858,125360.28571428571
2021-06-09,1182.857142857143,131036.85714285714
2021-06-10,1091.142857142857,135917.57142857142
2021-06-11,996.8571428571429,140839.0
2021-06-12,896.5714285714286,144864.2857142857
2021-06-13,815.4285714285714,148337.57142857142
2021-06-14,778.7142857142857,150525.42857142858
2021-06-15,751.4285714285714,151825.42857142858
2021-06-16,684.0,152277.57142857142
2021-06-17,611.7142857142857,152441.42857142858
2021-06-18,551.5714285714286,151673.14285714287
2021-06-19,506.7142857142857,150467.2857142857
2021-06-20,456.0,149578.85714285713
2021-06-21,439.42857142857144,148265.2857142857
2021-06-22,429.42857142857144,146036.85714285713
2021-06-23,389.0,144083.7142857143
2021-06-24,364.7142857142857,142100.2857142857
2021-06-25,361.42857142857144,139602.85714285713
2021-06-26,345.57142857142856,137239.57142857142
2021-06-27,341.85714285714283,134759.0
2021-06-28,339.85714285714283,133040.14285714287
2021-06-29,345.2857142857143,132455.85714285713
2021-06-30,361.85714285714283,130659.28571428571
2021-07-01,389.2857142857143,128099.57142857143
2021-07-02,422.2857142857143,125081.42857142857
2021-07-03,470.42857142857144,121744.85714285714
2021-07-04,517.7142857142857,117938.85714285714
2021-07-05,555.0,114094.42857142857
2021-07-06,582.0,109866.42857142857
2021-07-07,639.1428571428571,107547.28571428571
