date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-18,297.85714285714283,574.0
2021-02-19,287.42857142857144,574.0
2021-02-20,305.0,574.0
2021-02-21,343.85714285714283,574.0
2021-02-22,327.85714285714283,574.0
2021-02-23,360.2857142857143,574.0
2021-02-24,394.7142857142857,574.0
2021-02-25,424.57142857142856,574.0
2021-02-26,482.14285714285717,574.0
2021-02-27,491.7142857142857,574.0
2021-02-28,520.1428571428571,574.0
2021-03-01,545.7142857142857,574.0
2021-03-02,528.5714285714286,574.0
2021-03-03,558.8571428571429,574.0
2021-03-04,604.1428571428571,574.0
2021-03-05,626.0,574.0
2021-03-06,647.7142857142857,574.0
2021-03-07,686.8571428571429,574.0
2021-03-08,680.0,574.0
2021-03-09,704.2857142857143,574.0
2021-03-10,779.1428571428571,574.0
2021-03-11,810.0,574.0
2021-03-12,871.1428571428571,574.0
2021-03-13,949.5714285714286,574.0
2021-03-14,960.0,574.0
2021-03-15,1050.142857142857,574.0
2021-03-16,1077.142857142857,574.0
2021-03-17,1127.857142857143,574.0
2021-03-18,1215.857142857143,574.0
2021-03-19,1271.5714285714287,574.0
2021-03-20,1311.0,574.0
2021-03-21,1362.2857142857142,574.0
2021-03-22,1365.7142857142858,574.0
2021-03-23,1399.4285714285713,574.0
2021-03-24,1415.5714285714287,574.0
2021-03-25,1433.5714285714287,574.0
2021-03-26,1467.4285714285713,574.0
2021-03-27,1527.857142857143,574.0
2021-03-28,1588.7142857142858,574.0
2021-03-29,1588.857142857143,574.0
2021-03-30,1594.2857142857142,574.0
2021-03-31,1615.4285714285713,574.0
2021-04-01,1632.5714285714287,574.0
2021-04-02,1594.4285714285713,574.0
2021-04-03,1635.142857142857,574.0
2021-04-04,1567.2857142857142,574.0
2021-04-05,1549.4285714285713,574.0
2021-04-06,1518.0,574.0
2021-04-07,1407.4285714285713,574.0
2021-04-08,1374.5714285714287,574.0
2021-04-09,1358.142857142857,574.0
2021-04-10,1207.0,574.0
2021-04-11,1182.7142857142858,574.0
2021-04-12,1211.0,574.0
2021-04-13,1183.5714285714287,574.0
2021-04-14,1165.4285714285713,574.0
2021-04-15,1017.7142857142857,655.0
2021-04-16,983.4285714285714,816.8571428571429
2021-04-17,1009.5714285714286,1059.5714285714287
2021-04-18,1024.4285714285713,1383.142857142857
2021-04-19,930.4285714285714,1787.5714285714287
2021-04-20,922.2857142857143,2272.8571428571427
2021-04-21,887.4285714285714,2839.1428571428573
2021-04-22,963.2857142857143,3324.4285714285716
2021-04-23,950.8571428571429,3728.8571428571427
2021-04-24,819.8571428571429,4052.4285714285716
2021-04-25,739.2857142857143,4285.857142857143
2021-04-26,717.7142857142857,4429.285714285715
2021-04-27,688.1428571428571,4482.714285714285
2021-04-28,693.7142857142857,4446.0
2021-04-29,609.0,4400.142857142857
2021-04-30,499.2857142857143,4345.142857142857
2021-05-01,532.5714285714286,4281.0
2021-05-02,480.14285714285717,4190.142857142857
2021-05-03,449.7142857142857,4072.5714285714284
2021-05-04,458.85714285714283,3928.285714285714
2021-05-05,390.14285714285717,3757.285714285714
2021-05-06,357.7142857142857,3559.4285714285716
2021-05-07,355.2857142857143,3334.8571428571427
2021-05-08,318.85714285714283,3083.5714285714284
2021-05-09,308.14285714285717,2868.285714285714
2021-05-10,311.0,2688.8571428571427
2021-05-11,290.57142857142856,2545.285714285714
2021-05-12,292.7142857142857,2437.5714285714284
2021-05-13,273.42857142857144,2365.8571428571427
2021-05-14,235.71428571428572,2330.0
2021-05-15,207.14285714285714,2330.0
2021-05-16,189.14285714285714,2330.0
2021-05-17,186.14285714285714,2330.0
2021-05-18,181.85714285714286,2330.0
2021-05-19,166.14285714285714,2330.0
2021-05-20,150.14285714285714,2571.285714285714
2021-05-21,145.0,3053.8571428571427
2021-05-22,143.85714285714286,3777.714285714286
2021-05-23,134.28571428571428,4742.857142857143
2021-05-24,131.0,5949.428571428572
2021-05-25,128.71428571428572,7397.285714285715
2021-05-26,119.71428571428571,8908.285714285714
2021-05-27,115.85714285714286,9999.857142857143
2021-05-28,106.28571428571429,10671.857142857143
2021-05-29,98.42857142857143,10924.42857142857
2021-05-30,97.85714285714286,10757.57142857143
2021-05-31,91.71428571428571,10171.142857142857
2021-06-01,88.71428571428571,9165.285714285714
2021-06-02,82.85714285714286,8096.285714285715
2021-06-03,73.42857142857143,7205.428571428572
2021-06-04,70.0,6492.857142857143
2021-06-05,66.42857142857143,5958.428571428572
2021-06-06,60.285714285714285,5602.142857142857
2021-06-07,58.285714285714285,5424.0
2021-06-08,56.857142857142854,5424.0
2021-06-09,51.714285714285715,5424.0
2021-06-10,48.57142857142857,5424.0
2021-06-11,45.0,5469.571428571428
2021-06-12,41.857142857142854,5560.857142857143
2021-06-13,40.42857142857143,5697.857142857143
2021-06-14,39.42857142857143,5880.428571428572
2021-06-15,36.857142857142854,6108.714285714285
2021-06-16,34.57142857142857,6382.714285714285
2021-06-17,31.142857142857142,6702.428571428572
2021-06-18,32.0,6976.571428571428
2021-06-19,31.0,7205.0
2021-06-20,28.428571428571427,7387.714285714285
2021-06-21,27.0,7524.857142857143
2021-06-22,27.428571428571427,7616.285714285715
2021-06-23,27.0,7662.0
2021-06-24,25.714285714285715,7662.0
2021-06-25,20.714285714285715,8056.142857142857
2021-06-26,18.714285714285715,8319.857142857143
2021-06-27,17.857142857142858,8453.285714285714
2021-06-28,19.0,8456.285714285714
2021-06-29,18.714285714285715,8328.857142857143
2021-06-30,16.857142857142858,8071.142857142857
2021-07-01,16.0,7683.0
2021-07-02,13.714285714285714,6376.142857142857
2021-07-03,14.571428571428571,5199.714285714285
2021-07-04,13.0,4153.571428571428
2021-07-05,11.428571428571429,3237.8571428571427
2021-07-06,11.428571428571429,2622.4285714285716
2021-07-07,12.714285714285714,2307.285714285714
