date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-04,1887.857142857143,403.0
2021-01-05,1891.857142857143,403.0
2021-01-06,1814.2857142857142,403.0
2021-01-07,1799.5714285714287,403.0
2021-01-08,1787.4285714285713,403.0
2021-01-09,1768.2857142857142,403.0
2021-01-10,1749.0,403.0
2021-01-11,1748.4285714285713,403.0
2021-01-12,1737.4285714285713,403.0
2021-01-13,1802.857142857143,403.0
2021-01-14,1819.7142857142858,403.0
2021-01-15,1838.142857142857,403.0
2021-01-16,1857.5714285714287,403.0
2021-01-17,1881.2857142857142,403.0
2021-01-18,1894.2857142857142,403.0
2021-01-19,1909.5714285714287,403.0
2021-01-20,1856.0,403.0
2021-01-21,1828.2857142857142,403.0
2021-01-22,1805.0,403.0
2021-01-23,1786.7142857142858,403.0
2021-01-24,1760.2857142857142,403.0
2021-01-25,1735.7142857142858,403.0
2021-01-26,1610.7142857142858,403.0
2021-01-27,1538.0,403.0
2021-01-28,1519.857142857143,403.0
2021-01-29,1507.5714285714287,403.0
2021-01-30,1515.2857142857142,403.0
2021-01-31,1530.142857142857,403.0
2021-02-01,1532.142857142857,403.0
2021-02-02,1522.857142857143,403.0
2021-02-03,1501.7142857142858,403.0
2021-02-04,1510.2857142857142,403.0
2021-02-05,1508.857142857143,403.0
2021-02-06,1493.4285714285713,403.0
2021-02-07,1484.142857142857,403.0
2021-02-08,1479.2857142857142,403.0
2021-02-09,1457.7142857142858,403.0
2021-02-10,1438.0,403.0
2021-02-11,1450.5714285714287,403.0
2021-02-12,1448.2857142857142,403.0
2021-02-13,1444.5714285714287,403.0
2021-02-14,1438.5714285714287,403.0
2021-02-15,1428.0,403.0
2021-02-16,1469.7142857142858,403.0
2021-02-17,1551.5714285714287,403.0
2021-02-18,1487.7142857142858,403.0
2021-02-19,1444.0,404.0
2021-02-20,1434.0,406.14285714285717
2021-02-21,1423.0,409.2857142857143
2021-02-22,1375.0,413.42857142857144
2021-02-23,1381.2857142857142,418.7142857142857
2021-02-24,1358.142857142857,425.0
2021-02-25,1347.7142857142858,432.42857142857144
2021-02-26,1319.857142857143,438.85714285714283
2021-02-27,1311.142857142857,444.14285714285717
2021-02-28,1281.2857142857142,448.42857142857144
2021-03-01,1284.857142857143,451.7142857142857
2021-03-02,1258.7142857142858,453.85714285714283
2021-03-03,1244.0,455.0
2021-03-04,1248.5714285714287,455.0
2021-03-05,1246.142857142857,455.0
2021-03-06,1229.0,455.0
2021-03-07,1210.4285714285713,455.0
2021-03-08,1172.142857142857,455.0
2021-03-09,1167.7142857142858,455.0
2021-03-10,1196.857142857143,455.0
2021-03-11,1096.5714285714287,455.0
2021-03-12,1048.4285714285713,455.0
2021-03-13,1006.1428571428571,497.7142857142857
