date,moving_average_new_cases,moving_average_new_vaccinations
2020-12-31,2148.0,2533.285714285714
2021-01-01,2237.5714285714284,1921.0
2021-01-02,2390.4285714285716,1361.5714285714287
2021-01-03,2501.1428571428573,969.7142857142857
2021-01-04,2583.714285714286,684.1428571428571
2021-01-05,2659.0,486.7142857142857
2021-01-06,2730.714285714286,332.57142857142856
2021-01-07,2790.4285714285716,206.42857142857142
2021-01-08,2886.1428571428573,178.0
2021-01-09,2973.8571428571427,213.71428571428572
2021-01-10,3120.0,255.71428571428572
2021-01-11,3390.285714285714,281.14285714285717
2021-01-12,3607.285714285714,247.71428571428572
2021-01-13,3719.1428571428573,227.0
2021-01-14,3863.1428571428573,347.42857142857144
2021-01-15,3933.714285714286,537.7142857142857
2021-01-16,3971.285714285714,729.8571428571429
2021-01-17,3964.4285714285716,922.0
2021-01-18,3987.0,1347.857142857143
2021-01-19,3979.714285714286,2198.4285714285716
2021-01-20,4002.285714285714,3201.0
2021-01-21,4030.714285714286,3983.714285714286
2021-01-22,4056.4285714285716,4634.857142857143
2021-01-23,4126.571428571428,5282.285714285715
2021-01-24,4164.857142857143,5929.714285714285
2021-01-25,4182.571428571428,6155.142857142857
2021-01-26,4204.0,5602.571428571428
2021-01-27,4192.714285714285,4691.857142857143
2021-01-28,4164.0,3797.5714285714284
2021-01-29,4148.0,2956.4285714285716
2021-01-30,4097.571428571428,2117.1428571428573
2021-01-31,4036.1428571428573,1278.0
2021-02-01,3999.8571428571427,606.4285714285714
2021-02-02,3958.5714285714284,574.2857142857143
2021-02-03,3933.5714285714284,4208.285714285715
2021-02-04,3822.4285714285716,11499.714285714286
2021-02-05,3727.714285714286,22259.14285714286
2021-02-06,3610.0,33587.142857142855
2021-02-07,3597.4285714285716,45091.28571428572
2021-02-08,3539.5714285714284,61385.71428571428
2021-02-09,3494.5714285714284,82499.28571428571
2021-02-10,3450.5714285714284,102389.57142857143
2021-02-11,3418.714285714286,120279.28571428571
2021-02-12,3438.5714285714284,135933.57142857142
2021-02-13,3493.1428571428573,151054.0
2021-02-14,3473.285714285714,165913.0
2021-02-15,3474.714285714286,176676.0
2021-02-16,3455.8571428571427,181509.85714285713
2021-02-17,3407.1428571428573,182197.0
2021-02-18,3391.1428571428573,179268.85714285713
2021-02-19,3405.0,173334.0
2021-02-20,3352.5714285714284,166957.7142857143
2021-02-21,3350.0,160599.14285714287
2021-02-22,3321.5714285714284,150355.7142857143
2021-02-23,3352.5714285714284,138397.42857142858
2021-02-24,3325.4285714285716,126255.57142857143
2021-02-25,3365.4285714285716,114722.71428571429
2021-02-26,3457.4285714285716,103671.57142857143
2021-02-27,3570.0,93035.42857142857
2021-02-28,3653.285714285714,82450.14285714286
2021-03-01,3737.8571428571427,75685.28571428571
2021-03-02,3823.0,73062.57142857143
2021-03-03,3885.0,77123.14285714286
2021-03-04,3954.285714285714,87178.0
