date,moving_average_new_cases,moving_average_new_vaccinations
2021-04-21,84.85714285714286,852.0
2021-04-22,84.85714285714286,852.0
2021-04-23,84.85714285714286,852.0
2021-04-24,84.85714285714286,852.0
2021-04-25,84.85714285714286,852.0
2021-04-26,84.85714285714286,852.0
2021-04-27,84.85714285714286,852.0
2021-04-29,48.285714285714285,852.0
2021-04-30,48.285714285714285,852.0
2021-05-01,48.285714285714285,852.0
2021-05-02,48.285714285714285,852.0
2021-05-03,48.285714285714285,852.0
2021-05-04,67.0,852.0
2021-05-05,67.0,852.0
2021-05-06,18.714285714285715,852.0
2021-05-07,46.714285714285715,852.0
2021-05-08,46.714285714285715,852.0
2021-05-09,46.714285714285715,852.0
2021-05-10,46.714285714285715,852.0
2021-05-11,28.0,852.0
2021-05-12,28.0,852.0
2021-05-13,28.0,835.0
2021-05-14,19.0,801.0
2021-05-15,19.0,750.0
2021-05-16,19.0,682.0
2021-05-17,19.0,597.0
2021-05-18,28.285714285714285,495.0
2021-05-19,28.285714285714285,392.42857142857144
2021-05-20,28.285714285714285,323.14285714285717
2021-05-21,26.0,287.14285714285717
2021-05-22,26.0,284.42857142857144
2021-05-23,26.0,315.0
2021-05-24,26.0,378.85714285714283
2021-05-25,33.714285714285715,476.0
2021-05-26,33.714285714285715,573.7142857142857
2021-05-27,33.714285714285715,655.1428571428571
2021-05-28,26.714285714285715,720.2857142857143
2021-05-29,26.714285714285715,769.1428571428571
2021-05-30,26.714285714285715,801.7142857142857
2021-05-31,26.714285714285715,818.0
2021-06-01,20.428571428571427,818.0
2021-06-02,20.428571428571427,818.0
2021-06-03,20.428571428571427,818.0
2021-06-04,10.714285714285714,818.0
2021-06-05,10.714285714285714,818.0
2021-06-06,10.714285714285714,818.0
2021-06-07,10.714285714285714,818.0
2021-06-15,54.0,892.1428571428571
2021-06-16,54.0,907.7142857142857
2021-06-17,54.0,917.2857142857143
2021-06-18,69.14285714285714,933.1428571428571
2021-06-19,69.14285714285714,955.2857142857143
2021-06-20,69.14285714285714,983.7142857142857
2021-06-21,69.14285714285714,1235.857142857143
2021-06-22,26.714285714285715,1683.142857142857
2021-06-23,26.714285714285715,2348.4285714285716
2021-06-24,26.714285714285715,3032.0
2021-06-25,27.428571428571427,3727.714285714286
2021-06-26,27.428571428571427,4435.571428571428
2021-06-27,27.428571428571427,5155.571428571428
2021-06-28,27.428571428571427,5452.857142857143
2021-06-29,30.0,5341.714285714285
2021-06-30,30.0,4813.428571428572
2021-07-01,30.0,4293.0
2021-07-02,27.714285714285715,3780.4285714285716
2021-07-03,27.714285714285715,3275.5714285714284
2021-07-04,27.714285714285715,2778.5714285714284
2021-07-05,27.714285714285715,2506.8571428571427
2021-07-06,23.142857142857142,2460.4285714285716
2021-07-07,23.142857142857142,2639.1428571428573
