date,moving_average_new_cases,moving_average_new_vaccinations
2021-06-07,1107.4285714285713,166074.57142857142
2021-06-08,1119.5714285714287,155663.85714285713
2021-06-09,1133.7142857142858,143910.2857142857
2021-06-10,1129.4285714285713,131367.42857142858
2021-06-11,1144.4285714285713,120446.28571428571
2021-06-12,1167.142857142857,112473.14285714286
2021-06-13,1201.0,107653.57142857143
2021-06-14,1255.7142857142858,107510.85714285714
2021-06-15,1279.142857142857,113134.71428571429
2021-06-16,1333.5714285714287,122915.85714285714
2021-06-17,1368.142857142857,134840.42857142858
2021-06-18,1405.2857142857142,147435.14285714287
2021-06-19,1432.857142857143,158303.2857142857
2021-06-20,1447.142857142857,168721.14285714287
2021-06-21,1442.2857142857142,173398.2857142857
2021-06-22,1472.5714285714287,172615.42857142858
2021-06-23,1465.7142857142858,166532.0
2021-06-24,1558.857142857143,156881.14285714287
2021-06-25,1624.857142857143,146040.57142857142
2021-06-26,1765.2857142857142,135109.7142857143
2021-06-27,1898.2857142857142,125401.85714285714
2021-06-28,2078.5714285714284,120056.14285714286
2021-06-29,2225.4285714285716,116896.28571428571
2021-06-30,2452.714285714286,116917.14285714286
2021-07-01,2583.4285714285716,122521.85714285714
2021-07-02,2736.5714285714284,128839.14285714286
2021-07-03,2857.1428571428573,135954.2857142857
2021-07-04,3010.285714285714,141225.42857142858
2021-07-05,3127.5714285714284,142072.85714285713
2021-07-06,3197.0,141463.85714285713
2021-07-07,3270.0,140863.14285714287
