date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-03,17564.714285714286,38150.142857142855
2021-01-04,17564.714285714286,41839.857142857145
2021-01-05,17564.714285714286,43242.28571428572
2021-01-06,17564.714285714286,43204.857142857145
2021-01-07,17564.714285714286,43066.42857142857
2021-01-08,17564.714285714286,44260.142857142855
2021-01-09,17564.714285714286,45561.71428571428
2021-01-10,20786.428571428572,47549.857142857145
2021-01-11,20786.428571428572,49422.142857142855
2021-01-12,20786.428571428572,51792.42857142857
2021-01-13,20786.428571428572,55186.142857142855
2021-01-14,20786.428571428572,59072.71428571428
2021-01-15,20786.428571428572,62791.28571428572
2021-01-16,20786.428571428572,66196.42857142857
2021-01-17,16989.85714285714,69568.57142857143
2021-01-18,16989.85714285714,72780.85714285714
2021-01-19,16989.85714285714,76282.85714285714
2021-01-20,16989.85714285714,79202.71428571429
2021-01-21,16989.85714285714,81965.0
2021-01-22,16989.85714285714,84351.28571428571
2021-01-23,16989.85714285714,87383.28571428571
2021-01-24,13650.42857142857,90174.28571428571
2021-01-25,13650.42857142857,92825.71428571429
2021-01-26,13650.42857142857,94213.85714285714
2021-01-27,13650.42857142857,94703.57142857143
2021-01-28,13650.42857142857,94491.0
2021-01-29,13650.42857142857,94174.42857142857
2021-01-30,13650.42857142857,93288.28571428571
2021-01-31,11167.42857142857,92594.14285714286
2021-02-01,11167.42857142857,92341.85714285714
2021-02-02,11167.42857142857,93224.28571428571
2021-02-03,11167.42857142857,95679.0
2021-02-04,11167.42857142857,99257.14285714286
2021-02-05,11167.42857142857,103537.14285714286
2021-02-06,11167.42857142857,107920.0
2021-02-07,9228.0,112036.28571428571
2021-02-08,9228.0,115329.0
2021-02-09,9228.0,117959.42857142857
2021-02-10,9228.0,119341.71428571429
2021-02-11,9228.0,120071.85714285714
2021-02-12,9228.0,120166.0
2021-02-13,9228.0,120414.71428571429
2021-02-14,7261.0,120980.57142857143
2021-02-15,7261.0,122103.42857142857
2021-02-16,7261.0,123191.71428571429
2021-02-17,7261.0,124360.0
2021-02-18,7261.0,125332.0
2021-02-19,7261.0,126185.42857142857
2021-02-20,7261.0,126855.14285714286
2021-02-21,7475.571428571428,127702.14285714286
2021-02-22,7475.571428571428,128844.71428571429
2021-02-23,7475.571428571428,130711.14285714286
2021-02-24,7475.571428571428,133166.57142857142
2021-02-25,7475.571428571428,136533.57142857142
2021-02-26,7475.571428571428,140967.14285714287
2021-02-27,7475.571428571428,146035.14285714287
2021-02-28,8050.857142857143,151042.14285714287
2021-03-01,8050.857142857143,156292.42857142858
2021-03-02,8050.857142857143,161827.42857142858
2021-03-03,8050.857142857143,168304.7142857143
2021-03-04,8050.857142857143,174995.14285714287
2021-03-05,8050.857142857143,181819.57142857142
2021-03-06,8050.857142857143,189028.14285714287
2021-03-07,8346.42857142857,196781.57142857142
2021-03-08,8346.42857142857,204455.85714285713
2021-03-09,8346.42857142857,211788.0
2021-03-10,8346.42857142857,218508.14285714287
2021-03-11,8346.42857142857,224897.0
2021-03-12,8346.42857142857,231088.57142857142
2021-03-13,8346.42857142857,236950.57142857142
2021-03-14,10198.714285714286,242369.42857142858
2021-03-15,10198.714285714286,247212.0
2021-03-16,10198.714285714286,249884.2857142857
2021-03-17,10198.714285714286,249994.42857142858
2021-03-18,10198.714285714286,247439.0
2021-03-19,10198.714285714286,242150.57142857142
2021-03-20,10198.714285714286,235661.14285714287
2021-03-21,13230.0,228598.14285714287
2021-03-22,13230.0,221746.14285714287
2021-03-23,13230.0,218890.85714285713
2021-03-24,13230.0,220502.2857142857
2021-03-25,13230.0,226834.85714285713
2021-03-26,13230.0,237482.14285714287
2021-03-27,13230.0,249799.14285714287
2021-03-28,16615.571428571428,262879.5714285714
2021-03-29,16615.571428571428,276278.0
2021-03-30,16615.571428571428,287753.5714285714
2021-03-31,16615.571428571428,296421.5714285714
2021-04-01,16615.571428571428,302116.14285714284
2021-04-02,16615.571428571428,302122.14285714284
2021-04-03,16615.571428571428,299859.71428571426
2021-04-04,15715.285714285714,296879.4285714286
2021-04-05,15715.285714285714,291968.0
2021-04-06,15715.285714285714,287390.85714285716
2021-04-07,15715.285714285714,289646.28571428574
2021-04-08,15715.285714285714,299613.85714285716
2021-04-09,15715.285714285714,320950.85714285716
2021-04-10,15715.285714285714,346173.4285714286
2021-04-11,16884.0,372909.85714285716
2021-04-12,16884.0,404322.4285714286
2021-04-13,16884.0,438984.85714285716
2021-04-14,16884.0,469071.4285714286
2021-04-15,16884.0,491194.14285714284
2021-04-16,16884.0,504276.71428571426
2021-04-17,16884.0,514358.14285714284
2021-04-18,20288.714285714286,523108.14285714284
2021-04-19,20288.714285714286,528044.5714285715
2021-04-20,20288.714285714286,528509.8571428572
2021-04-21,20288.714285714286,525672.2857142857
2021-04-22,20288.714285714286,522349.4285714286
2021-04-23,20288.714285714286,518904.0
