date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-27,1368.2857142857142,1436.7142857142858
2021-01-28,1317.142857142857,1086.857142857143
2021-01-29,1401.5714285714287,882.8571428571429
2021-01-30,1361.2857142857142,766.5714285714286
2021-01-31,1649.5714285714287,696.7142857142857
2021-02-01,1362.2857142857142,620.4285714285714
2021-02-02,1345.5714285714287,559.4285714285714
2021-02-03,1304.7142857142858,543.2857142857143
2021-02-04,1265.0,581.4285714285714
2021-02-05,1048.4285714285713,624.1428571428571
2021-02-06,1246.4285714285713,667.8571428571429
2021-02-07,1048.0,709.8571428571429
2021-02-08,1064.857142857143,721.1428571428571
2021-02-09,1088.7142857142858,698.8571428571429
2021-02-10,1214.857142857143,583.4285714285714
2021-02-11,1098.0,499.2857142857143
2021-02-12,1282.0,429.42857142857144
2021-02-13,1157.857142857143,360.2857142857143
2021-02-14,1201.7142857142858,292.0
2021-02-15,1277.2857142857142,252.0
2021-02-16,1299.142857142857,236.57142857142858
2021-02-17,1184.2857142857142,276.2857142857143
2021-02-18,1163.2857142857142,738.0
2021-02-19,1078.142857142857,1291.0
2021-02-20,1108.4285714285713,1842.2857142857142
2021-02-21,1081.4285714285713,2432.0
2021-02-22,1064.2857142857142,3057.5714285714284
2021-02-23,1038.142857142857,3683.4285714285716
2021-02-24,1101.0,4315.428571428572
2021-02-25,1508.5714285714287,4384.857142857143
2021-02-26,1615.5714285714287,4464.857142857143
2021-02-27,1617.5714285714287,4547.714285714285
2021-02-28,1357.4285714285713,4553.857142857143
2021-03-01,1640.2857142857142,4497.857142857143
2021-03-02,1628.4285714285713,4441.857142857143
2021-03-03,1563.5714285714287,4369.571428571428
2021-03-04,1527.5714285714287,4638.571428571428
2021-03-05,1223.7142857142858,4984.285714285715
2021-03-06,1210.142857142857,5407.0
2021-03-07,1477.7142857142858,5871.428571428572
2021-03-08,1192.5714285714287,6446.714285714285
2021-03-09,1178.7142857142858,7056.0
2021-03-10,1198.4285714285713,7689.428571428572
2021-03-11,1052.7142857142858,8211.285714285714
2021-03-12,1174.5714285714287,9176.57142857143
2021-03-13,1163.7142857142858,10324.285714285714
2021-03-14,1103.2857142857142,11480.285714285714
2021-03-15,1102.5714285714287,12695.285714285714
2021-03-16,1125.7142857142858,14004.57142857143
2021-03-17,1105.7142857142858,15408.42857142857
2021-03-18,1251.0,16152.142857142857
2021-03-19,1353.142857142857,15407.0
2021-03-20,1489.5714285714287,14241.285714285714
2021-03-21,1457.4285714285713,13088.57142857143
2021-03-22,1482.4285714285713,12420.285714285714
2021-03-23,1479.0,11938.142857142857
2021-03-24,1530.857142857143,11415.714285714286
2021-03-25,1601.2857142857142,11694.285714285714
2021-03-26,1603.857142857143,13156.57142857143
2021-03-27,1686.857142857143,14726.57142857143
2021-03-28,1690.142857142857,16238.57142857143
2021-03-29,1697.7142857142858,16687.714285714286
2021-03-30,1753.2857142857142,16580.14285714286
2021-03-31,1965.0,16464.0
2021-04-01,1706.857142857143,16332.285714285714
2021-04-02,1676.0,15652.857142857143
2021-04-03,1512.4285714285713,15046.0
2021-04-04,1496.5714285714287,14526.857142857143
2021-04-05,1599.857142857143,15017.285714285714
2021-04-06,1664.7142857142858,16315.142857142857
2021-04-07,1482.4285714285713,18204.571428571428
2021-04-08,1549.857142857143,19510.14285714286
2021-04-09,1604.4285714285713,20966.14285714286
2021-04-10,1520.0,22308.428571428572
2021-04-11,1671.7142857142858,23535.428571428572
2021-04-12,1590.857142857143,23363.428571428572
2021-04-13,1470.4285714285713,22833.285714285714
2021-04-14,1412.4285714285713,21415.14285714286
2021-04-15,1562.142857142857,20759.428571428572
2021-04-16,1973.142857142857,20861.14285714286
2021-04-17,1898.0,21931.85714285714
2021-04-18,1897.142857142857,23121.571428571428
2021-04-19,1961.2857142857142,25796.571428571428
2021-04-20,1927.5714285714287,28243.85714285714
2021-04-21,1937.857142857143,31485.714285714286
2021-04-22,1757.7142857142858,34555.42857142857
2021-04-23,1423.142857142857,37245.57142857143
2021-04-24,2191.714285714286,38583.857142857145
2021-04-25,2085.285714285714,39968.0
2021-04-26,1830.857142857143,40805.0
2021-04-27,2030.2857142857142,41943.42857142857
2021-04-28,2025.0,42412.142857142855
2021-04-29,2117.0,43060.857142857145
2021-04-30,2185.1428571428573,43605.28571428572
2021-05-01,1508.0,45265.42857142857
2021-05-02,1690.7142857142858,47483.28571428572
2021-05-03,1991.0,49655.857142857145
2021-05-04,1895.857142857143,51092.0
2021-05-05,2273.285714285714,52565.42857142857
2021-05-06,2198.0,53350.71428571428
2021-05-07,2091.1428571428573,53483.57142857143
2021-05-08,2146.5714285714284,52225.857142857145
2021-05-09,2047.4285714285713,49599.28571428572
2021-05-10,1856.7142857142858,46510.857142857145
2021-05-11,2002.0,43821.71428571428
2021-05-12,1621.857142857143,40985.0
2021-05-13,1654.857142857143,38156.28571428572
2021-05-14,1493.7142857142858,36091.142857142855
2021-05-15,1444.857142857143,35239.71428571428
2021-05-16,1514.142857142857,35422.28571428572
2021-05-17,1404.7142857142858,36346.71428571428
2021-05-18,1258.5714285714287,37460.28571428572
2021-05-19,1267.2857142857142,38972.71428571428
2021-05-20,1182.142857142857,41384.71428571428
2021-05-21,1353.142857142857,43951.857142857145
2021-05-22,1374.142857142857,46417.57142857143
2021-05-23,1188.5714285714287,49966.42857142857
2021-05-24,1246.0,52251.57142857143
2021-05-25,1189.7142857142858,53645.857142857145
2021-05-26,1243.0,55049.0
2021-05-27,1189.142857142857,55463.0
2021-05-28,1010.5714285714286,54802.0
2021-05-29,934.8571428571429,53355.28571428572
2021-05-30,985.8571428571429,49074.0
2021-05-31,998.5714285714286,46845.57142857143
2021-06-01,977.0,46273.0
2021-06-02,1074.7142857142858,45495.57142857143
2021-06-03,1090.5714285714287,45447.57142857143
2021-06-04,1069.7142857142858,46780.142857142855
2021-06-05,1082.0,48733.857142857145
2021-06-06,955.4285714285714,52309.0
2021-06-07,930.2857142857143,54762.0
2021-06-08,957.4285714285714,56541.57142857143
2021-06-09,756.4285714285714,58391.857142857145
2021-06-10,715.0,59665.857142857145
2021-06-11,886.5714285714286,60018.71428571428
2021-06-12,911.7142857142857,60238.42857142857
2021-06-13,954.1428571428571,60364.0
2021-06-14,940.1428571428571,60398.71428571428
2021-06-15,914.2857142857143,60358.857142857145
2021-06-16,912.7142857142857,60956.71428571428
2021-06-17,1044.2857142857142,62430.28571428572
2021-06-18,902.5714285714286,64184.857142857145
2021-06-19,1039.142857142857,65970.28571428571
2021-06-20,1068.2857142857142,67269.57142857143
2021-06-21,1072.4285714285713,68872.0
2021-06-22,1070.5714285714287,70326.28571428571
2021-06-23,1114.5714285714287,70690.42857142857
2021-06-24,1132.4285714285713,69957.42857142857
2021-06-25,1020.2857142857143,68632.57142857143
2021-06-26,1119.857142857143,67221.42857142857
2021-06-27,1110.857142857143,66298.42857142857
2021-06-28,1127.857142857143,65188.57142857143
2021-06-29,1301.4285714285713,63986.71428571428
2021-06-30,1473.2857142857142,63302.42857142857
2021-07-01,1342.4285714285713,63277.857142857145
2021-07-02,1436.4285714285713,64427.42857142857
2021-07-03,1274.7142857142858,66265.14285714286
2021-07-04,1254.2857142857142,68716.0
2021-07-05,1115.142857142857,72734.42857142857
2021-07-06,986.5714285714286,79181.71428571429
2021-07-07,923.1428571428571,87914.85714285714
