date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-03,12706.857142857143,534.4285714285714
2021-01-04,12706.857142857143,545.4285714285714
2021-01-05,12706.857142857143,708.0
2021-01-06,12706.857142857143,1115.857142857143
2021-01-07,12706.857142857143,2121.4285714285716
2021-01-08,12706.857142857143,3843.0
2021-01-09,12706.857142857143,5791.857142857143
2021-01-10,17466.14285714286,7858.0
2021-01-11,17466.14285714286,10667.285714285714
2021-01-12,17466.14285714286,14473.42857142857
2021-01-13,17466.14285714286,19115.0
2021-01-14,17466.14285714286,24259.428571428572
2021-01-15,17466.14285714286,29319.571428571428
2021-01-16,17466.14285714286,34343.0
2021-01-17,16977.428571428572,39355.0
2021-01-18,16977.428571428572,44534.71428571428
2021-01-19,16977.428571428572,49986.0
2021-01-20,16977.428571428572,55842.0
2021-01-21,16977.428571428572,62139.57142857143
2021-01-22,16977.428571428572,68852.42857142857
2021-01-23,16977.428571428572,75752.28571428571
2021-01-24,18592.714285714286,82524.28571428571
2021-01-25,18592.714285714286,88222.71428571429
2021-01-26,18592.714285714286,91965.71428571429
2021-01-27,18592.714285714286,93721.28571428571
2021-01-28,18592.714285714286,93535.71428571429
2021-01-29,18592.714285714286,92045.71428571429
2021-01-30,18592.714285714286,90077.85714285714
2021-01-31,18946.285714285714,88076.71428571429
2021-02-01,18946.285714285714,86102.14285714286
2021-02-02,18946.285714285714,84752.57142857143
2021-02-03,18946.285714285714,83836.0
2021-02-04,18946.285714285714,83188.85714285714
2021-02-05,18946.285714285714,82865.0
2021-02-06,18946.285714285714,82653.0
2021-02-07,18350.14285714286,82566.85714285714
2021-02-08,18350.14285714286,82969.57142857143
2021-02-09,18350.14285714286,83948.0
2021-02-10,18350.14285714286,85782.85714285714
2021-02-11,18350.14285714286,88856.57142857143
2021-02-12,18350.14285714286,92661.28571428571
2021-02-13,18350.14285714286,96628.57142857143
2021-02-14,15776.57142857143,100570.85714285714
2021-02-15,15776.57142857143,104575.28571428571
2021-02-16,15776.57142857143,108188.85714285714
2021-02-17,15776.57142857143,111138.71428571429
2021-02-18,15776.57142857143,113025.14285714286
2021-02-19,15776.57142857143,114140.57142857143
2021-02-20,15776.57142857143,115192.57142857143
2021-02-21,16793.0,116148.71428571429
2021-02-22,16793.0,116578.28571428571
2021-02-23,16793.0,116486.71428571429
2021-02-24,16793.0,116018.57142857143
2021-02-25,16793.0,115579.71428571429
2021-02-26,16793.0,115679.71428571429
2021-02-27,16793.0,116227.0
2021-02-28,18242.285714285714,116846.42857142857
2021-03-01,18242.285714285714,117712.42857142857
2021-03-02,18242.285714285714,119451.42857142857
