date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-17,45411.57142857143,234628.42857142858
2021-01-18,44156.57142857143,249296.14285714287
2021-01-19,43073.42857142857,262343.71428571426
2021-01-20,41268.42857142857,272516.28571428574
2021-01-21,39822.42857142857,281115.4285714286
2021-01-22,38319.142857142855,289732.4285714286
2021-01-23,36752.0,301609.14285714284
2021-01-24,35163.142857142855,315740.14285714284
2021-01-25,33890.857142857145,330489.14285714284
2021-01-26,32171.14285714286,342027.0
2021-01-27,29996.85714285714,350902.71428571426
2021-01-28,28169.0,358001.0
2021-01-29,26785.714285714286,362554.85714285716
2021-01-30,25681.571428571428,365511.4285714286
2021-01-31,24553.571428571428,369945.71428571426
2021-02-01,23814.0,374341.85714285716
2021-02-02,23561.0,380744.14285714284
2021-02-03,22451.714285714286,391422.28571428574
2021-02-04,21385.285714285714,403423.5714285714
2021-02-05,20472.571428571428,415392.85714285716
2021-02-06,19575.428571428572,423820.5714285714
2021-02-07,18700.14285714286,429320.28571428574
2021-02-08,18007.714285714286,433435.14285714284
2021-02-09,17419.285714285714,437017.28571428574
2021-02-10,16451.0,437056.28571428574
2021-02-11,15588.142857142857,436192.5714285714
2021-02-12,14728.857142857143,436203.4285714286
2021-02-13,13964.0,436505.71428571426
2021-02-14,13430.57142857143,436856.28571428574
2021-02-15,12961.285714285714,435632.4285714286
2021-02-16,12580.0,432862.5714285714
2021-02-17,12371.57142857143,431273.71428571426
2021-02-18,12187.857142857143,428366.14285714284
2021-02-19,11908.285714285714,421105.0
2021-02-20,11716.0,411394.71428571426
2021-02-21,11452.42857142857,400684.4285714286
2021-02-22,11349.285714285714,390017.14285714284
2021-02-23,11221.142857142857,379624.0
2021-02-24,10781.42857142857,368042.28571428574
2021-02-25,10327.714285714286,358361.85714285716
2021-02-26,9885.57142857143,355053.71428571426
2021-02-27,9347.142857142857,356911.85714285716
2021-02-28,8783.42857142857,361702.0
2021-03-01,8302.857142857143,368376.4285714286
2021-03-02,7842.142857142857,373980.85714285716
2021-03-03,7204.285714285715,377208.0
2021-03-04,6797.857142857143,377837.0
2021-03-05,6415.714285714285,374525.28571428574
2021-03-06,6117.571428571428,369656.28571428574
2021-03-07,5929.714285714285,363238.4285714286
2021-03-08,5883.857142857143,356860.71428571426
2021-03-09,5817.714285714285,352332.28571428574
2021-03-10,5774.571428571428,350391.85714285716
2021-03-11,5713.142857142857,348094.5714285714
2021-03-12,5724.285714285715,345920.71428571426
2021-03-13,5723.714285714285,345834.4285714286
2021-03-14,5759.428571428572,348180.85714285716
2021-03-15,5724.142857142857,353861.5714285714
2021-03-16,5726.285714285715,364133.71428571426
2021-03-17,5699.571428571428,379450.0
2021-03-18,5610.285714285715,402888.28571428574
2021-03-19,5571.428571428572,432865.0
2021-03-20,5528.428571428572,466191.85714285716
2021-03-21,5451.714285714285,500319.5714285714
2021-03-22,5432.571428571428,530083.0
2021-03-23,5570.428571428572,554270.7142857143
2021-03-24,5535.571428571428,573512.4285714285
2021-03-25,5481.428571428572,584451.1428571428
2021-03-26,5516.571428571428,588673.5714285715
2021-03-27,5514.285714285715,583484.8571428572
2021-03-28,5426.714285714285,575934.5714285715
2021-03-29,5353.0,568806.7142857143
2021-03-30,5301.571428571428,562558.5714285715
2021-03-31,4978.285714285715,557295.1428571428
2021-04-01,4734.714285714285,555253.2857142857
2021-04-02,4412.142857142857,547186.7142857143
2021-04-03,4134.714285714285,535135.7142857143
2021-04-04,3874.714285714286,515596.85714285716
2021-04-05,3700.0,490087.71428571426
2021-04-06,3326.0,459673.0
2021-04-07,3118.5714285714284,425874.85714285716
2021-04-08,3052.0,389472.0
2021-04-09,2950.1428571428573,364168.5714285714
2021-04-10,2874.8571428571427,352659.0
2021-04-11,2904.285714285714,351527.14285714284
2021-04-12,2886.0,359690.5714285714
2021-04-13,2880.8571428571427,374963.5714285714
2021-04-14,2900.4285714285716,391721.71428571426
2021-04-15,2783.5714285714284,409963.0
2021-04-16,2677.714285714286,425658.28571428574
2021-04-17,2563.1428571428573,436316.85714285716
2021-04-18,2476.5714285714284,444575.4285714286
2021-04-19,2382.5714285714284,451947.5714285714
2021-04-20,2412.285714285714,458341.28571428574
2021-04-21,2391.8571428571427,467171.4285714286
2021-04-22,2398.4285714285716,476259.4285714286
2021-04-23,2426.4285714285716,483048.85714285716
2021-04-24,2435.5714285714284,489931.85714285716
2021-04-25,2388.8571428571427,496622.0
2021-04-26,2366.285714285714,501467.85714285716
2021-04-27,2299.8571428571427,505683.14285714284
2021-04-28,2283.8571428571427,509679.14285714284
2021-04-29,2232.0,514440.28571428574
2021-04-30,2202.1428571428573,519221.71428571426
2021-05-01,2176.5714285714284,519141.0
2021-05-02,2148.714285714286,516738.5714285714
2021-05-03,2129.8571428571427,509902.71428571426
2021-05-04,2044.4285714285713,500028.4285714286
2021-05-05,1967.0,487786.14285714284
2021-05-06,2020.5714285714287,474365.4285714286
2021-05-07,2030.5714285714287,462268.5714285714
2021-05-08,2044.2857142857142,455749.4285714286
2021-05-09,2066.714285714286,451325.5714285714
2021-05-10,2092.0,453882.71428571426
2021-05-11,2204.285714285714,460757.0
2021-05-12,2307.8571428571427,470631.85714285716
2021-05-13,2275.8571428571427,481211.14285714284
2021-05-14,2242.4285714285716,491447.5714285714
2021-05-15,2221.8571428571427,500221.28571428574
2021-05-16,2215.5714285714284,509041.71428571426
2021-05-17,2218.285714285714,515252.0
2021-05-18,2163.4285714285716,519671.14285714284
2021-05-19,2170.4285714285716,522129.14285714284
2021-05-20,2239.4285714285716,525044.0
2021-05-21,2307.714285714286,528330.8571428572
2021-05-22,2355.5714285714284,533925.2857142857
2021-05-23,2416.8571428571427,540257.7142857143
2021-05-24,2470.0,548032.1428571428
2021-05-25,2527.5714285714284,557096.2857142857
2021-05-26,2600.5714285714284,566823.1428571428
2021-05-27,2688.4285714285716,575546.0
2021-05-28,2846.8571428571427,583476.7142857143
2021-05-29,3022.5714285714284,585412.1428571428
2021-05-30,3197.1428571428573,585087.8571428572
2021-05-31,3340.0,579534.2857142857
2021-06-01,3459.714285714286,569835.8571428572
2021-06-02,3535.1428571428573,556637.5714285715
2021-06-03,3821.4285714285716,540913.7142857143
2021-06-04,4142.285714285715,523832.85714285716
2021-06-05,4501.0,511539.85714285716
2021-06-06,4825.571428571428,501356.4285714286
2021-06-07,5072.857142857143,497235.14285714284
2021-06-08,5411.428571428572,495772.4285714286
2021-06-09,5989.857142857143,496612.4285714286
2021-06-10,6342.0,498726.85714285716
2021-06-11,6633.714285714285,501253.5714285714
2021-06-12,6888.714285714285,500166.0
2021-06-13,7139.857142857143,496731.14285714284
2021-06-14,7361.714285714285,489606.28571428574
2021-06-15,7590.428571428572,481812.14285714284
2021-06-16,7935.571428571428,473335.14285714284
2021-06-17,8350.42857142857,465202.14285714284
2021-06-18,8756.42857142857,456361.5714285714
2021-06-19,9194.0,448430.71428571426
2021-06-20,9579.857142857143,440576.28571428574
2021-06-21,9888.857142857143,427462.71428571426
2021-06-22,10310.57142857143,417606.28571428574
2021-06-23,11160.0,407906.14285714284
2021-06-24,12103.142857142857,397685.85714285716
2021-06-25,13145.857142857143,388187.14285714284
2021-06-26,14232.714285714286,378183.14285714284
2021-06-27,15354.0,369103.71428571426
2021-06-28,16476.0,370494.14285714284
2021-06-29,17678.14285714286,363883.5714285714
2021-06-30,19408.14285714286,357193.28571428574
2021-07-01,20950.571428571428,350791.4285714286
2021-07-02,22460.85714285714,343886.85714285716
2021-07-03,23900.85714285714,336621.4285714286
2021-07-04,25068.0,328034.5714285714
2021-07-05,26169.285714285714,314440.14285714284
2021-07-06,27121.85714285714,305178.28571428574
