date,moving_average_new_cases,moving_average_new_vaccinations
2021-05-19,0.7142857142857143,475.0
2021-05-20,0.42857142857142855,475.0
2021-05-21,0.5714285714285714,475.0
2021-05-22,0.5714285714285714,475.0
2021-05-23,0.7142857142857143,475.0
2021-05-24,0.7142857142857143,475.0
2021-05-25,1.0,475.0
2021-05-26,1.0,475.0
2021-05-27,1.4285714285714286,475.0
2021-05-28,1.5714285714285714,475.0
2021-05-29,1.5714285714285714,475.0
2021-05-30,2.142857142857143,475.0
2021-05-31,2.142857142857143,475.0
2021-06-01,2.4285714285714284,475.0
2021-06-02,4.285714285714286,475.0
2021-06-03,4.0,475.0
2021-06-04,3.857142857142857,475.0
2021-06-05,3.7142857142857144,475.0
2021-06-06,3.0,475.0
2021-06-07,3.0,475.0
2021-06-08,2.857142857142857,475.0
2021-06-09,1.5714285714285714,469.57142857142856
2021-06-10,2.2857142857142856,458.7142857142857
2021-06-11,2.142857142857143,442.42857142857144
2021-06-12,2.142857142857143,420.7142857142857
2021-06-13,2.2857142857142856,393.57142857142856
2021-06-14,2.2857142857142856,361.0
2021-06-15,2.7142857142857144,323.0
2021-06-16,2.2857142857142856,290.42857142857144
2021-06-17,2.7142857142857144,263.2857142857143
2021-06-18,3.142857142857143,241.57142857142858
2021-06-19,3.2857142857142856,225.28571428571428
2021-06-20,3.142857142857143,214.42857142857142
2021-06-21,3.142857142857143,209.0
2021-06-22,3.5714285714285716,209.0
2021-06-23,4.142857142857143,209.0
2021-06-24,3.5714285714285716,209.0
2021-06-25,3.0,209.0
2021-06-26,3.0,209.0
2021-06-27,3.0,209.0
2021-06-28,3.0,209.0
2021-06-29,2.7142857142857144,207.0
2021-06-30,2.857142857142857,203.0
2021-07-01,3.5714285714285716,197.0
2021-07-02,5.0,189.0
2021-07-03,5.0,179.0
2021-07-04,5.0,167.0
2021-07-05,5.0,153.14285714285714
2021-07-06,6.857142857142857,141.28571428571428
2021-07-07,6.714285714285714,131.42857142857142
