date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-03,14574.142857142857,7665.857142857143
2021-01-04,15335.857142857143,11283.142857142857
2021-01-05,15652.57142857143,16545.0
2021-01-06,16247.57142857143,22866.714285714286
2021-01-07,16893.714285714286,29712.0
2021-01-08,16170.714285714286,38223.42857142857
2021-01-09,15502.0,47021.142857142855
2021-01-10,16666.428571428572,55882.857142857145
2021-01-11,17292.14285714286,63610.57142857143
2021-01-12,17539.571428571428,69789.71428571429
2021-01-13,17377.714285714286,75357.0
2021-01-14,16727.285714285714,79602.28571428571
2021-01-15,16559.714285714286,81977.0
2021-01-16,16361.857142857143,82896.28571428571
2021-01-17,15838.142857142857,82829.0
2021-01-18,14969.42857142857,81740.14285714286
2021-01-19,14440.142857142857,79565.71428571429
2021-01-20,13905.0,75467.57142857143
2021-01-21,13590.0,70146.71428571429
2021-01-22,13134.57142857143,63649.42857142857
2021-01-23,12775.857142857143,57057.57142857143
2021-01-24,12350.285714285714,50867.857142857145
2021-01-25,12219.42857142857,45952.71428571428
2021-01-26,12181.42857142857,43020.42857142857
2021-01-27,12194.0,42203.857142857145
2021-01-28,12425.857142857143,43747.71428571428
2021-01-29,12469.42857142857,48053.0
2021-01-30,12459.42857142857,53953.71428571428
2021-01-31,12371.142857142857,60457.71428571428
2021-02-01,12317.0,66791.28571428571
2021-02-02,12226.42857142857,72319.0
2021-02-03,12093.142857142857,77628.71428571429
2021-02-04,11806.142857142857,82063.42857142857
2021-02-05,11705.57142857143,85219.28571428571
2021-02-06,11798.42857142857,87072.71428571429
2021-02-07,11902.142857142857,88037.14285714286
2021-02-08,11958.0,88275.0
2021-02-09,11964.285714285714,87918.85714285714
2021-02-10,12101.57142857143,86420.42857142857
2021-02-11,12068.0,83932.28571428571
2021-02-12,12279.57142857143,80571.71428571429
2021-02-13,12233.857142857143,76945.0
2021-02-14,12245.857142857143,73424.57142857143
2021-02-15,12163.0,70205.42857142857
2021-02-16,12073.714285714286,67508.0
2021-02-17,12038.857142857143,65511.28571428572
2021-02-18,11913.0,64514.857142857145
2021-02-19,11715.57142857143,64596.71428571428
2021-02-20,11940.857142857143,65721.57142857143
2021-02-21,12139.57142857143,67532.28571428571
2021-02-22,12481.0,70311.14285714286
2021-02-23,12805.714285714286,73729.0
2021-02-24,13224.42857142857,77853.14285714286
2021-02-25,13843.857142857143,82447.85714285714
2021-02-26,14717.57142857143,87581.42857142857
2021-02-27,15434.42857142857,93182.0
2021-02-28,16004.142857142857,98905.42857142857
2021-03-01,16574.14285714286,104358.57142857143
2021-03-02,17072.571428571428,110219.0
2021-03-03,17610.285714285714,116554.0
2021-03-04,18244.285714285714,123531.14285714286
2021-03-05,18669.14285714286,130962.57142857143
2021-03-06,19172.285714285714,138454.7142857143
2021-03-07,19848.14285714286,145895.7142857143
2021-03-08,20317.285714285714,153665.2857142857
