date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-24,1163.5714285714287,2155.5714285714284
2021-02-25,1072.142857142857,2520.5714285714284
2021-02-26,1032.5714285714287,2649.0
2021-02-27,1033.2857142857142,2760.285714285714
2021-02-28,1025.142857142857,2850.4285714285716
2021-03-01,1006.8571428571429,2918.1428571428573
2021-03-02,984.1428571428571,2971.4285714285716
2021-03-03,999.2857142857143,3005.1428571428573
2021-03-04,1036.5714285714287,2923.285714285714
2021-03-05,1050.4285714285713,2810.0
2021-03-06,1030.857142857143,2864.714285714286
2021-03-07,1031.2857142857142,3087.714285714286
2021-03-08,1023.8571428571429,3478.714285714286
2021-03-09,1053.2857142857142,4558.857142857143
2021-03-10,1064.7142857142858,6441.142857142857
2021-03-11,1080.142857142857,8986.714285714286
2021-03-12,1099.0,12377.142857142857
2021-03-13,1131.0,15865.142857142857
2021-03-14,1130.5714285714287,19450.571428571428
2021-03-15,1145.2857142857142,23133.571428571428
2021-03-16,1140.5714285714287,26783.571428571428
2021-03-17,1169.2857142857142,30393.428571428572
2021-03-18,1201.857142857143,34179.28571428572
2021-03-19,1224.7142857142858,37530.71428571428
2021-03-20,1252.142857142857,40737.42857142857
2021-03-21,1267.857142857143,43799.42857142857
2021-03-22,1295.142857142857,46716.71428571428
2021-03-23,1332.857142857143,48518.71428571428
2021-03-24,1387.2857142857142,48828.142857142855
2021-03-25,1448.2857142857142,47581.28571428572
2021-03-26,1529.7142857142858,45453.57142857143
2021-03-27,1601.5714285714287,43188.42857142857
2021-03-28,1690.4285714285713,40785.857142857145
2021-03-29,1774.4285714285713,38245.857142857145
2021-03-30,1867.0,36422.857142857145
2021-03-31,1982.2857142857142,35563.0
2021-04-01,2088.285714285714,35737.857142857145
2021-04-02,2185.5714285714284,36345.857142857145
2021-04-03,2288.285714285714,37215.57142857143
2021-04-04,2387.285714285714,38346.857142857145
2021-04-05,2481.4285714285716,39739.857142857145
2021-04-06,2494.8571428571427,41540.42857142857
2021-04-07,2586.0,44169.142857142855
2021-04-08,2678.285714285714,47485.57142857143
2021-04-09,2804.0,52016.0
2021-04-10,2933.714285714286,56336.142857142855
2021-04-11,2994.4285714285716,60446.142857142855
2021-04-12,3036.714285714286,64345.857142857145
2021-04-13,3227.5714285714284,66897.28571428571
2021-04-14,3320.8571428571427,67407.85714285714
2021-04-15,3505.5714285714284,66290.57142857143
2021-04-16,3632.1428571428573,63502.0
2021-04-17,3775.1428571428573,60186.28571428572
2021-04-18,3966.5714285714284,56346.28571428572
2021-04-19,4073.5714285714284,54969.28571428572
2021-04-20,4189.571428571428,56782.28571428572
2021-04-21,4329.142857142857,62901.28571428572
2021-04-22,4450.428571428572,72797.42857142857
2021-04-23,4540.142857142857,86395.14285714286
2021-04-24,4616.0,101168.28571428571
2021-04-25,4687.285714285715,116799.71428571429
2021-04-26,4817.571428571428,133515.85714285713
2021-04-27,4866.714285714285,149942.14285714287
2021-04-28,4937.571428571428,165392.2857142857
2021-04-29,4983.428571428572,173797.2857142857
2021-04-30,4943.285714285715,181205.2857142857
2021-05-01,5012.0,188009.85714285713
2021-05-02,5142.714285714285,194462.14285714287
2021-05-03,5226.571428571428,190801.85714285713
2021-05-04,5256.714285714285,179197.85714285713
2021-05-05,5019.285714285715,158668.2857142857
2021-05-06,4887.428571428572,149508.42857142858
2021-05-07,4988.571428571428,135023.85714285713
2021-05-08,5114.571428571428,120996.71428571429
2021-05-09,5311.714285714285,108133.14285714286
2021-05-10,5455.857142857143,108866.0
2021-05-11,5620.285714285715,122017.14285714286
2021-05-12,6072.285714285715,149458.85714285713
2021-05-13,6364.714285714285,170208.85714285713
2021-05-14,6474.142857142857,198646.57142857142
2021-05-15,6423.0,228657.57142857142
2021-05-16,6161.571428571428,260083.85714285713
2021-05-17,6001.142857142857,289646.85714285716
2021-05-18,5857.142857142857,317126.14285714284
2021-05-19,5660.714285714285,342002.28571428574
2021-05-20,5516.0,368382.85714285716
2021-05-21,5383.714285714285,393415.5714285714
2021-05-22,5183.714285714285,419524.28571428574
2021-05-23,5098.428571428572,445942.85714285716
2021-05-24,4869.571428571428,470745.0
2021-05-25,4690.571428571428,492914.85714285716
2021-05-26,4514.142857142857,511653.4285714286
2021-05-27,4246.857142857143,532256.5714285715
2021-05-28,4072.5714285714284,552671.4285714285
2021-05-29,3914.285714285714,574049.4285714285
2021-05-30,3660.4285714285716,596133.2857142857
2021-05-31,3543.0,616928.5714285715
2021-06-01,3370.5714285714284,640704.8571428572
2021-06-02,3191.1428571428573,667494.8571428572
2021-06-03,3025.4285714285716,694287.2857142857
2021-06-04,2804.0,721823.5714285715
2021-06-05,2664.1428571428573,749444.8571428572
2021-06-06,2559.1428571428573,777788.8571428572
2021-06-07,2454.0,807578.4285714285
2021-06-08,2355.5714285714284,836273.2857142857
2021-06-09,2231.0,864023.4285714285
2021-06-10,2122.1428571428573,891070.1428571428
2021-06-11,2025.2857142857142,917806.0
2021-06-12,1928.4285714285713,944055.1428571428
2021-06-13,1832.857142857143,969430.5714285715
2021-06-14,1773.7142857142858,993770.7142857143
2021-06-15,1717.7142857142858,1016775.2857142857
2021-06-16,1647.142857142857,1038507.4285714285
2021-06-17,1568.2857142857142,1060073.5714285714
2021-06-18,1521.5714285714287,1080704.5714285714
2021-06-19,1454.0,1100879.2857142857
2021-06-20,1436.5714285714287,1121124.142857143
2021-06-21,1427.2857142857142,1141157.0
2021-06-22,1429.5714285714287,1161318.2857142857
2021-06-23,1443.142857142857,1181650.7142857143
2021-06-24,1454.857142857143,1200895.2857142857
2021-06-25,1477.2857142857142,1220664.5714285714
2021-06-26,1493.857142857143,1240865.0
2021-06-27,1495.5714285714287,1261047.0
2021-06-28,1504.4285714285713,1279963.142857143
2021-06-29,1501.2857142857142,1297768.0
2021-06-30,1505.4285714285713,1313795.7142857143
2021-07-01,1519.857142857143,1324171.0
2021-07-02,1522.857142857143,1326875.7142857143
2021-07-03,1559.857142857143,1327482.4285714286
2021-07-04,1582.5714285714287,1325053.7142857143
2021-07-05,1588.857142857143,1322553.857142857
2021-07-06,1627.7142857142858,1319543.5714285714
2021-07-07,1676.2857142857142,1316452.2857142857
