date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-04,666.2857142857143,47874.857142857145
2021-02-05,646.8571428571429,48859.28571428572
2021-02-06,627.0,50062.71428571428
2021-02-07,610.7142857142857,51839.42857142857
2021-02-08,599.7142857142857,51838.0
2021-02-09,593.0,51790.71428571428
2021-02-10,550.2857142857143,53380.857142857145
2021-02-11,520.2857142857143,56480.28571428572
2021-02-12,499.0,63432.0
2021-02-13,468.14285714285717,74668.85714285714
2021-02-14,452.7142857142857,88132.14285714286
2021-02-15,445.57142857142856,104598.85714285714
2021-02-16,429.42857142857144,123600.85714285714
2021-02-17,420.85714285714283,141910.7142857143
2021-02-18,412.85714285714283,159751.7142857143
2021-02-19,413.7142857142857,170898.14285714287
2021-02-20,406.85714285714283,173920.14285714287
2021-02-21,401.85714285714283,172488.7142857143
2021-02-22,383.0,166604.14285714287
2021-02-23,381.14285714285717,155868.14285714287
2021-02-24,376.85714285714283,146338.14285714287
2021-02-25,364.14285714285717,138035.7142857143
2021-02-26,351.14285714285717,134201.0
2021-02-27,355.7142857142857,135508.2857142857
2021-02-28,351.7142857142857,139808.7142857143
2021-03-01,357.0,147102.0
2021-03-02,357.57142857142856,157741.0
2021-03-03,350.0,163638.7142857143
2021-03-04,375.0,164823.14285714287
2021-03-05,376.14285714285717,162602.57142857142
2021-03-06,367.57142857142856,157662.7142857143
2021-03-07,366.2857142857143,150964.85714285713
2021-03-08,367.0,142509.2857142857
2021-03-09,365.57142857142856,132277.42857142858
2021-03-10,382.0,125573.42857142857
2021-03-11,361.85714285714283,122319.0
2021-03-12,371.85714285714283,123607.28571428571
2021-03-13,373.42857142857144,129633.71428571429
2021-03-14,379.7142857142857,138441.42857142858
2021-03-15,387.7142857142857,150030.14285714287
2021-03-16,395.85714285714283,163914.0
2021-03-17,398.42857142857144,176118.57142857142
2021-03-18,400.2857142857143,186602.42857142858
2021-03-19,403.57142857142856,190696.42857142858
2021-03-20,405.42857142857144,186922.7142857143
2021-03-21,404.42857142857144,179007.57142857142
2021-03-22,396.0,166951.0
2021-03-23,391.14285714285717,150580.2857142857
2021-03-24,397.2857142857143,137147.57142857142
2021-03-25,393.42857142857144,126763.71428571429
2021-03-26,396.85714285714283,120581.14285714286
2021-03-27,406.85714285714283,119395.14285714286
2021-03-28,413.57142857142856,120723.28571428571
2021-03-29,421.42857142857144,124565.71428571429
2021-03-30,417.42857142857144,131971.42857142858
2021-03-31,431.14285714285717,133958.85714285713
2021-04-01,465.0,131134.42857142858
2021-04-02,474.7142857142857,125670.0
2021-04-03,484.2857142857143,118720.42857142857
2021-04-04,496.2857142857143,110833.0
2021-04-05,505.42857142857144,102007.71428571429
2021-04-06,510.42857142857144,91171.85714285714
2021-04-07,514.8571428571429,82761.28571428571
2021-04-08,513.0,76163.71428571429
2021-04-09,521.0,70741.0
2021-04-10,527.2857142857143,65828.85714285714
2021-04-11,550.8571428571429,61498.142857142855
2021-04-12,557.8571428571429,57323.42857142857
2021-04-13,564.0,52888.57142857143
2021-04-14,562.2857142857143,48694.42857142857
2021-04-15,568.0,44744.28571428572
2021-04-16,562.4285714285714,41292.42857142857
2021-04-17,557.0,38622.71428571428
2021-04-18,537.0,35613.57142857143
2021-04-19,529.8571428571429,33115.857142857145
2021-04-20,524.5714285714286,32135.0
2021-04-21,529.7142857142857,31268.85714285714
2021-04-22,524.8571428571429,30601.285714285714
2021-04-23,525.4285714285714,29903.14285714286
2021-04-24,526.1428571428571,27212.85714285714
2021-04-25,512.8571428571429,24785.0
2021-04-26,507.42857142857144,22194.14285714286
2021-04-27,502.2857142857143,20887.428571428572
2021-04-28,471.85714285714283,23597.0
2021-04-29,446.7142857142857,27189.85714285714
2021-04-30,421.14285714285717,31202.714285714286
2021-05-01,388.42857142857144,36677.42857142857
2021-05-02,360.7142857142857,42960.0
2021-05-03,356.14285714285717,50050.28571428572
2021-05-04,349.57142857142856,57256.71428571428
2021-05-05,330.42857142857144,59351.71428571428
2021-05-06,313.0,61330.857142857145
2021-05-07,304.2857142857143,63456.42857142857
2021-05-08,295.0,67076.71428571429
2021-05-09,295.14285714285717,71992.0
2021-05-10,286.85714285714283,78202.57142857143
2021-05-11,287.14285714285717,83148.57142857143
2021-05-12,268.42857142857144,89559.0
2021-05-13,253.71428571428572,95007.71428571429
2021-05-14,236.28571428571428,99494.85714285714
2021-05-15,198.71428571428572,104776.42857142857
2021-05-16,169.85714285714286,108715.0
2021-05-17,154.28571428571428,111310.42857142857
2021-05-18,157.28571428571428,116879.57142857143
2021-05-19,179.42857142857142,127337.71428571429
2021-05-20,189.42857142857142,144187.2857142857
2021-05-21,203.0,166559.7142857143
2021-05-22,249.14285714285714,186712.42857142858
2021-05-23,285.0,205329.57142857142
2021-05-24,297.0,222411.2857142857
2021-05-25,298.57142857142856,238415.85714285713
2021-05-26,286.14285714285717,245711.7142857143
2021-05-27,292.85714285714283,244154.7142857143
2021-05-28,290.14285714285717,235481.85714285713
2021-05-29,287.0,226408.85714285713
2021-05-30,293.7142857142857,219105.85714285713
2021-05-31,297.85714285714283,213572.57142857142
2021-06-01,300.42857142857144,201984.42857142858
2021-06-02,312.42857142857144,195061.57142857142
2021-06-03,317.14285714285717,193953.85714285713
2021-06-04,328.7142857142857,192659.0
2021-06-05,330.14285714285717,189385.14285714287
2021-06-06,332.42857142857144,185721.0
2021-06-07,331.14285714285717,181666.85714285713
2021-06-08,330.57142857142856,184450.42857142858
2021-06-09,341.85714285714283,187356.7142857143
2021-06-10,337.2857142857143,185375.7142857143
2021-06-11,334.57142857142856,188306.14285714287
2021-06-12,342.2857142857143,193620.85714285713
2021-06-13,346.42857142857144,197021.2857142857
2021-06-14,352.0,198507.14285714287
2021-06-15,352.7142857142857,192486.85714285713
2021-06-16,353.14285714285717,183965.85714285713
2021-06-17,369.42857142857144,177837.7142857143
2021-06-18,382.57142857142856,169119.14285714287
2021-06-19,394.14285714285717,160665.0
2021-06-20,391.85714285714283,156908.85714285713
2021-06-21,394.42857142857144,157851.0
2021-06-22,391.14285714285717,161332.2857142857
2021-06-23,385.57142857142856,165163.0
2021-06-24,388.7142857142857,168144.42857142858
2021-06-25,391.0,171232.57142857142
2021-06-26,401.0,173575.7142857143
2021-06-27,408.7142857142857,169253.2857142857
2021-06-28,432.14285714285717,158265.14285714287
2021-06-29,451.14285714285717,149640.85714285713
2021-06-30,487.2857142857143,142694.7142857143
2021-07-01,523.5714285714286,133858.42857142858
2021-07-02,567.1428571428571,122441.85714285714
2021-07-03,609.0,110813.28571428571
2021-07-04,674.4285714285714,100443.42857142857
2021-07-05,696.2857142857143,92703.14285714286
2021-07-06,700.2857142857143,83137.71428571429
2021-07-07,769.8571428571429,73006.71428571429
