date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-04,8912.857142857143,11300.714285714286
2021-01-05,8871.42857142857,13419.57142857143
2021-01-06,9042.285714285714,13501.42857142857
2021-01-07,8850.42857142857,14214.857142857143
2021-01-08,8533.57142857143,15593.42857142857
2021-01-09,9048.285714285714,17264.571428571428
2021-01-10,9572.714285714286,19208.428571428572
2021-01-11,9599.857142857143,20747.0
2021-01-12,9306.285714285714,21470.85714285714
2021-01-13,8578.0,23201.285714285714
2021-01-14,8204.0,24837.285714285714
2021-01-15,8061.857142857143,26641.0
2021-01-16,7613.857142857143,28837.85714285714
2021-01-17,7134.571428571428,31168.285714285714
2021-01-18,6941.571428571428,32631.85714285714
2021-01-19,6836.714285714285,33901.57142857143
2021-01-20,6531.857142857143,34181.57142857143
2021-01-21,6205.571428571428,34446.857142857145
2021-01-22,6040.571428571428,34633.42857142857
2021-01-23,5884.857142857143,34359.57142857143
2021-01-24,5688.857142857143,33779.857142857145
2021-01-25,5567.142857142857,34687.857142857145
2021-01-26,5534.142857142857,37394.42857142857
2021-01-27,5515.571428571428,41351.42857142857
2021-01-28,5516.142857142857,45790.57142857143
2021-01-29,5445.285714285715,50065.857142857145
2021-01-30,5379.857142857143,54390.57142857143
2021-01-31,5383.142857142857,59113.42857142857
2021-02-01,5395.142857142857,62642.142857142855
2021-02-02,5355.428571428572,64126.71428571428
2021-02-03,5357.285714285715,64879.0
2021-02-04,5263.0,65236.71428571428
2021-02-05,5250.0,65642.42857142857
2021-02-06,5264.428571428572,66223.14285714286
2021-02-07,5267.571428571428,66434.85714285714
2021-02-08,5257.285714285715,67022.0
2021-02-09,5214.857142857143,66905.71428571429
2021-02-10,5233.142857142857,66269.42857142857
2021-02-11,5306.285714285715,65403.42857142857
2021-02-12,5352.857142857143,64925.0
2021-02-13,5441.571428571428,64551.71428571428
2021-02-14,5528.142857142857,64260.57142857143
2021-02-15,5544.142857142857,63453.142857142855
2021-02-16,5708.285714285715,63965.857142857145
2021-02-17,5960.285714285715,65576.42857142857
2021-02-18,6255.285714285715,68354.57142857143
2021-02-19,6597.857142857143,71140.71428571429
2021-02-20,6872.714285714285,73687.42857142857
2021-02-21,7116.142857142857,76287.0
2021-02-22,7308.571428571428,79478.0
2021-02-23,7470.285714285715,83325.85714285714
2021-02-24,7963.428571428572,85465.14285714286
2021-02-25,8401.857142857143,85669.0
2021-02-26,8796.42857142857,86062.28571428571
2021-02-27,9309.285714285714,86359.14285714286
2021-02-28,9746.57142857143,86936.28571428571
2021-03-01,9874.57142857143,87419.85714285714
2021-03-02,10107.0,87039.57142857143
2021-03-03,10614.42857142857,87503.71428571429
2021-03-04,11058.42857142857,89301.28571428571
2021-03-05,11671.285714285714,89148.14285714286
2021-03-06,12065.142857142857,90020.57142857143
2021-03-07,12561.57142857143,90436.28571428571
2021-03-08,12759.285714285714,90381.57142857143
2021-03-09,13047.42857142857,89548.57142857143
2021-03-10,13270.57142857143,89367.14285714286
2021-03-11,14098.42857142857,88108.85714285714
2021-03-12,14519.285714285714,88402.71428571429
2021-03-13,15403.857142857143,86737.71428571429
2021-03-14,15930.285714285714,84927.57142857143
2021-03-15,16605.428571428572,83519.85714285714
2021-03-16,17240.0,82164.14285714286
2021-03-17,18353.14285714286,79717.14285714286
2021-03-18,19243.571428571428,77725.0
2021-03-19,20275.428571428572,75282.0
2021-03-20,21040.571428571428,73857.42857142857
2021-03-21,21696.285714285714,72684.57142857143
2021-03-22,22222.285714285714,72042.57142857143
2021-03-23,22557.285714285714,73447.57142857143
2021-03-24,23261.0,76365.57142857143
2021-03-25,24242.85714285714,79901.42857142857
2021-03-26,25549.285714285714,85530.71428571429
2021-03-27,26313.85714285714,91822.0
2021-03-28,27371.571428571428,99189.42857142857
2021-03-29,27712.571428571428,107014.0
