date,moving_average_new_cases,moving_average_new_vaccinations
2020-12-22,28365.428571428572,3357.0
2020-12-23,28471.285714285714,4676.285714285715
2020-12-24,28717.14285714286,7314.857142857143
2020-12-25,28783.714285714286,11272.57142857143
2020-12-26,28933.571428571428,16549.571428571428
2020-12-27,28838.714285714286,23145.85714285714
2020-12-28,28615.428571428572,31061.285714285714
2020-12-29,28362.0,40296.0
2020-12-30,28256.714285714286,48211.42857142857
2020-12-31,27944.14285714286,54807.57142857143
2021-01-01,27661.428571428572,60084.57142857143
2021-01-02,27239.0,64042.28571428572
2021-01-03,26648.428571428572,65664.0
2021-01-04,26014.714285714286,64949.857142857145
2021-01-05,25621.0,61899.71428571428
2021-01-06,25293.0,57832.857142857145
2021-01-07,24692.14285714286,52749.42857142857
2021-01-08,24208.285714285714,46649.28571428572
2021-01-09,23780.85714285714,39532.42857142857
2021-01-10,23595.285714285714,33432.28571428572
2021-01-11,23590.14285714286,28348.85714285714
2021-01-12,23402.714285714286,24282.14285714286
2021-01-13,23207.428571428572,21232.14285714286
2021-01-14,23382.0,20634.571428571428
2021-01-15,23533.85714285714,22489.571428571428
2021-01-16,23645.714285714286,26797.14285714286
2021-01-17,23750.714285714286,32540.428571428572
2021-01-18,23685.285714285714,39719.57142857143
2021-01-19,23513.85714285714,48334.57142857143
2021-01-20,23271.285714285714,58385.42857142857
2021-01-21,22860.428571428572,67000.42857142857
2021-01-22,22403.0,74179.57142857143
2021-01-23,21950.0,79922.85714285714
2021-01-24,21598.714285714286,84230.42857142857
2021-01-25,21089.14285714286,87102.14285714286
2021-01-26,20590.14285714286,88538.0
2021-01-27,20102.85714285714,88538.0
2021-01-28,19710.14285714286,88538.0
2021-01-29,19385.14285714286,88538.0
2021-01-30,19115.285714285714,88538.0
2021-01-31,18719.85714285714,88538.0
2021-02-01,18485.285714285714,88538.0
2021-02-02,18257.0,88538.0
2021-02-03,18076.0,88538.0
2021-02-04,17729.714285714286,88538.0
2021-02-05,17365.428571428572,88538.0
2021-02-06,17021.85714285714,88538.0
2021-02-07,16691.714285714286,88538.0
2021-02-08,16444.285714285714,88538.0
2021-02-09,16212.285714285714,88538.0
2021-02-10,15929.42857142857,88538.0
2021-02-11,15690.0,88538.0
2021-02-12,15461.57142857143,88538.0
2021-02-13,15209.285714285714,88538.0
2021-02-14,14943.142857142857,88538.0
2021-02-15,14699.0,88538.0
2021-02-16,14443.857142857143,88538.0
2021-02-17,14205.857142857143,88538.0
2021-02-18,13978.57142857143,88538.0
