date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-08,56.142857142857146,66.0
2021-03-09,57.142857142857146,66.0
2021-03-10,60.142857142857146,66.0
2021-03-11,62.0,66.0
2021-03-12,63.142857142857146,66.0
2021-03-13,65.42857142857143,66.0
2021-03-14,68.0,66.0
2021-03-15,71.0,66.0
2021-03-16,73.42857142857143,66.0
2021-03-17,77.0,66.0
2021-03-18,84.14285714285714,66.0
2021-03-19,95.42857142857143,66.0
2021-03-20,107.0,66.0
2021-03-21,119.85714285714286,66.0
2021-03-22,133.28571428571428,66.0
2021-03-23,146.71428571428572,66.0
2021-03-24,155.28571428571428,66.0
2021-03-25,160.0,66.0
2021-03-26,160.14285714285714,66.0
2021-03-27,160.57142857142858,66.0
2021-03-28,159.42857142857142,66.0
2021-03-29,155.28571428571428,66.0
2021-03-30,150.71428571428572,66.0
2021-03-31,147.42857142857142,66.0
2021-04-01,144.71428571428572,66.0
2021-04-02,141.85714285714286,66.0
2021-04-03,137.57142857142858,66.0
2021-04-04,132.57142857142858,66.0
2021-04-05,129.42857142857142,66.0
2021-04-06,126.85714285714286,66.0
2021-04-07,123.71428571428571,66.0
2021-04-08,121.71428571428571,66.0
2021-04-09,120.57142857142857,73.85714285714286
2021-04-10,120.57142857142857,89.71428571428571
2021-04-11,119.14285714285714,113.42857142857143
2021-04-12,117.42857142857143,145.14285714285714
2021-04-13,115.0,184.85714285714286
2021-04-14,113.42857142857143,232.42857142857142
2021-04-15,113.42857142857143,288.0
2021-04-16,118.57142857142857,335.7142857142857
2021-04-17,121.14285714285714,375.42857142857144
2021-04-18,126.57142857142857,407.2857142857143
2021-04-19,130.85714285714286,431.14285714285717
2021-04-20,135.42857142857142,447.0
2021-04-21,142.57142857142858,455.0
2021-04-22,147.0,455.0
2021-04-23,144.57142857142858,455.0
2021-04-24,144.0,455.0
2021-04-25,142.14285714285714,455.0
2021-04-26,141.85714285714286,455.0
2021-04-27,140.85714285714286,455.0
2021-04-28,136.57142857142858,455.0
2021-04-29,132.71428571428572,455.0
2021-04-30,129.42857142857142,455.0
2021-05-01,124.14285714285714,455.0
2021-05-02,117.0,455.0
2021-05-03,109.0,455.0
2021-05-04,101.71428571428571,455.0
2021-05-05,94.57142857142857,455.0
2021-05-06,86.85714285714286,455.0
2021-05-07,80.0,455.0
2021-05-08,74.71428571428571,455.0
2021-05-09,71.57142857142857,455.0
2021-05-10,68.71428571428571,455.0
2021-05-11,66.0,455.0
2021-05-12,62.714285714285715,455.0
2021-05-13,60.285714285714285,455.0
2021-05-14,57.714285714285715,455.0
2021-05-15,55.57142857142857,455.0
2021-05-16,53.42857142857143,455.0
2021-05-17,51.285714285714285,455.0
2021-05-18,49.857142857142854,455.0
2021-05-19,48.57142857142857,455.0
2021-05-20,48.714285714285715,455.0
2021-05-21,49.142857142857146,455.0
2021-05-22,50.142857142857146,455.0
2021-05-23,51.285714285714285,455.0
2021-05-24,54.142857142857146,455.0
2021-05-25,57.0,455.0
2021-05-26,60.285714285714285,455.0
2021-05-27,61.57142857142857,455.0
2021-05-28,60.857142857142854,541.0
2021-05-29,59.142857142857146,713.1428571428571
2021-05-30,55.42857142857143,971.4285714285714
2021-05-31,50.0,1315.857142857143
2021-06-01,44.0,1746.2857142857142
2021-06-02,39.57142857142857,2262.8571428571427
2021-06-03,34.857142857142854,2865.5714285714284
2021-06-04,32.285714285714285,3382.285714285714
2021-06-05,29.857142857142858,3812.8571428571427
2021-06-06,28.428571428571427,4157.285714285715
2021-06-07,27.428571428571427,4370.142857142857
2021-06-08,26.428571428571427,4451.714285714285
2021-06-09,24.428571428571427,4401.714285714285
2021-06-10,23.428571428571427,4220.142857142857
2021-06-11,21.714285714285715,3993.285714285714
2021-06-12,21.142857142857142,3721.0
2021-06-13,21.428571428571427,3403.285714285714
2021-06-14,22.142857142857142,3131.0
2021-06-15,25.714285714285715,2904.0
2021-06-16,29.142857142857142,2722.4285714285716
2021-06-17,31.857142857142858,2586.285714285714
2021-06-18,35.42857142857143,2495.4285714285716
2021-06-19,38.285714285714285,2450.0
2021-06-20,41.0,2450.0
2021-06-21,43.42857142857143,2450.0
2021-06-22,42.57142857142857,2426.1428571428573
2021-06-23,43.0,2378.285714285714
2021-06-24,43.142857142857146,2306.4285714285716
2021-06-25,42.285714285714285,2210.5714285714284
2021-06-26,41.857142857142854,2090.714285714286
2021-06-27,41.285714285714285,1946.857142857143
2021-06-28,40.857142857142854,1779.0
2021-06-29,40.57142857142857,1635.0
2021-06-30,39.142857142857146,1515.0
2021-07-01,38.142857142857146,1419.0
2021-07-02,37.714285714285715,1347.0
2021-07-03,36.857142857142854,1299.0
2021-07-04,36.285714285714285,1275.0
2021-07-05,35.57142857142857,1275.0
2021-07-06,34.857142857142854,1275.0
2021-07-07,33.285714285714285,1275.0
