date,moving_average_new_cases,moving_average_new_vaccinations
2021-06-21,2.4285714285714284,3329.1428571428573
2021-06-22,4.571428571428571,4040.8571428571427
2021-06-23,7.142857142857143,4864.285714285715
2021-06-24,9.0,5799.142857142857
2021-06-25,12.0,6845.571428571428
2021-06-26,15.285714285714286,8003.571428571428
2021-06-27,18.714285714285715,9273.142857142857
2021-06-28,19.285714285714285,10400.285714285714
2021-06-29,19.714285714285715,11384.857142857143
2021-06-30,20.142857142857142,12226.857142857143
2021-07-01,21.714285714285715,12926.42857142857
2021-07-02,22.285714285714285,13483.42857142857
2021-07-03,22.0,13840.42857142857
2021-07-04,22.571428571428573,13997.285714285714
2021-07-05,23.285714285714285,14059.42857142857
2021-07-06,25.285714285714285,14026.857142857143
2021-07-07,27.285714285714285,13883.857142857143
