date,moving_average_new_cases,moving_average_new_vaccinations
2021-01-20,7642.285714285715,209328.85714285713
2021-01-21,7196.714285714285,186566.42857142858
2021-01-22,6814.857142857143,154470.0
2021-01-23,6479.571428571428,133460.7142857143
2021-01-24,6237.571428571428,119214.0
2021-01-25,6072.0,105029.71428571429
2021-01-26,6040.571428571428,91776.0
2021-01-27,6081.285714285715,79890.14285714286
2021-01-28,6231.857142857143,74512.85714285714
2021-01-29,6373.285714285715,77381.85714285714
2021-01-30,6508.285714285715,81136.85714285714
2021-01-31,6653.285714285715,85287.57142857143
2021-02-01,6836.857142857143,92699.85714285714
2021-02-02,7133.571428571428,100032.85714285714
2021-02-03,7232.428571428572,107188.28571428571
2021-02-04,7320.0,111798.71428571429
2021-02-05,7410.0,109866.28571428571
2021-02-06,7551.285714285715,107965.85714285714
2021-02-07,7697.857142857143,105571.42857142857
2021-02-08,7713.285714285715,99333.85714285714
2021-02-09,7768.142857142857,92895.42857142857
2021-02-10,7888.285714285715,85367.57142857143
2021-02-11,7965.428571428572,76022.42857142857
2021-02-12,7919.857142857143,80371.42857142857
2021-02-13,7900.142857142857,89908.57142857143
2021-02-14,7872.857142857143,101956.42857142857
2021-02-15,7818.142857142857,122158.85714285714
2021-02-16,7795.571428571428,150620.14285714287
2021-02-17,7691.285714285715,190960.0
2021-02-18,7503.142857142857,246140.7142857143
2021-02-19,7453.285714285715,289259.0
2021-02-20,7404.142857142857,324267.85714285716
2021-02-21,7425.714285714285,355535.71428571426
2021-02-22,7462.714285714285,378749.0
2021-02-23,7485.428571428572,394272.14285714284
2021-02-24,7657.0,393611.0
2021-02-25,7976.428571428572,373922.4285714286
2021-02-26,8309.42857142857,353101.14285714284
2021-02-27,8564.57142857143,335910.4285714286
2021-02-28,8755.42857142857,320182.14285714284
2021-03-01,9023.714285714286,305532.0
2021-03-02,9279.0,287683.5714285714
2021-03-03,9669.0,273433.71428571426
2021-03-04,9948.857142857143,263145.5714285714
2021-03-05,10198.857142857143,253357.42857142858
2021-03-06,10498.42857142857,240858.7142857143
2021-03-07,10866.57142857143,228479.7142857143
2021-03-08,11261.285714285714,213986.7142857143
2021-03-09,11736.142857142857,201031.85714285713
2021-03-10,12010.142857142857,187662.14285714287
2021-03-11,12443.857142857143,174644.7142857143
2021-03-12,12833.0,165022.2857142857
2021-03-13,13352.857142857143,158304.85714285713
2021-03-14,13826.0,152290.0
2021-03-15,14139.0,152950.57142857142
2021-03-16,14465.857142857143,159561.85714285713
2021-03-17,14893.57142857143,174648.14285714287
2021-03-18,15515.857142857143,194781.42857142858
2021-03-19,16373.42857142857,217563.42857142858
2021-03-20,17243.285714285714,239334.7142857143
2021-03-21,18097.428571428572,259556.85714285713
2021-03-22,19104.571428571428,274755.0
2021-03-23,20063.571428571428,283317.5714285714
2021-03-24,21411.14285714286,284249.4285714286
2021-03-25,22961.14285714286,281533.85714285716
2021-03-26,24201.428571428572,272235.28571428574
2021-03-27,25351.571428571428,262366.71428571426
2021-03-28,26631.571428571428,255787.2857142857
2021-03-29,27864.428571428572,249235.7142857143
2021-03-30,29319.85714285714,245550.57142857142
2021-03-31,30908.571428571428,246311.7142857143
2021-04-01,32271.428571428572,248869.85714285713
2021-04-02,33996.42857142857,252528.0
2021-04-03,35886.0,259208.7142857143
2021-04-04,37991.0,262042.7142857143
2021-04-05,39839.57142857143,269410.14285714284
2021-04-06,41289.142857142855,276637.0
2021-04-07,43043.57142857143,276742.71428571426
2021-04-08,45249.0,277147.28571428574
2021-04-09,47411.142857142855,280765.4285714286
2021-04-10,49337.28571428572,278564.85714285716
2021-04-11,50468.71428571428,277128.5714285714
2021-04-12,51708.71428571428,270824.28571428574
2021-04-13,53424.57142857143,263242.0
