date,moving_average_new_cases,moving_average_new_vaccinations
2020-12-20,216846.85714285713,108067.28571428571
2020-12-21,214723.42857142858,139410.7142857143
2020-12-22,215459.7142857143,175646.85714285713
2020-12-23,213366.7142857143,214035.2857142857
2020-12-24,213239.42857142858,243674.57142857142
2020-12-25,211230.0,256655.2857142857
2020-12-26,204950.7142857143,268791.5714285714
2020-12-27,194303.14285714287,282294.0
2020-12-28,186421.7142857143,292363.0
2020-12-29,181837.85714285713,299910.85714285716
2020-12-30,180869.42857142858,304462.4285714286
2020-12-31,182461.57142857142,315162.71428571426
2021-01-01,183835.57142857142,335957.4285714286
2021-01-02,187684.42857142858,360069.5714285714
2021-01-03,197285.0,385219.4285714286
2021-01-04,208456.2857142857,407455.14285714284
2021-01-05,215758.57142857142,426329.85714285716
2021-01-06,215407.14285714287,443364.28571428574
2021-01-07,220198.14285714287,471112.71428571426
2021-01-08,223331.2857142857,520131.85714285716
2021-01-09,229084.57142857142,571639.4285714285
2021-01-10,238164.42857142858,624575.7142857143
2021-01-11,242589.57142857142,684596.1428571428
2021-01-12,245307.57142857142,751092.7142857143
2021-01-13,249565.85714285713,820125.7142857143
2021-01-14,246042.2857142857,876847.8571428572
2021-01-15,241560.57142857142,910859.1428571428
2021-01-16,234963.14285714287,942744.0
2021-01-17,227136.42857142858,973438.4285714285
2021-01-18,220453.14285714287,991897.0
2021-01-19,215038.7142857143,1003434.1428571428
2021-01-20,207907.7142857143,1014487.1428571428
2021-01-21,198258.7142857143,1028969.7142857143
2021-01-22,192814.14285714287,1050597.5714285714
2021-01-23,187680.0,1074618.142857143
2021-01-24,180837.2857142857,1099375.0
2021-01-25,174551.7142857143,1137892.4285714286
2021-01-26,168119.0,1181049.857142857
2021-01-27,165459.85714285713,1225242.857142857
2021-01-28,164847.0,1269765.7142857143
2021-01-29,160661.14285714287,1312580.0
2021-01-30,156258.0,1352411.7142857143
2021-01-31,152660.7142857143,1391717.142857143
2021-02-01,148848.0,1421293.2857142857
2021-02-02,144617.14285714287,1445135.0
2021-02-03,143681.7142857143,1466454.7142857143
2021-02-04,140165.57142857142,1488864.2857142857
2021-02-05,132980.42857142858,1514427.5714285714
2021-02-06,128094.42857142857,1543474.857142857
2021-02-07,122464.28571428571,1570898.2857142857
2021-02-08,118372.42857142857,1602059.857142857
2021-02-09,115657.14285714286,1638190.857142857
2021-02-10,108754.71428571429,1673509.7142857143
2021-02-11,104481.42857142857,1702223.2857142857
2021-02-12,103005.71428571429,1726608.2857142857
2021-02-13,99709.71428571429,1748780.5714285714
2021-02-14,95796.0,1774288.0
2021-02-15,92230.42857142857,1787627.857142857
2021-02-16,88585.0,1788104.0
2021-02-17,85347.85714285714,1778267.7142857143
2021-02-18,80412.71428571429,1755991.857142857
2021-02-19,75474.28571428571,1716436.5714285714
2021-02-20,71048.57142857143,1669895.5714285714
2021-02-21,67640.71428571429,1620397.2857142857
2021-02-22,64824.857142857145,1584888.142857143
2021-02-23,63284.142857142855,1563027.7142857143
2021-02-24,62963.42857142857,1559556.2857142857
2021-02-25,64862.142857142855,1589347.857142857
2021-02-26,66089.0,1655145.2857142857
2021-02-27,66579.0,1738449.7142857143
2021-02-28,66535.85714285714,1826991.2857142857
2021-03-01,66934.14285714286,1921767.5714285714
2021-03-02,66354.42857142857,2020821.5714285714
2021-03-03,65682.0,2116077.714285714
2021-03-04,63339.0,2194697.285714286
2021-03-05,62436.857142857145,2252259.1428571427
2021-03-06,61417.0,2297046.0
2021-03-07,60105.57142857143,2337945.8571428573
2021-03-08,58593.0,2369126.8571428573
2021-03-09,57334.142857142855,2394547.0
2021-03-10,56132.57142857143,2416823.5714285714
2021-03-11,56179.28571428572,2438505.1428571427
2021-03-12,55566.71428571428,2461892.1428571427
2021-03-13,54838.857142857145,2486690.8571428573
2021-03-14,54857.142857142855,2511282.8571428573
2021-03-15,54080.57142857143,2535965.5714285714
2021-03-16,54576.57142857143,2559367.5714285714
2021-03-17,54695.0,2579142.1428571427
2021-03-18,54369.0,2593339.4285714286
2021-03-19,54059.42857142857,2601668.0
2021-03-20,54535.857142857145,2606578.8571428573
2021-03-21,54221.57142857143,2611015.1428571427
2021-03-22,55104.71428571428,2614739.8571428573
2021-03-23,54818.71428571428,2618409.8571428573
2021-03-24,55489.57142857143,2629130.4285714286
2021-03-25,56329.28571428572,2649469.714285714
2021-03-26,57534.0,2681695.0
2021-03-27,57858.0,2721125.1428571427
2021-03-28,59688.28571428572,2763713.1428571427
2021-03-29,60366.42857142857,2814300.8571428573
2021-03-30,61513.28571428572,2872037.5714285714
2021-03-31,62911.28571428572,2934368.5714285714
2021-04-01,63497.71428571428,3002496.0
2021-04-02,63718.57142857143,3056980.0
2021-04-03,64906.857142857145,3101444.0
2021-04-04,64280.0,3132895.1428571427
2021-04-05,64350.28571428572,3160088.4285714286
2021-04-06,63274.0,3184348.4285714286
2021-04-07,63043.42857142857,3199820.4285714286
2021-04-08,63310.28571428572,3199518.4285714286
2021-04-09,64033.142857142855,3216316.714285714
2021-04-10,64283.0,3248619.0
2021-04-11,65135.71428571428,3303031.1428571427
2021-04-12,65766.57142857143,3350187.1428571427
2021-04-13,66840.42857142857,3379202.285714286
2021-04-14,67416.85714285714,3390823.285714286
2021-04-15,68638.14285714286,3388005.0
2021-04-16,68070.57142857143,3356885.714285714
