date,moving_average_new_cases,moving_average_new_vaccinations
2021-02-24,424.0,106.85714285714286
2021-02-25,437.0,178.71428571428572
2021-02-26,446.57142857142856,274.42857142857144
2021-02-27,441.42857142857144,394.14285714285717
2021-02-28,454.42857142857144,537.7142857142857
2021-03-01,448.0,705.2857142857143
2021-03-02,435.42857142857144,844.8571428571429
2021-03-03,428.57142857142856,964.5714285714286
2021-03-04,421.14285714285717,1060.2857142857142
2021-03-05,419.7142857142857,1109.4285714285713
2021-03-06,441.2857142857143,1111.857142857143
2021-03-07,437.2857142857143,1067.7142857142858
2021-03-08,449.42857142857144,977.0
2021-03-09,460.2857142857143,863.5714285714286
2021-03-10,461.2857142857143,727.4285714285714
2021-03-11,483.85714285714283,568.5714285714286
2021-03-12,487.57142857142856,432.42857142857144
2021-03-13,473.85714285714283,319.0
2021-03-14,490.0,228.28571428571428
2021-03-15,499.14285714285717,160.14285714285714
2021-03-16,516.4285714285714,114.71428571428571
2021-03-17,530.5714285714286,92.0
2021-03-18,529.5714285714286,92.0
2021-03-19,540.1428571428571,92.0
2021-03-20,561.5714285714286,92.0
2021-03-21,622.7142857142857,92.0
2021-03-22,703.8571428571429,92.0
2021-03-23,738.5714285714286,92.0
2021-03-24,772.2857142857143,92.0
2021-03-25,782.8571428571429,92.0
2021-03-26,819.7142857142857,92.0
2021-03-27,851.0,334.42857142857144
2021-03-28,822.8571428571429,819.1428571428571
2021-03-29,765.2857142857143,1546.2857142857142
2021-03-30,790.2857142857143,2515.714285714286
2021-03-31,864.1428571428571,3727.5714285714284
2021-04-01,948.7142857142857,5181.857142857143
2021-04-02,1026.0,6878.428571428572
2021-04-03,1083.7142857142858,8398.57142857143
2021-04-04,1117.857142857143,9742.42857142857
2021-04-05,1239.142857142857,10909.714285714286
2021-04-06,1352.5714285714287,11900.714285714286
2021-04-07,1372.142857142857,12715.285714285714
2021-04-08,1417.857142857143,13353.285714285714
2021-04-09,1384.5714285714287,13815.0
2021-04-10,1374.5714285714287,14210.714285714286
2021-04-11,1390.142857142857,14540.42857142857
2021-04-12,1349.857142857143,14804.285714285714
2021-04-13,1252.0,14728.285714285714
2021-04-14,1180.5714285714287,14312.57142857143
2021-04-15,1128.2857142857142,13557.142857142857
2021-04-16,1129.2857142857142,12462.0
2021-04-17,1141.7142857142858,11093.0
2021-04-18,1164.0,9450.142857142857
2021-04-19,1159.5714285714287,7533.571428571428
2021-04-20,1186.142857142857,5890.857142857143
2021-04-21,1254.7142857142858,4521.857142857143
2021-04-22,1252.0,3426.714285714286
2021-04-23,1235.857142857143,2605.285714285714
2021-04-24,1242.5714285714287,2057.714285714286
2021-04-25,1253.142857142857,1784.0
2021-04-26,1231.4285714285713,1784.0
2021-04-27,1189.7142857142858,1784.0
2021-04-28,1129.0,1784.0
2021-04-29,1140.7142857142858,1784.0
2021-04-30,1173.4285714285713,1784.0
2021-05-01,1189.0,1784.0
2021-05-02,1186.0,1784.0
2021-05-03,1191.7142857142858,1784.0
2021-05-04,1221.2857142857142,1784.0
2021-05-05,1204.7142857142858,1784.0
2021-05-06,1155.142857142857,1784.0
2021-05-07,1114.142857142857,1784.0
2021-05-08,1095.857142857143,1784.0
2021-05-09,1071.142857142857,1784.0
2021-05-10,1097.7142857142858,1784.0
2021-05-11,1114.7142857142858,1784.0
2021-05-12,1175.857142857143,1784.0
2021-05-13,1187.0,1784.0
2021-05-14,1170.0,1784.0
2021-05-15,1111.5714285714287,1784.0
2021-05-16,1116.7142857142858,1784.0
2021-05-17,1097.4285714285713,1784.0
2021-05-18,1061.5714285714287,1784.0
2021-05-19,1036.142857142857,1784.0
2021-05-20,1069.5714285714287,2123.714285714286
2021-05-21,1123.7142857142858,2803.285714285714
2021-05-22,1146.5714285714287,3822.5714285714284
2021-05-23,1149.142857142857,5181.714285714285
2021-05-24,1117.2857142857142,6880.571428571428
2021-05-25,1149.142857142857,8919.285714285714
2021-05-26,1200.5714285714287,11297.714285714286
2021-05-27,1219.0,13336.42857142857
2021-05-28,1227.5714285714287,15035.285714285714
2021-05-29,1280.5714285714287,16394.428571428572
2021-05-30,1300.7142857142858,17413.714285714286
2021-05-31,1341.5714285714287,18093.285714285714
2021-06-01,1350.7142857142858,18433.0
2021-06-02,1335.142857142857,18433.0
2021-06-03,1347.2857142857142,18433.0
2021-06-04,1335.4285714285713,18433.0
2021-06-05,1312.142857142857,18433.0
2021-06-06,1300.7142857142858,18433.0
2021-06-07,1324.4285714285713,18433.0
2021-06-08,1334.0,18433.0
2021-06-09,1350.857142857143,18433.0
2021-06-10,1390.4285714285713,18433.0
2021-06-11,1429.857142857143,18433.0
2021-06-12,1404.857142857143,19698.285714285714
2021-06-13,1366.857142857143,22228.85714285714
2021-06-14,1370.7142857142858,26024.714285714286
2021-06-15,1364.0,31086.0
2021-06-16,1323.142857142857,37412.57142857143
2021-06-17,1259.4285714285713,45004.42857142857
2021-06-18,1241.857142857143,53861.57142857143
2021-06-19,1287.857142857143,60290.0
2021-06-20,1331.4285714285713,64289.857142857145
2021-06-21,1300.5714285714287,65861.0
2021-06-22,1293.4285714285713,65003.42857142857
2021-06-23,1307.857142857143,61717.142857142855
2021-06-24,1322.2857142857142,56002.28571428572
2021-06-25,1299.142857142857,47858.71428571428
2021-06-26,1254.2857142857142,42525.42857142857
2021-06-27,1258.857142857143,40002.142857142855
2021-06-28,1276.5714285714287,40289.142857142855
2021-06-29,1270.7142857142858,43386.142857142855
2021-06-30,1230.857142857143,49293.42857142857
2021-07-01,1186.7142857142858,58010.857142857145
2021-07-02,1165.857142857143,69538.42857142857
2021-07-03,1197.4285714285713,79419.14285714286
2021-07-04,1179.0,87653.14285714286
2021-07-05,1149.4285714285713,94240.28571428571
2021-07-06,1142.857142857143,101405.14285714286
2021-07-07,1144.4285714285713,109147.42857142857
