iso_code,date,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,moving_average_new_cases
AFG,2021-07-01,Afghanistan,EMRO,1557,120216,91,4962,1526.2857142857142
AFG,2021-07-02,Afghanistan,EMRO,1940,122156,86,5048,1509.142857142857
AFG,2021-07-03,Afghanistan,EMRO,1329,123485,59,5107,1480.142857142857
AFG,2021-07-04,Afghanistan,EMRO,1263,124748,92,5199,1504.0
AFG,2021-07-05,Afghanistan,EMRO,1189,125937,84,5283,1455.142857142857
AFG,2021-07-06,Afghanistan,EMRO,1527,127464,77,5360,1472.2857142857142
AFG,2021-07-07,Afghanistan,EMRO,1557,129021,55,5415,1480.2857142857142
AFG,2021-07-08,Afghanistan,EMRO,1092,130113,62,5477,1413.857142857143
AFG,2021-07-09,Afghanistan,EMRO,1473,131586,84,5561,1347.142857142857
AFG,2021-07-10,Afghanistan,EMRO,1191,132777,77,5638,1327.4285714285713
AFG,2021-07-11,Afghanistan,EMRO,801,133578,86,5724,1261.4285714285713
AFG,2021-07-12,Afghanistan,EMRO,1075,134653,67,5791,1245.142857142857
AFG,2021-07-13,Afghanistan,EMRO,1236,135889,58,5849,1203.5714285714287
AFG,2021-07-14,Afghanistan,EMRO,754,136643,74,5923,1088.857142857143
AFG,2021-07-15,Afghanistan,EMRO,1210,137853,60,5983,1105.7142857142858
AFG,2021-07-16,Afghanistan,EMRO,1198,139051,89,6072,1066.4285714285713
AFG,2021-07-17,Afghanistan,EMRO,1173,140224,26,6098,1063.857142857143
AFG,2021-07-18,Afghanistan,EMRO,378,140602,49,6147,1003.4285714285714
AFG,2021-07-19,Afghanistan,EMRO,897,141499,66,6213,978.0
AFG,2021-07-20,Afghanistan,EMRO,915,142414,53,6266,932.1428571428571
AFG,2021-07-21,Afghanistan,EMRO,348,142762,27,6293,874.1428571428571
AFG,2021-07-22,Afghanistan,EMRO,421,143183,32,6325,761.4285714285714
AFG,2021-07-23,Afghanistan,EMRO,256,143439,32,6357,626.8571428571429
AFG,2021-07-24,Afghanistan,EMRO,227,143666,36,6393,491.7142857142857
AFG,2021-07-25,Afghanistan,EMRO,205,143871,32,6425,467.0
AFG,2021-07-26,Afghanistan,EMRO,414,144285,52,6477,398.0
AFG,2021-07-27,Afghanistan,EMRO,723,145008,38,6515,370.57142857142856
AFG,2021-07-28,Afghanistan,EMRO,544,145552,62,6577,398.57142857142856
AFG,2021-07-29,Afghanistan,EMRO,444,145996,38,6615,401.85714285714283
AFG,2021-07-30,Afghanistan,EMRO,527,146523,62,6677,440.57142857142856
AFG,2021-07-31,Afghanistan,EMRO,631,147154,31,6708,498.2857142857143
AFG,2021-08-01,Afghanistan,EMRO,347,147501,29,6737,518.5714285714286
AFG,2021-08-02,Afghanistan,EMRO,484,147985,37,6774,528.5714285714286
AFG,2021-08-03,Afghanistan,EMRO,587,148572,30,6804,509.14285714285717
AFG,2021-08-04,Afghanistan,EMRO,361,148933,32,6836,483.0
